日付	天気	R	頭数	枠番	馬番	オッズ	人気	着順	斤量	馬場	タイム	着差	通過	ペース	上り	place	race_id	race_name	movie	jockey	field	distance	weight	gain	bounty
2022/03/21	晴	2	10	7	7	9.3	5	6	56.0	不	0:51.4	0.5	9-8	0.0-36.0	35.0	水沢	202236032102	C2	movie.html?race_id=202236032102	05087	ダ	850	534	-8	0.0
2022/02/15	晴	3	12	2	2	24.0	7	6	56.5	不	1:17.3	1.1	6-5-5	36.1-40.1	40.8	船橋	202243021503	C3五　六	movie.html?race_id=202243021503	05553	ダ	1200	542	3	0.0
2022/02/03	曇	1	12	7	9	42.5	6	6	56.0	良	0:56.7	1.5	7-8	30.0-37.5	37.8	川崎	202245020301	プレーリードッグ賞	movie.html?race_id=202245020301	05553	ダ	900	539	10	0.0
2021/12/22	晴	2	12	5	6	17.5	7	7	56.0	良	1:33.0	1.8	5-2-1-4	37.4-40.1	41.9	浦和	202142122202	3歳四	movie.html?race_id=202142122202	05553	ダ	1400	529	-8	0.0
2021/11/30	晴	2	12	6	7	8.6	4	7	56.0	良	1:16.2	0.9	10-10-10	35.4-39.9	38.7	船橋	202143113002	3歳二　三	movie.html?race_id=202143113002	05553	ダ	1200	537	1	0.0
2021/09/30	晴	1	10	7	8	43.5	5	2	56.0	良	1:16.4	0.2	4-3-3	38.6-37.6	37.7	船橋	202143093001	3歳八	movie.html?race_id=202143093001	05553	ダ	1200	536	12	48.0
2021/09/03	曇	1	12	7	10	12.6	6	7	56.0	不	1:17.4	1.5	6-3-3	36.2-39.7	40.9	船橋	202143090301	3歳五	movie.html?race_id=202143090301	05553	ダ	1200	524	3	0.0
2021/08/12	曇	2	12	6	7	12.3	4	4	56.0	稍	1:17.2	1.8	6-6-5	36.5-38.9	39.8	船橋	202143081202	3歳七	movie.html?race_id=202143081202	05553	ダ	1200	521	2	18.0
2021/07/17	晴	1	10	6	6	7.6	3	4	56.0	良	1:16.9	1.8	8-7-7	36.2-38.9	39.4	船橋	202143071701	3歳七	movie.html?race_id=202143071701	05553	ダ	1200	519	1	18.0
2021/04/09	曇	1	8	6	6	3.3	2	4	56.0	良	1:19.7	2.6	6-6-5	38.7-38.4	39.1	船橋	202143040901	3歳八	movie.html?race_id=202143040901	a0247	ダ	1200	518	-6	24.0
2021/02/26	曇	1	11	5	5	122.3	9	5	56.0	良	0:49.5	0.7	4-4	35.5-36.5	36.6	浦和	202142022601	浦和800ラウンド	movie.html?race_id=202142022601	a0247	ダ	800	524	12	13.0
2021/01/25	晴	2	12	2	2	38.1	7	12	52.0	不	0:59.3	3.2	8-10	29.8-38.3	40.7	川崎	202145012502	ストーム賞	movie.html?race_id=202145012502	a03fe	ダ	900	512	-1	0.0
2021/01/14	晴	2	12	3	3	9.7	5	11	56.5	良	1:21.6	5.6	2-4-5	36.7-39.3	44.3	船橋	202143011402	3歳八　ア	movie.html?race_id=202143011402	a0247	ダ	1200	513	31	0.0
2020/07/22	曇	4	7	5	5	12.4	5	7	54.0	稍	1:05.2	2.8	1-3	35.7-38.4	41.2	船橋	202043072204	リアトリスデビュー(新馬)	movie.html?race_id=202043072204	a0247	ダ	1000	482	0	0.0
