	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201845010101	ダ	左	1500	晴	良	11:20	2018幕開け賞		2018-1-1	11	川崎	1	143万円以上187万円未満		9	1190	6	9.0	280	6.0	4.0	200	4.0	2.0	160	2.0	4-8	4350.0	16.0	4-9	4770	17	4-9	1,390	16	2-9	690	9	2-4	550	7	8=>4	7360.0	31.0	9=>4	8680	32	2-4-9	5050	19	9=>4=>2	41060	134	9,2,3,(1,5),4,8,6,7	9,2,1,3,5,4-8,6,7	921354678	921543678.0	6.1 - 11.6 - 12.9 - 14.1 - 12.8 - 13.1 - 14.4 - 14.0	6.1 - 17.7 - 30.6 - 44.7 - 57.5 - 70.6 - 85.0 - 99.0 (30.6-41.5)
201845010201	ダ	左	900	晴	良	11:20	寒風賞		2018-1-2	11	川崎	2			3	230	2	3.0	100	1.0	1.0	100	2.0	9.0	140	3.0	1-3	210.0	1.0	1-3	250	1	1-3	120	1	3-9	280	3	1-9	260	2	3=>1	660.0	2.0	3=>1	560	2	1-3-9	640	2	3=>1=>9	3110	6			3,(4,7),1,2,9,6,5,8	314269758.0	6.6 - 10.9 - 11.9 - 13.3 - 13.0	6.6 - 17.5 - 29.4 - 42.7 - 55.7 (29.4-38.2)
201845013001	ダ	左	1400	晴	稍重	10:50	3歳4		2018-1-30	12	川崎	2	93万円以上143万円未満		1	580	4	1.0	150	4.0	12.0	120	1.0	6.0	140	3.0	1-8	720.0	5.0	1-12	1130	6	1-12	480	6	1-6	370	5	6-12	350	4	1=>8	1740.0	12.0	1=>12	2420	12	1-6-12	1540	4	1=>12=>6	10570	28	211258361011479	121258361011479	1,12,6,(2,8),3,11,5,10,4,7,9	112683112104579.0	13.0 - 12.0 - 13.9 - 13.3 - 13.8 - 14.1 - 14.0	13.0 - 25.0 - 38.9 - 52.2 - 66.0 - 80.1 - 94.1 (38.9-41.9)
201845013002	ダ	左	900	晴	稍重	11:20	つばさ賞		2018-1-30	12	川崎	2			8	510	4	8.0	200	4.0	4.0	300	5.0	5.0	180	2.0	4-8	3880.0	11.0	4-8	2610	11	4-8	870	11	5-8	390	5	4-5	530	9	8=>4	7210.0	23.0	8=>4	6340	21	4-5-8	2630	11	8=>4=>5	17810	67			45827193.0	48521793.0	6.6 - 10.8 - 12.3 - 13.1 - 12.7	6.6 - 17.4 - 29.7 - 42.8 - 55.5 (29.7-38.1)
201845013003	ダ	左	1400	晴	稍重	11:50	C3八　九十		2018-1-30	12	川崎	2			10	1200	4	10.0	210	5.0	1.0	100	1.0	5.0	170	3.0	1-7	770.0	3.0	1-10	750	4	1-10	350	4	5-10	990	13	1-5	230	2	7=>1	2750.0	9.0	10=>1	3010	9	1-5-10	1350	6	10=>1=>5	12290	39	101216112357489	10,12,1,6,11,5,2,3,(4,7),(9,8)	101211165234798	101216115237948.0	13.1 - 12.2 - 13.3 - 11.9 - 13.3 - 14.5 - 15.2	13.1 - 25.3 - 38.6 - 50.5 - 63.8 - 78.3 - 93.5 (38.6-43.0)
201845013004	ダ	左	1400	晴	稍重	12:20	C3八　九十		2018-1-30	12	川崎	2			2	150	1	2.0	100	1.0	9.0	150	4.0	4.0	100	2.0	2-8	490.0	2.0	2-9	530	2	2-9	230	3	2-4	140	1	4-9	310	5	2=>8	550.0	2.0	2=>9	690	3	2-4-9	420	1	2=>9=>4	2190	6	2,9,1,5,6,10,4,3,(8,7)	2,9,5,1,6,4,10,3,(8,7)	2,9,(1,5,4),6,(3,10),8,7	2,9,(1,4),6,5,8,3,7,10	13.4 - 13.2 - 14.2 - 12.6 - 13.3 - 13.4 - 13.4	13.4 - 26.6 - 40.8 - 53.4 - 66.7 - 80.1 - 93.5 (40.8-40.1)
201845013005	ダ	左	1400	晴	稍重	12:50	C3八　九十		2018-1-30	12	川崎	2			10	320	2	10.0	160	2.0	6.0	710	7.0	9.0	470	6.0	6-8	3690.0	14.0	6-10	4250	15	6-10	1,480	15	9-10	1,010	14	6-9	4,390	27	8=>6	4700.0	19.0	10=>6	5880	21	6-9-10	10080	35	10=>6=>9	95750	211	10,9,(1,4),3,5,8,2,6,7	10,9,1,4,5,(2,3),6,8,7	(10,9),4,1,2,3,5,6,8,7	10,9,1,(2,4),6,3,5,(8,7)	13.2 - 13.3 - 14.5 - 12.3 - 13.3 - 13.9 - 13.2	13.2 - 26.5 - 41.0 - 53.3 - 66.6 - 80.5 - 93.7 (41.0-40.4)
201845013006	ダ	左	1500	晴	稍重	13:20	C2六　七八		2018-1-30	12	川崎	2			7	420	3	7.0	140	2.0	5.0	140	3.0	9.0	100	1.0	5-6	700.0	3.0	5-7	880	3	5-7	330	3	7-9	230	1	5-9	270	2	6=>5	1550.0	7.0	7=>5	1560	4	5-7-9	680	1	7=>5=>9	6170	8	510947118123162	510497111283162	(5,10,9),4,7,12,11,8,3,1,2,6	591071141283162	6.2 - 11.9 - 12.9 - 14.1 - 12.4 - 13.2 - 13.7 - 13.5	6.2 - 18.1 - 31.0 - 45.1 - 57.5 - 70.7 - 84.4 - 97.9 (31.0-40.4)
201845013007	ダ	左	1400	晴	稍重	13:50	C2六　七八		2018-1-30	12	川崎	2			4	150	1	4.0	140	1.0	5.0	210	3.0	3.0	600	9.0	4-5	500.0	2.0	4-5	610	2	4-5	310	2	3-4	1,380	16	3-5	3,610	35	4=>5	710.0	2.0	4=>5	820	2	3-4-5	5840	20	4=>5=>3	13880	38	171128124105396	172118410125369	1,7,2,(11,8),4,(12,10),5,3,6,9	1,(2,8),7,4,11,12,(3,5),6,10,9	13.1 - 12.0 - 13.5 - 12.0 - 13.3 - 14.6 - 13.3	13.1 - 25.1 - 38.6 - 50.6 - 63.9 - 78.5 - 91.8 (38.6-41.2)
201845013008	ダ	左	1400	晴	稍重	14:30	C2六　七八		2018-1-30	12	川崎	2			3	300	2	3.0	170	2.0	4.0	230	4.0	1.0	680	9.0	3-4	1440.0	7.0	3-4	1240	5	3-4	600	5	1-3	1,830	22	1-4	2,690	31	3=>4	2640.0	10.0	3=>4	1670	5	1-3-4	9490	37	3=>4=>1	26840	99	3,4,(1,9),(2,10),12,11,7,8,6,5	341910212117865	3,4,(1,9),12,10,11,2,8,7,5,6	3,4,1,9,10,8,11,2,(12,7),6,5	12.8 - 12.6 - 13.7 - 11.8 - 13.4 - 13.7 - 13.8	12.8 - 25.4 - 39.1 - 50.9 - 64.3 - 78.0 - 91.8 (39.1-40.9)
