	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
201830042502	ダ	右	1200	雨	稍重	16:50	様似町エンルム岬賞		2018-4-25	1	門別	4	(馬齢)		5.0	510.0	3.0	5.0	110.0	2.0	6.0	130.0	4.0	5-6	440.0	3.0	5-6	190	1.0	5-7	260	4.0	6-7	200	2.0	5=>6	1110.0	5.0	5-6-7	400.0	1.0	5=>6=>7	2820.0	10.0			5,6,(7,8),1,3,9,(2,4),10	5,6,7,8,1,3,4,(2,9),10			7.0	100	1.0	5-6	430.0	2.0
201830042503	ダ	右	1000	雨	稍重	17:20	3歳以上C4ー6		2018-4-25	1	門別	4	(馬齢)		1.0	130.0	1.0	1.0	130.0	1.0	5.0	820.0	5.0	1-5	2090.0	7.0	1-5	630	7.0	1-2	200	3.0	2-5	2,170	11.0	1=>5	2200.0	7.0	1-2-5	2530.0	9.0	1=>5=>2	7530.0	24.0			1,2,3,6,5-4	1,2,(3,6),5-4								
201830042504	ダ	右	1200	雨	稍重	17:50	3歳条件未勝利		2018-4-25	1	門別	4	(馬齢)		2.0	140.0	1.0	2.0	110.0	1.0	5.0	150.0	2.0	2-5	270.0	1.0	2-5	180	1.0	2-3	330	4.0	3-5	830	10.0	2=>5	440.0	1.0	2-3-5	930.0	4.0	2=>5=>3	2120.0	7.0			2,5,(3,4),6,1,7	2,5,3,(6,4),1,7								
201830042505	ダ	右	1000	雨	稍重	18:25	JRA認定フレッシュ		2018-4-25	1	門別	4	(馬齢)		3.0	180.0	1.0	3.0	130.0	1.0	1.0	200.0	3.0	1-3	1010.0	3.0	1-3	180	2.0	3-8	110	1.0	1-8	190	3.0	3=>1	1170.0	3.0	1-3-8	230.0	1.0	3=>1=>8	2000.0	9.0			3,8-(1,4),5,2	381452								
201830050201	ダ	右	1000	曇	良	15:25	3歳以上C4ー6		2018-5-2	2	門別	1	(馬齢)		1.0	140.0	1.0	1.0	100.0	1.0	5.0	140.0	2.0	1-5	220.0	1.0	1-5	150	1.0	1-7	160	2.0	5-7	250	4.0	1=>5	260.0	1.0	1-5-7	260.0	1.0	1=>5=>7	560.0	1.0			(4,5),1,7,3,2,6	(4,5),1,(3,7),(6,2)								
201830050202	ダ	右	1000	曇	良	15:55	3歳条件未勝利		2018-5-2	2	門別	1	(馬齢)		3.0	300.0	2.0	3.0	140.0	2.0	7.0	160.0	3.0	3-7	1810.0	7.0	3-7	420	5.0	3-8	1,650	16.0	7-8	2,490	20.0	3=>7	2410.0	9.0	3-7-8	10040.0	26.0	3=>7=>8	34590.0	111.0			6,3,9,2,7,8,(1,5),4	6,(3,9),(2,7,8),5,1,4			8.0	760	8.0	3-7	1380.0	8.0
201830050203	ダ	右	1000	曇	良	16:25	3歳以上C4ー5		2018-5-2	2	門別	1	(馬齢)		6.0	130.0	1.0	6.0	120.0	1.0	4.0	220.0	4.0	4-6	350.0	2.0	4-6	170	2.0	2-6	140	1.0	2-4	240	5.0	6=>4	450.0	2.0	2-4-6	240.0	1.0	6=>4=>2	820.0	2.0			(4,6),2,3,5,(1,8)	(4,6)-2,3,(1,5),8								
201830050204	ダ	右	1000	曇	良	17:00	3歳以上C4ー3		2018-5-2	2	門別	1	(馬齢)		1.0	110.0	1.0	1.0	100.0	1.0	6.0	110.0	3.0	1-6	300.0	1.0	1-6	140	2.0	1-4	110	1.0	4-6	320	5.0	1=>6	350.0	2.0	1-4-6	320.0	1.0	1=>6=>4	880.0	1.0			1,4,(2,6),(3,9),5,7,8	1,4,6,2,9,(3,5),7,8			4.0	110	2.0	1-6	230.0	1.0
201830050205	ダ	右	1600	曇	良	17:35	稲苗月特別 		2018-5-2	2	門別	1	(別定)		1.0	270.0	2.0	1.0	150.0	2.0	2.0	120.0	1.0	1-2	250.0	1.0	1-2	130	1.0	1-7	160	3.0	2-7	150	2.0	1=>2	380.0	2.0	1-2-7	220.0	1.0	1=>2=>7	960.0	1.0	7126345	7126345	7126435	1,(7,2),6,3,4-5								
201830050206	ダ	右	1200	曇	良	18:10	JRA認定スーパーフ		2018-5-2	2	門別	1	(馬齢)		6.0	280.0	2.0	6.0	160.0	2.0	1.0	450.0	5.0	1-6	1940.0	8.0	1-6	340	7.0	6-7	150	1.0	1-7	420	8.0	6=>1	2840.0	12.0	1-6-7	650.0	3.0	6=>1=>7	6430.0	25.0			6798134.0	6789134.0						1-6	1650.0	8.0
201830050301	ダ	右	1200	雨	重	15:30	3歳条件未勝利		2018-5-3	2	門別	2	(馬齢)		5.0	710.0	3.0	5.0	120.0	3.0	3.0	100.0	2.0	3-5	630.0	2.0	3-5	150	2.0	5-7	170	3.0	3-7	110	1.0	5=>3	1690.0	5.0	3-5-7	260.0	1.0	5=>3=>7	2960.0	11.0			(3,5),(7,6)-8,(1,2)-4	5,3,7,6,8,2,1-4			7.0	100	1.0			
201830050302	ダ	右	1700	雨	重	16:05	3歳以上C4ー5		2018-5-3	2	門別	2	(馬齢)		2.0	390.0	3.0	2.0	210.0	3.0	1.0	150.0	2.0	1-2	720.0	4.0	1-2	300	5.0	2-3	220	3.0	1-3	180	1.0	2=>1	1720.0	8.0	1-2-3	310.0	1.0	2=>1=>3	2870.0	10.0	263514	2,6,3,5,(1,4)	2,6,3,5,(4,1)	263514								
201830050901	ダ	右	1000	曇	稍重	15:30	3歳条件未勝利		2018-5-9	2	門別	3	(馬齢)		6.0	110.0	1.0	6.0	100.0	1.0	3.0	120.0	2.0	3-6	130.0	1.0	3-6	110	1.0	1-6	180	2.0	1-3	330	6.0	6=>3	140.0	1.0	1-3-6	330.0	1.0	6=>3=>1	450.0	1.0			631527.0	631257.0								
201830050902	ダ	右	1000	曇	稍重	16:00	3歳条件未勝利		2018-5-9	2	門別	3	(馬齢)		6.0	1720.0	5.0	6.0	760.0	5.0	4.0	280.0	3.0	4-6	3200.0	11.0	4-6	960	12.0	6-7	760	8.0	4-7	310	4.0	6=>4	8860.0	22.0	4-6-7	1780.0	7.0	6=>4=>7	26510.0	80.0			6,1,(5,7),2,(3,4)	6,1,5,7,(2,4),3								
201830050903	ダ	右	1200	曇	稍重	16:30	3歳以上C4ー5		2018-5-9	2	門別	3	(馬齢)		4.0	250.0	2.0	4.0	150.0	2.0	5.0	200.0	3.0	4-5	420.0	3.0	4-5	130	2.0	1-4	120	1.0	1-5	140	3.0	4=>5	1220.0	6.0	1-4-5	130.0	1.0	4=>5=>1	1340.0	6.0			451367.0	451376.0								
201830050904	ダ	右	1200	曇	稍重	17:05	JRA認定フレッシュ		2018-5-9	2	門別	3	(馬齢)		7.0	4700.0	6.0	7.0	730.0	6.0	3.0	160.0	2.0	3-7	7680.0	12.0	3-7	2,500	13.0	4-7	2,980	15.0	3-4	470	6.0	7=>3	34870.0	35.0	3-4-7	9490.0	21.0	7=>3=>4	161580.0	163.0			37485126.0	37418526.0			4.0	240	4.0			
201830050905	ダ	右	1000	曇	稍重	17:35	JRA認定フレッシュ		2018-5-9	2	門別	3	牝(馬齢)		9.0	390.0	2.0	9.0	160.0	2.0	2.0	180.0	3.0	2-9	1200.0	5.0	2-9	480	4.0	6-9	1,030	12.0	2-6	650	7.0	9=>2	3400.0	11.0	2-6-9	2810.0	11.0	9=>2=>6	13000.0	37.0			(6,8,9),4,(10,11),2,5,3,1	(6,8,9),(4,10,11),2,1,5,3			6.0	230	5.0	2-7	1010.0	5.0
201830050906	ダ	右	1700	曇	稍重	18:10	3歳以上C4ー3		2018-5-9	2	門別	3	(馬齢)		6.0	760.0	4.0	6.0	210.0	4.0	4.0	120.0	1.0	4-6	710.0	3.0	4-6	240	3.0	3-6	770	10.0	3-4	390	6.0	6=>4	2100.0	7.0	3-4-6	1600.0	8.0	6=>4=>3	10060.0	37.0	4,(3,7),1,5,6,2	4,(3,7),1,5,6,2	(3,4),5,7,1,6,2	4,3,(6,5,1),7,2								
201830050907	ダ	右	1200	曇	稍重	18:45	3歳以上C4ー3		2018-5-9	2	門別	3	(馬齢)		3.0	1310.0	5.0	3.0	330.0	6.0	8.0	150.0	2.0	3-8	1670.0	7.0	3-8	550	6.0	3-5	700	9.0	5-8	440	4.0	3=>8	5600.0	20.0	3-5-8	2710.0	10.0	3=>8=>5	25410.0	90.0			(4,5),10,(3,8),6,2,7,1,9	(4,5),10,(3,8),6,2,7,1,9			5.0	170	3.0	3-7	1300.0	5.0
201830051001	ダ	右	1600	晴	良	15:30	3歳以上C4ー4		2018-5-10	2	門別	4	(馬齢)		3.0	200.0	2.0	3.0	100.0	1.0	5.0	110.0	2.0	3-5	150.0	1.0	3-5	120	1.0	3-6	140	2.0	5-6	180	4.0	3=>5	180.0	1.0	3-5-6	240.0	1.0	3=>5=>6	470.0	1.0	(5,6),3,2,1,4	563124	563124	563124								
201830051002	ダ	右	1200	晴	良	16:00	3歳以上C4ー5		2018-5-10	2	門別	4	(馬齢)		5.0	850.0	4.0	5.0	280.0	2.0	1.0	340.0	3.0	1-5	2430.0	10.0	1-5	670	8.0	3-5	400	5.0	1-3	570	7.0	5=>1	2750.0	13.0	1-3-5	1880.0	8.0	5=>1=>3	17600.0	58.0			(1,2),3,5,6,7,4	(1,2),3,5,6,4,7								
201830051003	ダ	右	1200	晴	良	16:30	3歳条件未勝利		2018-5-10	2	門別	4	(馬齢)		6.0	140.0	1.0	6.0	120.0	1.0	3.0	190.0	3.0	3-6	490.0	2.0	3-6	270	2.0	2-6	1,190	12.0	2-3	4,310	21.0	6=>3	650.0	3.0	2-3-6	4440.0	12.0	6=>3=>2	11580.0	29.0			6,(3,7,8),2,(4,5),1	6,3,(7,8),2,(4,5),1			2.0	930	8.0			
201830051004	ダ	右	1000	晴	良	17:05	3歳以上C4ー5		2018-5-10	2	門別	4	(馬齢)		3.0	330.0	3.0	3.0	120.0	3.0	2.0	100.0	1.0	2-3	190.0	1.0	2-3	110	1.0	3-8	160	3.0	2-8	130	2.0	3=>2	620.0	4.0	2-3-8	170.0	1.0	3=>2=>8	1190.0	4.0			2,8,3,1,5,6,(4,7)	(2,8),3,1,5,6,(4,7)			8.0	110	2.0			
201830051005	ダ	右	1200	晴	良	17:35	JRA認定フレッシュ		2018-5-10	2	門別	4	牝(馬齢)		4.0	150.0	1.0	4.0	130.0	1.0	1.0	220.0	4.0	1-4	480.0	2.0	1-4	190	1.0	2-4	320	4.0	1-2	500	8.0	4=>1	590.0	2.0	1-2-4	1330.0	6.0	4=>1=>2	3280.0	8.0			(1,4),2,5,7,6,8	(1,4),2,5,6,7,8								
201830051006	ダ	右	1000	晴	良	18:10	JRA認定フレッシュ		2018-5-10	2	門別	4	(馬齢)		4.0	570.0	4.0	4.0	130.0	4.0	5.0	120.0	1.0	4-5	490.0	2.0	4-5	250	4.0	4-9	290	5.0	5-9	230	3.0	4=>5	950.0	3.0	4-5-9	480.0	1.0	4=>5=>9	3350.0	9.0			5,4,(2,9),3-8,1,6,10,7	5,4,9,2,3,(1,8)-6,10,7			9.0	130	3.0	4-5	260.0	1.0
201830051601	ダ	右	1000	晴	良	14:40	3歳条件未勝利		2018-5-16	3	門別	1	(馬齢)		9.0	290.0	2.0	9.0	140.0	2.0	5.0	300.0	5.0	5-9	2060.0	8.0	5-9	650	7.0	8-9	540	5.0	5-8	1,020	15.0	9=>5	3180.0	14.0	5-8-9	3130.0	14.0	9=>5=>8	17400.0	61.0			9,5,(10,8),2,7,6,4,(1,3)	9,5,(10,8),2,(7,6),4,1,3			8.0	160	3.0	5-8	1530.0	8.0
201830051602	ダ	右	1000	晴	良	15:10	3歳以上C4ー5		2018-5-16	3	門別	1	(馬齢)		8.0	660.0	4.0	8.0	190.0	3.0	3.0	160.0	2.0	3-8	790.0	3.0	3-8	140	1.0	1-8	230	4.0	1-3	220	2.0	8=>3	1710.0	7.0	1-3-8	1280.0	6.0	8=>3=>1	7330.0	33.0			(9,3,8),7,1,6,2,4,5	(3,8),9,(1,7),6,2,4-5			1.0	210	4.0	3-8	580.0	3.0
201830051603	ダ	右	1000	晴	良	15:40	3歳以上C4ー2		2018-5-16	3	門別	1	(馬齢)		2.0	140.0	1.0	2.0	110.0	1.0	3.0	180.0	4.0	2-3	410.0	3.0	2-3	210	3.0	2-6	150	2.0	3-6	370	7.0	2=>3	460.0	3.0	2-3-6	280.0	2.0	2=>3=>6	820.0	3.0			(2,3),6,1,5,4,7	(2,3),6,1-5,4-7								
