	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
201450010201	ダ	右	1400	晴	稍重	10:55	3歳六組四		2014-1-2	22	園田	1	(馬齢)		3	180	1	3	100	1	5	100	2	1.0	240	5.0	3-5	160	1	3-5	120	1	1-3	370	4	1-5	370	5	3=>5	310	1	1-3-5	570	3	3=>5=>1	1480	5	3,5,1,7,2,(6,8),4	35172648	3,5,1,4,(2,7),6,8	35142678					
201450010202	ダ	右	1400	晴	稍重	11:25	3歳六組三		2014-1-2	22	園田	1	(馬齢)		7	700	3	7	130	2	6	100	1	2.0	180	5.0	6-7	370	2	6-7	210	2	2-7	630	9	2-6	250	4	7=>6	1260	6	2-6-7	1100	6	7=>6=>2	6950	20	7,6,8,4,2,5,3-1	76482531	7,8,6,4,2,5,3=1	7,6,8,4,2,5,3=1					
201450010203	ダ	右	1400	晴	稍重	11:55	3歳六組二		2014-1-2	22	園田	1	(馬齢)		8	620	3	8	100	2	2	120	3	1.0	100	1.0	2-8	1800	6	2-8	370	7	1-8	220	2	1-2	150	1	8=>2	4540	15	1-2-8	630	2	8=>2=>1	10310	34	16283574	16283574	1,6,(2,8),(3,4),5,7	8,(1,6),2,5,3,4,7					
201450010204	ダ	右	1400	晴	稍重	12:25	3歳六組一		2014-1-2	22	園田	1	(馬齢)		8	170	1	8	110	1	9	110	2	5.0	180	4.0	8-9	350	1	8-9	150	1	5-8	240	3	5-9	350	4	8=>9	540	1	5-8-9	690	2	8=>9=>5	2430	2	8,9,3,6,4,7,(1,5),2	896347152	8,9,6,3,7,(4,5),1-2	896351472			8-8	340.0	1.0
201450010205	ダ	右	1400	晴	稍重	12:55	C3二		2014-1-2	22	園田	1	(馬齢)		7	140	1	7	110	1	9	120	2	8.0	170	4.0	7-9	290	1	7-9	130	1	7-8	200	2	8-9	360	6	7=>9	390	1	7-8-9	540	1	7=>9=>8	1450	2	1,3,4,2,9,(7,8),6,5,10	1,(3,4),9,2,(7,8),6,5,10	49173852610	(1,9),7,4,8,5,3,2,10,6			7-8	250.0	1.0
201450010206	ダ	右	1400	晴	稍重	13:30	C3一		2014-1-2	22	園田	1	(馬齢)		10	810	5	10	260	6	9	230	5	7.0	140	1.0	9-10	3160	15	9-10	1,000	16	7-10	620	8	7-9	530	6	10=>9	8020	32	7-9-10	3160	11	10=>9=>7	29150	105	10917285643	10,9,1,7,2,8,5,6,(3,4)	10,9,7,8,(1,5),2,4,6,3	10978524163			8-8	2330.0	8.0
201450010207	ダ	右	1700	晴	稍重	14:05	C2		2014-1-2	22	園田	1	(馬齢)		5	140	1	5	100	1	10	170	3	6.0	240	5.0	5-10	770	4	5-10	260	2	5-6	360	4	6-10	1,070	15	5=>10	960	3	5-6-10	2090	8	5=>10=>6	5940	23	6,10,3,7,(2,5),9,1,4,8	6,10,(2,3),7,5,(1,9),4,8	10,(5,6),(2,3),4,1,(8,9),7	51062314879			5-8	400.0	2.0
201450010208	ダ	右	1400	晴	稍重	14:40	北陸・近畿地区交流C 		2014-1-2	22	園田	1	(馬齢)		1	110	1	1	100	1	3	100	2	6.0	130	3.0	1-3	180	1	1-3	110	1	1-6	250	3	3-6	310	6	1=>3	220	1	1-3-6	350	1	1=>3=>6	540	1	10,8,9,3,7,6,1-4,2,5	10,8,9,3,6,7,1-(2,4),5	11036897254	11036892547			1-3	180.0	1.0
201450010209	ダ	右	1400	晴	稍重	15:15	北陸・近畿地区交流C 		2014-1-2	22	園田	1	(馬齢)		6	400	2	6	190	3	10	330	5	3.0	160	2.0	6-10	2140	9	6-10	740	9	3-6	610	7	3-10	1,270	13	6=>10	4400	17	3-6-10	7270	21	6=>10=>3	34660	105	10,6,(2,8),3,11,1,5,7,4,9	10,6,2,8,3,(1,11),5,7,4,9	10,6,(2,11),(7,8),3,1,9,5,4	6102117389154			6-8	650.0	5.0
201450010210	ダ	右	1400	晴	稍重	15:50	そのだは面白い!青芝 		2014-1-2	22	園田	1	(馬齢)		10	450	2	10	140	2	1	230	5	4.0	120	1.0	1-10	4480	18	1-10	1,270	19	4-10	260	2	1-4	750	7	10=>1	7480	25	1-4-10	3220	8	10=>1=>4	28980	84	1,8,10,3,(4,12),2,5,11,6,9,7	1,8,10,3,4,12,2,5,11,6,(7,9)	8,1,10,12,3,4,5,2,7,(6,11),9	1,8,10,3,4,(5,12),2,7,6,11,9			1-7	4080.0	15.0
