	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201944012101	ダ	右	1400	晴	良	10:40	未受賞		2019-1-21	17	大井	1	(別定)		5	130	1	5.0	110	1.0	3.0	220	5.0	4.0	230	6.0	3-5	1180.0	5.0	3-5	870	4	3-5	370	4	4-5	320	3	3-4	1,330	13	5=>3	1030.0	3.0	5=>3	1290	5	3-4-5	2080	7	5=>3=>4	7200	22		2453171291168.0	2,4,(3,5),12,1,7,9,11,8,6	2453121971168	13.4 - 12.2 - 12.7 - 13.0 - 13.8 - 13.2 - 14.4	13.4 - 25.6 - 38.3 - 51.3 - 65.1 - 78.3 - 92.7 (38.3-41.4)
201944012102	ダ	右	1200	晴	良	11:10	未受賞		2019-1-21	17	大井	1	(別定)		6	140	1	6.0	130	1.0	3.0	340	5.0	11.0	490	6.0	2-4	830.0	4.0	3-6	760	4	3-6	350	3	6-11	830	8	3-11	3,190	29	4=>2	1030.0	4.0	6=>3	1010	4	3-6-11	5800	19	6=>3=>11	12070	37			11,5,6,4,14,(3,10),12,15,7,2,8,1	11,5,(4,6),(3,14),12,10,7,15,2,8,1	12.7 - 11.9 - 12.7 - 13.3 - 12.6 - 13.5	12.7 - 24.6 - 37.3 - 50.6 - 63.2 - 76.7 (37.3-39.4)
201944012103	ダ	右	1400	晴	良	11:40	C3十　11		2019-1-21	17	大井	1	(別定)		1	210	1	1.0	140	2.0	5.0	150	3.0	10.0	350	6.0	1-3	360.0	1.0	1-5	330	1	1-5	270	3	1-10	1,080	14	5-10	1,030	12	1=>3	570.0	1.0	1=>5	420	1	1-5-10	3070	9	1=>5=>10	7040	20		1.1216521114108933e+22	11611512147281510936134	11611512782141510936134	13.4 - 11.5 - 11.8 - 12.5 - 13.6 - 13.1 - 13.3	13.4 - 24.9 - 36.7 - 49.2 - 62.8 - 75.9 - 89.2 (36.7-40.0)
201944012104	ダ	右	1200	晴	良	12:10	C3十　11		2019-1-21	17	大井	1	(別定)		7	140	1	7.0	100	1.0	5.0	110	2.0	10.0	810	10.0	4-5	150.0	1.0	5-7	140	1	5-7	120	1	7-10	1,890	23	5-10	2,050	24	5=>4	210.0	1.0	7=>5	210	1	5-7-10	3280	9	7=>5=>10	6310	18			1,5,7,14,(3,9),13,10,4,6,2,12,11,8	1,5,7,(3,14),9,10,13,2,4,6,12,11,8	13.0 - 11.1 - 12.1 - 13.4 - 12.8 - 13.4	13.0 - 24.1 - 36.2 - 49.6 - 62.4 - 75.8 (36.2-39.6)
201944012105	ダ	右	1400	晴	良	12:40	B3五		2019-1-21	17	大井	1	(別定)		8	110	1	8.0	100	1.0	6.0	140	2.0	5.0	210	5.0	6-7	370.0	1.0	6-8	380	1	6-8	200	1	5-8	320	5	5-6	720	9	7=>6	470.0	1.0	8=>6	440	1	5-6-8	1250	5	8=>6=>5	2490	5		8106291534.0	8106952134.0	8106952314.0	13.4 - 11.8 - 12.0 - 12.7 - 13.3 - 12.5 - 13.0	13.4 - 25.2 - 37.2 - 49.9 - 63.2 - 75.7 - 88.7 (37.2-38.8)
201944012106	ダ	右	1600	晴	良	13:15	C2五　六		2019-1-21	17	大井	1	(別定)		11	3150	7	11.0	670	7.0	6.0	150	2.0	8.0	390	6.0	5-8	2670.0	11.0	6-11	4370	12	6-11	1,010	12	8-11	3,370	26	6-8	540	6	8=>5	10100.0	31.0	11=>6	15270	30	6-8-11	11450	30	11=>6=>8	158770	253	11,(1,3),4,6,7,9,8,12,5,10,2	11,3,(1,4),7,6,9,8,12,5,10,2	111346712895102	111436781295210	12.8 - 12.3 - 13.2 - 12.9 - 12.7 - 13.6 - 13.6 - 13.4	12.8 - 25.1 - 38.3 - 51.2 - 63.9 - 77.5 - 91.1 - 104.5 (38.3-40.6)
201944012107	ダ	右	1200	晴	良	13:50	C2五　六		2019-1-21	17	大井	1	(別定)		10	450	2	10.0	180	2.0	9.0	190	3.0	5.0	1,750	13.0	5-5	1480.0	6.0	9-10	1120	4	9-10	410	3	5-10	5,070	46	5-9	4,330	42	5=>5	1390.0	5.0	10=>9	2460	9	5-9-10	27680	76	10=>9=>5	101830	281			9,10,12,4,(6,13,2),11,15,14,5,8,1,16,3,7	9,10,12,4,6,13,2,15,14,(5,8),11,1,16,(7,3)	12.6 - 11.2 - 12.0 - 13.0 - 12.5 - 13.7	12.6 - 23.8 - 35.8 - 48.8 - 61.3 - 75.0 (35.8-39.2)
201944012108	ダ	右	1600	晴	良	14:25	C2三　四		2019-1-21	17	大井	1	(別定)		1	1150	4	1.0	390	6.0	4.0	290	3.0	3.0	630	9.0	1-2	4220.0	11.0	1-4	4770	15	1-4	2,000	21	1-3	2,850	31	3-4	3,090	34	1=>2	15010.0	32.0	1=>4	11820	33	1-3-4	45840	119	1=>4=>3	188630	473	41112151316514361091872	41112151316514369101872	41112131516561431019728	4,11,(13,15,16),5,12,(14,6),3,1,9,10,7,2,8	12.9 - 11.8 - 13.3 - 13.5 - 13.0 - 13.7 - 13.8 - 13.4	12.9 - 24.7 - 38.0 - 51.5 - 64.5 - 78.2 - 92.0 - 105.4 (38.0-40.9)
201944012109	ダ	右	1200	晴	良	15:00	C2三　四		2019-1-21	17	大井	1	(別定)		1	650	3	1.0	240	4.0	7.0	190	3.0	11.0	350	7.0	1-4	1670.0	10.0	1-7	1300	4	1-7	500	3	1-11	1,140	19	7-11	950	14	1=>4	2830.0	14.0	1=>7	3200	12	1-7-11	5000	19	1=>7=>11	27950	94			11,15,1,2,5,4,7,8,6,9,3,10,14-12,13	111512789534106141213	12.7 - 11.0 - 11.9 - 13.0 - 12.8 - 13.5	12.7 - 23.7 - 35.6 - 48.6 - 61.4 - 74.9 (35.6-39.3)
201944012110	ダ	右	1700	晴	良	15:35	迎春賞		2019-1-21	17	大井	1	(別定)		5	130	1	5.0	110	1.0	11.0	390	6.0	1.0	170	3.0	4-7	560.0	3.0	5-11	2410	7	5-11	550	6	1-5	200	1	1-11	1,860	19	4=>7	680.0	3.0	5=>11	2830	8	1-5-11	3400	10	5=>11=>1	14150	43	56124139110738112	5,6,12,4,(9,13),(1,7),10,3,8,11,2	56124913371081112	56412913738111102	7.2 - 12.2 - 13.4 - 12.7 - 12.6 - 13.0 - 13.5 - 12.8 - 13.3	7.2 - 19.4 - 32.8 - 45.5 - 58.1 - 71.1 - 84.6 - 97.4 - 110.7 (32.8-39.6)
201944012111	ダ	右	2000	晴	良	16:10	ウェルカム2019賞 		2019-1-21	17	大井	1	(別定)		3	200	1	3.0	130	1.0	1.0	530	9.0	9.0	1,090	13.0	1-2	2150.0	9.0	1-3	2350	7	1-3	810	7	3-9	2,230	23	1-9	8,770	70	2=>1	2840.0	12.0	3=>1	3360	10	1-3-9	26880	76	3=>1=>9	69980	207	(3,4),7,14,15,11,10,12,6,9,2,8,13,5,1	347141511101269281351	347141011612928135115	3,4,10,7,11,12,14,6,9,2,(13,8),5,1-15	12.6 - 11.7 - 12.6 - 13.3 - 13.1 - 12.8 - 13.3 - 14.3 - 12.7 - 13.0	12.6 - 24.3 - 36.9 - 50.2 - 63.3 - 76.1 - 89.4 - 103.7 - 116.4 - 129.4 (36.9-40.0)
201944012112	ダ	右	1600	晴	良	16:50	銀嶺賞競走 		2019-1-21	17	大井	1	(別定)		1	170	1	1.0	120	1.0	6.0	250	4.0	16.0	330	6.0	1-3	640.0	3.0	1-6	1090	2	1-6	390	3	1-16	630	5	6-16	1,830	20	1=>3	840.0	1.0	1=>6	1240	2	1-6-16	3390	6	1=>6=>16	9920	10	1,14,10,2,9,15,(6,13),12,3,7,8,16,4,5,11	11410296151331271684511	12101463121691571345811	12610314161279134155811	12.4 - 12.0 - 13.0 - 12.6 - 12.4 - 13.2 - 13.3 - 13.0	12.4 - 24.4 - 37.4 - 50.0 - 62.4 - 75.6 - 88.9 - 101.9 (37.4-39.5)
201944012201	ダ	右	1200	晴	良	10:40	3歳　60万		2019-1-22	17	大井	2	60万円未満	(別定)	9	940	4	9.0	210	3.0	4.0	140	1.0	12.0	570	7.0	3-5	1160.0	6.0	4-9	1380	6	4-9	620	7	9-12	2,820	27	4-12	1,560	18	5=>3	2660.0	13.0	9=>4	3040	12	4-9-12	14500	46	9=>4=>12	69830	199			1,(2,5),10,(4,9),11,7,14,(3,15),8,13,6,12	152491014117315813612	12.8 - 11.3 - 12.6 - 13.7 - 13.5 - 14.2	12.8 - 24.1 - 36.7 - 50.4 - 63.9 - 78.1 (36.7-41.4)
201944012202	ダ	右	1400	晴	良	11:10	C3八　九		2019-1-22	17	大井	2	(別定)		3	510	3	3.0	170	3.0	4.0	130	1.0	8.0	590	10.0	2-2	460.0	2.0	3-4	440	2	3-4	280	2	3-8	1,830	20	4-8	1,210	12	2=>2	520.0	1.0	3=>4	1160	5	3-4-8	5040	12	3=>4=>8	20530	57		12,6,5,11,8,3,13,4,10,(7,14),1,15,2,16,9	12,6,8,3,11,5,4,10,13,(1,7),14,2,15,(9,16)	12,6,8,3,11,4,(1,10),13,7,(2,5),15,14,9,16	13.6 - 11.9 - 12.3 - 12.8 - 13.5 - 13.3 - 14.0	13.6 - 25.5 - 37.8 - 50.6 - 64.1 - 77.4 - 91.4 (37.8-40.8)
201944012203	ダ	右	1200	晴	良	11:40	C3八　九		2019-1-22	17	大井	2	(別定)		4	110	1	4.0	110	1.0	9.0	890	9.0	1.0	370	6.0	3-6	1600.0	7.0	4-9	3050	8	4-9	1,230	13	1-4	580	6	1-9	14,150	53	3=>6	1690.0	8.0	4=>9	3770	11	1-4-9	16290	43	4=>9=>1	45670	115			46910275131381412	4,6,9,2,(7,10),5,13,1,3,8,14,12	13.0 - 11.8 - 12.4 - 13.3 - 12.4 - 13.2	13.0 - 24.8 - 37.2 - 50.5 - 62.9 - 76.1 (37.2-38.9)
