waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2017105260	オークヒルハウス			05578	落合玄太	05749	櫻井拓章	506	-16
2	2	2016101633	オールフォーワン			05534	石川倭	a0264	千葉津代	480	4
3	3	2017106049	ゴールドサブリナ			05389	岩橋勇二	05512	山田和久	434	0
4	4	2017100092	オーゴンノカゼ			05502	松井伸也	05025	谷口常信	444	0
5	5	2017100877	ジニアテソーロ			05089	宮崎光行	a02a1	安田武広	452	2
6	6	2016100395	キョウエイホープ			05286	服部茂史	a0373	秋田大助	420	-4
7	7	2017104736	チビノシズカ			05492	阿部龍	05311	角川秀樹	488	-2
8	8	2017100222	クリノティファニー			05411	桑村真明	05615	佐久間雅	446	-6
8	9	2015106464	アースルナ			a01ec	宮平鷹志	a024d	岡島玉一	424	-2
