rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	7	7		シンデレラマキ	牝4	54.0		村上忍	0:51.3		1-1	36.2	1.2	1	438	-5		櫻田康二		乙訓史樹	20.0
2	5	5		マッチョベリー	牝4	54.0		高松亮	0:52.1	5.0	3-2	37.0	5.2	2	492	2		佐藤雅彦		栗山正	5.2
3	1	1		グッバイサマー	牝5	52.0		塚本涼人	0:52.9	5.0	2-3	37.8	29.1	6	438	0		酒井仁		澤田孝之	2.8
4	6	6		アマノラヴィータ	牝4	54.0		山本政聡	0:53.0	クビ	4-4	37.4	20.2	4	484	-7		城地俊光		川合秀宏	2.0
5	7	8		フィルハーモニー	牝4	54.0		岩本怜	0:53.4	2.1/2	6-5	37.2	69.0	8	528	2		板垣吉則		薄井隆博	1.0
6	3	3		シャインボルテージ	牝3	54.0		鈴木祐	0:53.8	2.1/2	5-6	37.9	57.8	7	411	0		平澤芳三		小橋亮太	
7	4	4		ピュアサクヤヒメ	牝3	54.0		高橋悠里	0:53.9	1/2	7-7	37.9	13.5	3	481	6		鈴木七郎		鈴木雅俊	
8	8	9		ローリングハート	牝3	54.0		阿部英俊	0:54.2	1.1/2	8-8	38.0	27.8	5	405	3		佐々木由		欠畑圭一	
9	2	2		タンブラン	牝3	54.0		南郷家全	0:54.3	1/2	9-9	37.6	83.1	9	429	1		城地俊光		小橋亮太	
10	8	10		スタチュー	牡7	56.0		大坪慎	0:56.1	大	10-10	39.2	245.1	10	478	2		佐藤敏彦		畠山勝武	
