waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2016102113	ケルンキングダム	セ5	57.0	01152	小崎	01085	小崎	438	-4
2	2	2018102090	アイリッシュムーン	牝3	52.0	01095	吉田隼	01147	武井	480	8
3	3	2018103186	セイウンゴールド	牡3	54.0	01025	勝浦	00423	上原	482	10
4	4	2017106400	ポールトゥウィン	牡4	57.0	01163	坂井	01180	田中克	522	4
5	5	2018103565	ホウオウジョルノ	牡3	54.0	01140	横山和	01164	安田翔	468	0
5	6	2018104788	トゥーフェイス	牡3	54.0	01096	大野	01116	新開	482	2
6	7	2017104315	ブレッシングレイン	牡4	57.0	01170	横山武	01126	木村	496	-6
6	8	2016105011	ペルソナデザイン	セ5	57.0	01181	秋山稔	01038	手塚	474	2
7	9	2018102227	アナゴサン	牡3	54.0	01015	古川吉	01123	牧田	456	-4
7	10	2018101562	カフジアスール	牡3	54.0	01182	泉谷	01039	中竹	466	-4
8	11	2016104238	ヤップヤップヤップ	牡5	57.0	01091	丹内	00420	宗像	456	4
8	12	2017106221	タカンナ	牝4	55.0	01109	黛	00380	柄崎	430	-14
