waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2018105620	アラメア			05572	佐原秀泰	05726	那俄性哲	465	1
2	2	2018103158	ボールドマーカー			05600	塚本雄大	a02d3	目迫大輔	437	4
3	3	2018102024	ヤマニンマリンバ			a0041	西川敏弘	a02d3	目迫大輔	453	-1
4	4	2018102018	ヤマニンミレニアム			a0256	西森将司	a02d3	目迫大輔	443	-1
5	5	2018105483	エレメンタル			a0185	宮川実	a02b0	打越勇児	450	0
6	6	2018102458	ラッジョディソーレ			05481	倉兼育康	a0055	細川忠義	463	11
7	7	2018101303	ノアムサシ			a0270	岡村卓弥	a01de	川野勇馬	471	4
7	8	2017106452	メイショウサソリザ			a023d	大澤誠志	a0049	宗石大	407	-6
8	9	2018104087	ブーゲンビリア			a0258	山崎雅由	a0043	雑賀正光	415	-3
8	10	2018102263	ゼンノペギング			05536	永森大智	a0043	雑賀正光	433	-2
