waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2017102350	エイシンマシーン			05390	吉村智洋	05707	諏訪貴正	463	-2
2	2	2017103279	トレベーラ			05338	渡瀬和幸	a02c0	雑賀伸一	497	15
3	3	2012103121	レーザー			a0395	永井孝典	05466	山口浩幸	496	-1
4	4	2010105347	キルタンサス			05567	大柿一真	a0212	織田誠	450	0
5	5	2017109114	オーロラフェアリー			05584	山田雄大	05707	諏訪貴正	410	-2
6	6	2017101262	リヴィエラボーイ			a029e	笹田知宏	a02f1	有馬澄男	465	-2
7	7	2017101404	マタギ			05474	竹村達也	a024a	小村正也	461	4
7	8	2015101400	ホーリーカバージョ			a007f	寺地誠一	05470	黒田隆男	459	-2
8	9	2017101487	ボーイッシュガール			00815	川原正一	05605	徳本慶一	408	-1
8	10	2017102474	エムザックベルガー			05581	松木大地	05266	田中道夫	461	0
