rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	5	5		シュネルバレイ	牡7	56.5		笹川翼	1:15.9		9-5-4	39.4	3.1	2	494	12		川島正一		吉田照哉	100.0
2	6	8		コットンクラブ	牡5	56.5		川島正太	1:16.1	1.0	1-1-1	40.1	21.8	6	529	9		山下貴之		山住勲	40.0
3	4	4		マグナスエフェクト	牡6	56.5		山本聡紀	1:16.1	ハナ	8-9-8	39.2	4.6	3	464	2		山下貴之		市村義和	25.0
4	3	3		タツミアンダルシア	牡6	56.5		保園翔也	1:16.2	1/2	7-9-10	39.3	36.8	7	473	1		石井勝男		矢口龍彦	15.0
5	7	9		マオノピュア	牝4	54.5		吉原寛人	1:16.3	1/2	12-12-11	39.0	55.2	8	429	-7		渋谷信博		湯浅健司	10.0
6	5	6		プラジュニャー	牝5	54.5		酒井忍	1:16.5	1.0	4-7-7	39.8	176.6	12	473	1		宇野木博		小島光治	
7	6	7		オールウェイ	牡5	56.5		山中悠希	1:16.6	1/2	2-2-2	40.5	74.3	9	521	9		渡辺薫		（有）槇本牧場	
8	8	12		モエレコネクター	牡4	56.5		森泰斗	1:16.8	3/4	6-3-3	40.6	2.8	1	501	-5		斉藤敏		中村時子	
9	2	2		フレンチチェリー	牝4	54.5		本田正重	1:16.9	1/2	3-6-6	40.3	12.6	5	440	4		張田京		（株）レックス	
10	7	10		トップフェイス	セ6	56.5		矢野貴之	1:16.9	クビ	5-4-5	40.5	6.2	4	464	-2		佐藤賢二		村山哲生	
11	8	11		フルクトゥス	牡4	56.5		岡村健司	1:17.0	クビ	11-11-12	39.7	167.7	11	451	1		伊藤滋規		組）滋友会	
12	1	1		アザミ	牝6	53.5		福原杏	1:17.1	1/2	10-8-9	40.2	123.2	10	456	3		内野健二		（同）ＪＰＮ技研	
