rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	2	2		シャランドール	牝4	51.0		七夕裕次	1:42.2		1-1-1-1	38.7	3.6	1	481	6		佐藤祐司		（有）下河辺牧場	45.0
2	6	6		ミオサヴァイブ	牡7	56.0		村上忍	1:42.6	2.1/2	6-6-4-4	38.5	4.0	2	458	0		板垣吉則		杉浦和也	15.8
3	1	1		マイネルレイール	牡7	56.0		菅原辰徳	1:43.3	4.0	3-3-3-2	39.4	26.3	7	467	7		板垣吉則		杉浦和也	9.0
4	5	5		ハローマイフレンド	牡5	56.0		山本聡哉	1:43.4	3/4	11-11-9-10	38.5	5.3	3	420	4		橘友和		石川秀守	4.5
5	4	4		ローンスター	牡4	56.0		山本政聡	1:43.5	1/2	4-4-2-3	39.7	5.6	5	444	-8		佐藤敏彦		今野徳男	2.3
6	8	10		ダンストンレイール	牝5	54.0		坂口裕一	1:43.7	1.1/2	2-2-5-5	40.0	12.6	6	457	4		畠山信一		伊藤治子	
7	7	9		ステイクロース	セ9	56.0		小林凌	1:43.8	1/2	10-10-10-8	39.1	140.1	10	442	-3		飯田弘道		山崎和哉	
8	8	11		パッションアイコ	牝5	54.0		南郷家全	1:43.9	クビ	7-8-6-7	39.4	53.1	9	447	-3		高橋純		大黒富美子	
9	6	7		ヤマニンポラール	セ5	56.0		陶文峰	1:44.0	1/2	7-7-6-6	39.5	41.7	8	454	-3		伊藤和忍		土井久美子	
10	7	8		ヒラヒラ	牝5	54.0		関本淳	1:44.3	1.1/2	7-9-10-10	39.6	164.7	11	461	-2		晴山厚司		石川貴久	
11	3	3		ベルウッドタマド	牡8	56.0		高松亮	1:44.5	3/4	4-5-6-9	40.2	5.3	4	483	-2		佐藤雅彦		（同）ＭＩＲＡＩ	
