日付	天気	R	頭数	枠番	馬番	オッズ	人気	着順	斤量	馬場	タイム	着差	通過	ペース	上り	place	race_id	race_name	movie	jockey	field	distance	weight	gain	bounty
2022/02/13	雨	12	16	7	14	61.5	13	12	55.0	不	1:25.0	1.4	10-11	34.4-37.1	37.5	東京	202205010612	4歳以上2勝クラス	202205010612	00684	ダ	1400	484	12	0.0
2021/11/27	晴	8	16	1	1	65.3	10	13	55.0	稍	1:26.5	1.4	13-13	36.5-36.0	36.3	東京	202105050708	3歳以上2勝クラス	202105050708	00684	ダ	1400	472	-2	0.0
2021/10/10	晴	12	16	2	4	94.8	14	5	55.0	良	1:24.8	0.9	10-10	35.0-37.1	36.9	東京	202105040212	3歳以上2勝クラス	202105040212	00660	ダ	1400	474	-4	110.0
2021/08/22	曇	10	14	4	6	21.9	8	14	55.0	良	1:51.7	6.2	5-5-11-14	29.3-38.4	43.3	札幌	202101020410	大通公園特別(2勝クラス)	202101020410	01109	ダ	1700	478	6	0.0
2021/08/01	曇	12	14	5	7	25.8	10	5	55.0	良	1:46.6	0.6	8-7-7-5	29.0-38.8	38.7	函館	202102011012	竜飛崎特別(2勝クラス)	202102011012	01109	ダ	1700	472	-4	150.0
2021/06/26	曇	9	16	2	3	31.4	12	10	55.0	良	1:25.1	0.9	5-5	35.0-37.0	37.4	東京	202105030709	清里特別(2勝クラス)	202105030709	00660	ダ	1400	476	2	0.0
2021/01/17	曇	8	16	7	14	20.5	8	6	55.0	良	1:56.6	1.6	10-9-6-6	37.5-38.7	39.8	中山	202106010608	4歳以上2勝クラス	202106010608	01117	ダ	1800	474	0	0.0
2020/12/27	晴	9	16	6	11	37.3	8	6	55.0	良	1:56.0	0.8	4-4-4-3	39.1-37.6	38.1	中山	202006050809	ベストウィッシュC(2勝クラス)	202006050809	00660	ダ	1800	474	0	0.0
2020/11/14	晴	12	16	8	16	16.3	8	7	55.0	良	1:25.4	1.2	16-16	35.8-36.2	35.6	東京	202005050312	3歳以上2勝クラス	202005050312	00660	ダ	1400	474	-2	0.0
2020/10/17	雨	6	16	3	6	7.4	4	1	55.0	重	1:24.7	-0.3	6-5	34.9-37.5	37.0	東京	202005040306	3歳以上1勝クラス	202005040306	00660	ダ	1400	476	8	760.0
2020/08/15	曇	9	17	4	8	20.9	10	16	55.0	良	1:36.6	3.3	3-3	34.4-34.9	37.6	新潟	202004030109	村上特別(1勝クラス)	202004030109	00660	芝	1600	468	4	0.0
2020/07/18	曇	8	15	2	2	9.1	5	2	55.0	重	1:45.4	0.3	5-3-4-4	29.4-38.1	38.0	福島	202003020508	3歳以上1勝クラス	202003020508	00660	ダ	1700	464	-6	300.0
2020/06/21	晴	7	16	6	12	21.2	8	3	55.0	稍	1:24.8	0.6	3-2	34.8-37.2	37.5	東京	202005030607	3歳以上1勝クラス	202005030607	01092	ダ	1400	470	-2	190.0
2020/05/17	晴	6	14	7	11	9.5	5	5	55.0	稍	1:25.6	1.3	4-5	36.3-36.1	36.7	東京	202005020806	4歳以上1勝クラス	202005020806	00660	ダ	1400	472	-2	76.0
2020/04/26	晴	8	16	1	2	72.0	13	4	55.0	良	1:25.4	0.4	1-1	35.3-37.6	38.0	東京	202005020208	4歳以上1勝クラス	202005020208	01092	ダ	1400	474	2	110.0
2020/01/14	晴	9	12	7	9	1.9	1	1	54.0	良	1:30.3	-0.1	2-2-1-1	37.3-39.4	39.4	浦和	202042011409	ねばりで勝負!熊谷妻	movie.html?race_id=202042011409	05299	ダ	1400	472	4	100.0
2019/12/19	曇	4	12	6	7	3.6	1	1	54.0	稍	1:31.3	-0.7	3-3-2-2	39.5-39.8	39.6	川崎	201945121904	新春49歳以下ゴルフ	movie.html?race_id=201945121904	05269	ダ	1400	468	-1	100.0
2019/11/08	晴	3	12	1	1	3.3	2	1	54.0	良	1:30.4	-0.7	1-1-1-1	37.1-40.0	40.0	浦和	201942110803	3歳五　選抜馬イ	movie.html?race_id=201942110803	05269	ダ	1400	469	-2	110.0
2019/10/10	晴	1	8	5	5	5.9	3	8	54.0	良	1:33.1	4.7	2-3-5-6	35.9-39.3	43.4	浦和	201942101001	3歳五　選抜馬イ	movie.html?race_id=201942101001	05269	ダ	1400	471	9	0.0
2019/03/30	曇	1	16	6	11	20.3	10	5	54.0	良	1:13.2	0.4	4-4	34.9-37.9	38.0	中山	201906030301	3歳未勝利	201906030301	01127	ダ	1200	462	-4	50.0
2019/01/12	曇	3	16	3	5	49.9	10	6	54.0	良	1:13.7	1.1	6-6	34.9-37.7	38.3	中山	201906010303	3歳未勝利	201906010303	01031	ダ	1200	466	-4	0.0
2018/12/02	曇	5	16	5	10	16.5	7	12	54.0	良	1:58.4	3.7	1-1-1-1	38.2-38.5	42.2	中山	201806050205	2歳新馬	201806050205	01025	ダ	1800	470	0	0.0
