rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	5	5		マイサンシャイン	牡6	60.0		平沢健治	3:12.4		3-3-2-2	13.5	4.4	2	490	-4		五十嵐忠		三田昌宏	1,350.0
2	5	6		ブラックワンダー	セ6	60.0		伴啓太	3:12.6	1.1/4	1-1-1-1	13.5	171.7	12	444	-12		尾形和幸		佐野信幸	540.0
3	8	11		ショウナンサルヴォ	牡4	59.0		難波剛健	3:13.1	3.0	5-5-3-3	13.5	6.8	4	502	4		吉村圭司		国本哲秀	340.0
4	6	8		ペガーズ	牡8	60.0		白浜雄造	3:14.4	8.0	9-9-7-6	13.6	10.0	5	510	8		中尾秀正		カナヤマホールディングス	200.0
5	3	3		ワーウルフ	牡5	60.0		西谷誠	3:14.6	3/4	5-6-6-6	13.6	2.5	1	456	-4		坂口智康		窪田芳郎	135.0
6	8	12		ニューツーリズム	セ6	60.0		小野寺祐	3:14.7	3/4	7-7-7-6	13.6	24.5	7	504	-12		黒岩陽一		吉田晴哉	
7	4	4		テイエムグッドマン	牡8	60.0		高田潤	3:15.2	3.0	3-3-4-4	13.7	35.4	10	498	0		武英智		竹園正繼	
8	7	9		クライムメジャー	牡8	60.0		植野貴也	3:16.4	7.0	2-2-4-5	13.7	6.2	3	528	-14		渡辺薫彦		シルクレーシング	
9	7	10		テイエムチューハイ	牡8	60.0		小坂忠士	3:16.8	2.1/2	8-7-9-9	13.8	28.5	8	464	0		五十嵐忠		竹園正繼	
中	1	1		メイショウハニー	牝7	58.0		中村将之					30.7	9	456	2		藤沢則雄		松本好雄	
中	2	2		ゲインスプレマシー	セ6	60.0		草野太郎					16.4	6	492	8		高柳瑞樹		サンデーレーシング	
中	6	7		マイネルダンク	牡4	59.0		金子光希					53.5	11	442	-4		青木孝文		サラブレッドクラブ・ラフィアン	
