rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	2	2		ステーロ	牡5	56.0		木村暁	1:22.7		4-4-4-3	38.4	6.6	3	492	0		新田守		高橋敏英	55.0
2	7	9		サンエイロイヤル	牡5	56.0		高橋悠里	1:22.7	ハナ	1-1-1-1	39.2	8.5	5	503	-6		鈴木七郎		鈴木雅俊	19.3
3	4	4		サクセスストーリー	牡9	56.0		山本政聡	1:23.7	6.0	7-6-7-5	39.1	3.5	1	496	-2		新田守		高橋昇市	11.0
4	1	1		スノーガーデン	牝6	54.0		菅原辰徳	1:23.8	1/2	2-2-2-2	40.1	8.2	4	503	3		畠山信一		天笠哲勇	5.5
5	5	5		ダズンフラワー	牝7	54.0		陶文峰	1:23.9	1/2	9-9-9-7	38.8	20.7	8	427	2		菅原右吉		後藤順男	2.8
6	6	6		スタークォーツ	牝5	54.0		高松亮	1:24.1	1.1/4	6-8-8-7	39.2	8.9	6	512	9		櫻田康二		南條浩輝	
7	8	10		コンバットパンチ	牡7	56.0		岩本怜	1:24.1	クビ	8-7-5-6	39.4	14.0	7	490	0		三野宮通		（株）アプエンテ	
8	6	7		スティルプリンス	牡8	56.0		坂口裕一	1:24.1	ハナ	3-3-3-3	40.6	3.5	2	497	-1		村上昌幸		大黒富美子	
9	3	3		ダバイマリチック	セ4	56.0		鈴木祐	1:24.6	3.0	11-11-10-11	38.5	43.2	10	451	11		櫻田康二		（株）本城	
10	8	11		ラバーブ	牝5	54.0		村上忍	1:24.7	3/4	5-5-6-9	40.2	24.4	9	449	2		村上実		千葉浩	
11	7	8		ビーサルー	牝5	51.0		七夕裕次	1:25.1	2.1/2	10-10-10-10	39.1	287.5	11	493	9		吉田司		原剛	
