rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	8	11		サブノハクタカ	牡4	57.0		町田直希	1:44.1		3-3-2-1	39.5	3.4	2	468	-3		鷹見浩		中川三郎	300.0
2	8	10		ミリミリ	牝5	53.0		山崎誠士	1:44.1	クビ	5-6-3-3	39.3	24.3	6	490	4		小野寺晋		石川貴久	120.0
3	3	3		センプレフォール	牡8	57.0		笹川翼	1:44.4	1.1/2	9-9-8-7	39.0	11.1	5	443	5		米田英世		米津佳昭	75.0
4	5	5		ハーシェル	牡6	55.0		張田昂	1:44.5	3/4	10-10-6-5	39.4	7.3	3	481	-2		三坂盛雄		鈴木雅俊	45.0
5	6	7		ルーレットスピナー	牡7	55.0		東原悠善	1:45.3	4.0	8-8-5-4	40.3	125.1	10	459	-9		赤嶺本浩		豊島愛子	30.0
6	1	1		ヴォルスト	セ5	55.0		的場文男	1:45.5	1.0	6-5-10-9	39.7	2.1	1	502	-3		高野毅		前田幸治	
7	2	2		エバンタイユドール	牝5	53.0		岡村健司	1:45.6	クビ	7-7-7-6	40.2	24.4	7	532	4		佐宗応和		井上久光	
8	7	9		ポールネイロン	牝4	55.0		西啓太	1:45.6	ハナ	1-2-1-1	41.1	8.5	4	466	42		坂井英光		前田幸治	
9	6	6		ポルトドレーヴ	セ9	57.0		和田譲治	1:46.7	5.0	11-11-11-10	40.6	24.9	8	466	0		栗田泰昌		酒井孝敏	
10	4	4		グロリオーソ	牝4	55.0		篠谷葵	1:48.9	大	2-1-4-8	44.0	97.4	9	464	0		佐野謙二		仲尾正人	
11	7	8		ヘイワノツカイ	牡6	54.0		谷内貫太	1:49.8	4.0	4-4-9-11	44.2	219.7	11	488	11		渡部則夫		蔀恒一	
