	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
201155010501	ダ	右	1300	曇	重	10:45	3歳ー7組		2011-1-5	17	佐賀	4	(馬齢)		4	2830	7	4	280	3	8	1,650	8	6.0	550.0	7.0	4-8	20830	26	4-8	4,880	23	4-6	14,480	27	6-8	14,480	27	4=>8	89500	54	4-6-8	259260	56	4=>8=>6	532740	261.0	65348712.0	65347812.0	65437812.0	64758231.0					
201155010502	ダ	右	1400	曇	重	11:15	3歳ー5組		2011-1-5	17	佐賀	4	(馬齢)		6	560	3	6	370	7	5	310	6	7.0	270.0	5.0	5-6	1780	10	5-6	510	5	6-7	990	16	5-7	610	10	6=>5	4650	18	5-6-7	4500	14	6=>5=>7	34510	109.0	679385214.0	679358214.0	679354182.0	673541928.0			5-6	1340.0	9.0
201155010503	ダ	右	1400	曇	重	11:45	C2ー12組		2011-1-5	17	佐賀	4	(馬齢)		5	350	1	5	490	6	4	360	5				4-5	880	6	4-5	270	3	5-6	270	2	4-6	290	5	5=>4	1710	13	4-5-6	1100	6	5=>4=>6	5480	24.0	452136.0	452136.0	452136.0	542136.0					
201155010901	ダ	右	900	曇	良	10:45	C2ー32組		2011-1-9	17	佐賀	5	(馬齢)		1	300	1	1	110	1	8	140	3	4.0	120.0	2.0	1-8	500	2	1-8	200	2	1-4	170	1	4-8	230	3	1=>8	700	1	1-4-8	600	1	1=>8=>4	2630	1.0			18931042765.0	18432910756.0			1-7	560.0	1.0
201155010902	ダ	右	1300	曇	良	11:15	3歳ー9組		2011-1-9	17	佐賀	5	(馬齢)		2	130	1	2	100	1	4	120	2				2-4	230	1	2-4	120	1	1-2	420	6	1-4	870	9	2=>4	210	1	1-2-4	1440	5	2=>4=>1	2050	7.0	614235.0	641253.0	641253.0	614253.0					
201155010903	ダ	右	1300	曇	良	11:45	C2ー30組		2011-1-9	17	佐賀	5	(馬齢)		7	120	1	7	180	2	2	200	3				2-7	150	1	2-7	120	1	1-7	280	4	1-2	570	8	7=>2	190	1	1-2-7	640	2	7=>2=>1	1000	3.0	2716543.0	2716543.0	2715643.0	2716534.0					
201155010904	ダ	右	1300	曇	良	12:20	3歳ー10組		2011-1-9	17	佐賀	5	(馬齢)		9	240	1	9	110	1	2	130	2	4.0	450.0	9.0	2-9	350	1	2-9	250	2	4-9	1,920	22	2-4	1,520	19	9=>2	620	1	2-4-9	8790	23	9=>2=>4	27760	67.0	359264178.0	352946178.0	593264187.0	952346817.0			2-8	380.0	2.0
201155010905	ダ	右	1400	曇	良	12:55	C2ー5組		2011-1-9	17	佐賀	5	(馬齢)		4	320	2	4	100	1	3	280	4	2.0	190.0	3.0	3-4	1040	4	3-4	280	2	2-4	350	5	2-3	1,040	14	4=>3	2090	9	2-3-4	2880	11	4=>3=>2	9290	29.0	24513876.0	24135876.0	24351876.0	24135876.0					
201155010906	ダ	右	1400	曇	良	13:30	C2ー3組		2011-1-9	17	佐賀	5	(馬齢)		2	250	2	2	110	1	1	160	5	7.0	150.0	3.0	1-2	450	2	1-2	220	2	2-7	240	3	1-7	370	7	2=>1	720	2	1-2-7	670	3	2=>1=>7	1970	4.0	87126453.0	87124653.0	82714653.0	28714563.0					
201155010907	ダ	右	1400	曇	良	14:05	C1ー3組		2011-1-9	17	佐賀	5	(馬齢)		4	1120	5	4	230	4	6	320	5	3.0	160.0	3.0	4-6	3170	14	4-6	810	12	3-4	360	4	3-6	620	9	4=>6	4910	20	3-4-6	2560	10	4=>6=>3	20450	69.0	65814372.0	65814372.0	65847132.0	65481372.0					
201155010908	ダ	右	900	曇	良	14:40	佐賀すごかスプリント 		2011-1-9	17	佐賀	5	(別定)		1	350	3	1	120	2	3	120	1	4.0	150.0	4.0	1-3	440	1	1-3	280	3	1-4	330	6	3-4	240	2	1=>3	920	2	1-3-4	600	1	1=>3=>4	2530	3.0			13946102857.0	13649108257.0			1-3	560.0	1.0
201155010909	ダ	右	2000	曇	良	15:55	九州オールカマー 		2011-1-9	17	佐賀	5	(別定)		10	530	2	10	140	2	6	100	1	1.0	290.0	6.0	6-10	170	1	6-10	130	1	1-10	640	7	1-6	500	6	10=>6	780	2	1-6-10	630	2	10=>6=>1	3600	11.0	1146110578239.0	1146711052839.0	6111014752389.0	6101112573849.0			6-8	180.0	1.0
201155012301	ダ	右	900	晴	良	10:45	C2ー36組		2011-1-23	18	佐賀	4	(馬齢)		1	580	3	1	110	2	3	110	3	5.0	100.0	1.0	1-3	960	4	1-3	220	4	1-5	110	1	3-5	150	2	1=>3	1670	6	1-3-5	260	1	1=>3=>5	2640	11.0			159832764.0	159387264.0			1-3	970.0	5.0
201155012302	ダ	右	1300	晴	良	11:15	C2ー34組		2011-1-23	18	佐賀	4	(馬齢)		7	400	3	7	180	4	2	140	2	8.0	140.0	3.0	2-7	1470	7	2-7	480	6	7-8	350	5	2-8	290	3	7=>2	2240	12	2-7-8	1100	4	7=>2=>8	6820	26.0	37598210641.0	37952810641.0	37952108461.0	32710548961.0			2-7	480.0	2.0
