	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気
201130042901	ダ	右	1200	晴	重	14:10	C4		2011-4-29	1	門別	1	80万円以下	(馬齢)	4.0	140.0	1.0	4.0	100	1.0	5.0	130	2.0	4-5	190.0	1.0	4=>5	280.0	1.0	1-4-5	1100.0	5.0	4=>5=>1	2330.0	8.0			1,4,6,(2,5,3)	1,4,6,(2,5),3																	
201130042902	ダ	右	1000	晴	重	14:40	C4		2011-4-29	1	門別	1	40万円以下	(馬齢)	5.0	180.0	1.0	5.0	120	1.0	7.0	170	2.0	5-7	270.0	1.0	5=>7	420.0	1.0	4-5-7	2360.0	8.0	5=>7=>4	5470.0	19.0			5,6,(3,7),4,2,1	5,3,(6,7),4,2,1																	
201130042903	ダ	右	1000	晴	重	15:10	3歳　条件		2011-4-29	1	門別	1	(馬齢)		4.0	380.0	2.0	4.0	140	3.0	10.0	290	6.0	4-10	910.0	5.0	4=>10	2360.0	9.0	3-4-10	1210.0	3.0	4=>10=>3	6050.0	13.0			3,10,(4,8),(9,11),6,7,1,12,2,5	3,10,4,11,(6,8),9,7,1,(2,12),5			3.0	120.0	1.0	4-7	850.0	5.0									
201130042904	ダ	右	1200	晴	重	15:50	3歳　条件		2011-4-29	1	門別	1	(馬齢)		9.0	200.0	1.0	9.0	140	2.0	8.0	160	3.0	8-9	1470.0	5.0	9=>8	2210.0	7.0	8-9-10	670.0	1.0	9=>8=>10	5840.0	16.0			(5,8),4,9,7,10,3,6,(1,12),11-2	(5,8),(4,9),(7,10),(3,12),6,1,11-2			10.0	110.0	1.0	6-7	270.0	1.0									
201130042905	ダ	右	1700	晴	重	16:20	門別軽種馬生産振興会		2011-4-29	1	門別	1	(別定)		3.0	180.0	1.0	3.0	110	1.0	2.0	150	2.0	2-3	320.0	2.0	3=>2	430.0	1.0	2-3-4	860.0	3.0	3=>2=>4	2250.0	6.0	1362547.0	1362547.0	1,3,2,6,5,(4,7)	(1,3),2,4,5,6,7																	
201130042906	ダ	右	1200	晴	重	16:55	JRA認定スーパーフ		2011-4-29	1	門別	1	(馬齢)		8.0	1080.0	5.0	8.0	270	5.0	12.0	180	3.0	8-12	3290.0	14.0	8=>12	8270.0	30.0	5-8-12	4240.0	15.0	8=>12=>5	31310.0	95.0			(8,9),12,6,(5,4,7),(1,10),(11,2),3	(8,9),12,(5,6,4),7,1,(11,10,2),3			5.0	190.0	4.0	6-8	330.0	1.0									
201130042907	ダ	右	1200	晴	重	17:25	プレセペ特別 		2011-4-29	1	門別	1	150万円以下	(馬齢)	4.0	1410.0	6.0	4.0	150	4.0	1.0	110	2.0	1-4	2490.0	9.0	4=>1	5120.0	18.0	1-3-4	1050.0	4.0	4=>1=>3	14670.0	51.0			(7,6),3,8,(2,1,4),5	(7,6,3),4,(2,1),8,5			3.0	100.0	1.0												
201130042908	ダ	右	1800	晴	重	17:55	スピカ特別 		2011-4-29	1	門別	1	150万円以下	(馬齢)	5.0	580.0	3.0	5.0	190	2.0	6.0	230	3.0	5-6	1110.0	5.0	5=>6	1830.0	7.0	5-6-7	1560.0	4.0	5=>6=>7	6010.0	19.0	(1,5),4,2,7,3,6	1542736.0	(1,5),7,6,4,(2,3)	(1,5),7,6,4,3,2																	
201130042909	ダ	右	1700	晴	重	18:25	日高町水道協会特別 		2011-4-29	1	門別	1	250万円以下	(馬齢)	2.0	2330.0	6.0	2.0	190	5.0	8.0	120	1.0	2-8	1800.0	8.0	2=>8	6110.0	17.0	2-5-8	1960.0	7.0	2=>8=>5	24820.0	73.0	239718564	239178654.0	2,3,(4,1,8),(9,5),6,7	238541697			5.0	180.0	4.0	2-8	1670.0	8.0									
201130042910	ダ	右	1800	晴	重	18:55	門別町農業協同組合特 		2011-4-29	1	門別	1	250万円以下	(馬齢)	2.0	2100.0	5.0	2.0	180	4.0	3.0	140	3.0	2-3	2380.0	9.0	2=>3	6400.0	18.0	2-3-4	1740.0	6.0	2=>3=>4	18000.0	54.0	2,3,7,(4,5),8,6-1	2,3,7,(4,5),8,6=1	2,3,7,(4,5),8-6=1	(2,3),(4,7),(8,5)-6=1			4.0	130.0	2.0												
201130042911	ダ	右	1200	晴	重	19:25	ノーザンホースパーク 		2011-4-29	1	門別	1	250万円以下	(馬齢)	1.0	170.0	1.0	1.0	110	1.0	10.0	230	4.0	1-10	680.0	2.0	1=>10	1230.0	4.0	1-8-10	990.0	2.0	1=>10=>8	3630.0	7.0			181043611529127	1,8,10,4,3,6,11,5,(9,12),2,7			8.0	130.0	2.0	1-7	500.0	2.0									
201130042912	ダ	右	1200	晴	重	20:00	北斗盃〔H2〕	G	2011-4-29	1	門別	1	(馬齢)		10.0	1580.0	6.0	10.0	280	6.0	12.0	270	4.0	10-12	8130.0	20.0	10=>12	24770.0	51.0	3-10-12	5130.0	18.0	10=>12=>3	99930.0	218.0			(6,14),(3,9,10),12,(5,11,13),2,1,8,7	14,(6,10),(3,9),12,(2,5,13),1,(8,11),7			3.0	140.0	2.0	6-7	4190.0	14.0									
201130050301	ダ	右	1000	晴	重	14:50	3歳　条件		2011-5-3	1	門別	2	(馬齢)		1.0	170.0	1.0	1.0	130	2.0	5.0	200	3.0	1-5	310.0	2.0	1=>5	310.0	1.0	1-5-6	740.0	3.0	1=>5=>6	1380.0	3.0			1,5,(6,2),3,4	1,5,2,6,3-4																	
201130050302	ダ	右	1200	晴	重	15:20	C4　ー3組		2011-5-3	1	門別	2	80万円以下	(馬齢)	1.0	360.0	2.0	1.0	130	2.0	3.0	170	3.0	1-3	350.0	2.0	1=>3	1170.0	5.0	1-2-3	510.0	3.0	1=>3=>2	3190.0	10.0			5,6,7,4,(1,3)-2	(5,6,7,3),(4,1),2																	
201130050303	ダ	右	1200	晴	重	16:20	3歳　条件		2011-5-3	1	門別	2	(馬齢)		2.0	190.0	1.0	2.0	120	1.0	4.0	120	2.0	2-4	390.0	2.0	2=>4	630.0	3.0	2-4-6	1650.0	5.0	2=>4=>6	3410.0	11.0			2,(4,6),1,3,(5,7),8	(2,4,6),(1,3),(8,7),5			6.0	280.0	6.0												
201130050304	ダ	右	1000	晴	重	16:50	C4　ー4組		2011-5-3	1	門別	2	80万円以下	(馬齢)	8.0	270.0	1.0	8.0	130	1.0	2.0	140	3.0	2-8	500.0	2.0	8=>2	920.0	3.0	2-7-8	2200.0	10.0	8=>2=>7	8280.0	25.0			2,(5,6,8,9),4,(1,3),7	(2,8,9),(5,6),4,(1,3),7			7.0	370.0	6.0	2-8	240.0	1.0									
201130050305	ダ	右	1700	晴	重	17:25	3歳　条件		2011-5-3	1	門別	2	100万円以下	(馬齢)	5.0	450.0	3.0	5.0	160	2.0	3.0	180	4.0	3-5	1360.0	6.0	5=>3	2750.0	11.0	1-3-5	760.0	3.0	5=>3=>1	6740.0	24.0	3,4,6,1,(2,5)	(3,4),6,(1,5),2	(3,4),(6,5),1,2	3,4,(6,5),1,2																	
201130050306	ダ	右	1000	晴	重	17:55	C4　ー2組		2011-5-3	1	門別	2	80万円以下	(馬齢)	7.0	240.0	1.0	7.0	170	2.0	3.0	200	4.0	3-7	330.0	1.0	7=>3	600.0	1.0	3-4-7	4640.0	19.0	7=>3=>4	13730.0	41.0			7,(2,3,8),1,6,5,4	7,(3,8),2,1,(6,5),4			4.0	560.0	8.0												
201130050307	ダ	右	1200	晴	重	18:25	日高町家畜自衛防疫組		2011-5-3	1	門別	2	100万円以下	(馬齢)	5.0	1400.0	5.0	5.0	340	5.0	2.0	200	4.0	2-5	2970.0	10.0	5=>2	7760.0	27.0	2-3-5	1470.0	4.0	5=>2=>3	23810.0	68.0			(2,3),8,(4,5),7,11,(6,9),1,10	(2,3),8,(4,5),6,(7,11),(1,9),10			3.0	140.0	2.0	2-5	2930.0	11.0									
201130050308	ダ	右	1200	晴	重	18:55	日高町建設協会杯リー 		2011-5-3	1	門別	2	160万円以下	(馬齢)	6.0	640.0	5.0	6.0	180	3.0	7.0	140	1.0	6-7	1130.0	4.0	6=>7	2920.0	11.0	6-7-12	12070.0	36.0	6=>7=>12	82900.0	224.0			(2,4),6,7,8,12,9,11,10,5,3,1	(2,4),6,7,(8,12),9,11,10,5,3,1			12.0	210.0	6.0	5-6	690.0	3.0									
