	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201143011711	ダ	左	1500	晴	良	16:20	ヒヨドリ賞		2011-1-17	10	船橋	1	(別定)		1.0	210.0	1.0	1.0	140	1.0	9.0	180	3.0	11.0	260.0	7.0	1-7	250.0	1.0	1-9	560.0	1.0	1-9	310	2.0	1-11	750	9.0	9-11	800	10.0	1=>7	460.0	1.0	1=>9	880.0	1.0	1-9-11	2120.0	6.0	1=>9=>11	6270.0	11.0	1,5,12,7,8,10,(4,9),3,11,(2,6)	1,5,(7,12),(8,10),(4,9),3,11,6,2	1,7,12,10,(4,5),9,8,(3,11),6,2	1,7,12,4,10,9,3,(8,11),6,5,2	6.9 - 11.4 - 12.5 - 12.9 - 12.3 - 12.5 - 13.2 - 13.8	6.9 - 18.3 - 30.8 - 43.7 - 56.0 - 68.5 - 81.7 - 95.5 (30.8-39.5)
201143011801	ダ	左	1200	晴	良	10:30	C3七		2011-1-18	10	船橋	2			5.0	170.0	1.0	5.0	120	1.0	6.0	140	3.0	8.0	140.0	4.0	5-6	430.0	2.0	5-6	500.0	2.0	5-6	180	2.0	5-8	160	1.0	6-8	310	4.0	5=>6	800.0	3.0	5=>6	690.0	2.0	5-6-8	550.0	1.0	5=>6=>8	2120.0	5.0		8,3,(2,5),7,(4,6,9),11,(1,10)	8,(3,5),2,7,9,4,6,11,10,1	8,5,3,2,(7,9),(4,6),11,10,1	12.9 - 11.8 - 12.0 - 12.6 - 13.4 - 14.0	12.9 - 24.7 - 36.7 - 49.3 - 62.7 - 76.7 (36.7-40.0)
201143011802	ダ	左	1500	晴	良	11:00	C3三　四イ		2011-1-18	10	船橋	2			6.0	2070.0	7.0	6.0	690	9.0	8.0	250	5.0	4.0	150.0	1.0	6-7	1200.0	7.0	6-8	13870.0	41.0	6-8	3,090	40.0	4-6	2,520	32.0	4-8	750	10.0	6=>7	1670.0	3.0	6=>8	40920.0	90.0	4-6-8	16600.0	69.0	6=>8=>4	182000.0	565.0	4,6,(1,8,7),2,3,9,(10,5),11	(4,7),(1,6),8,2,(3,9),(10,5),11	4,7,(1,6),9,(2,3,8),5,11,10	4,7,(1,6),(3,9),8,2,(11,5),10	7.1 - 12.6 - 12.9 - 12.2 - 12.1 - 12.7 - 14.0 - 14.9	7.1 - 19.7 - 32.6 - 44.8 - 56.9 - 69.6 - 83.6 - 98.5 (32.6-41.6)
201143011803	ダ	左	1600	晴	良	11:30	ブルーバードカップ 		2011-1-18	10	船橋	2	285万円以上		3.0	580.0	3.0	3.0	140	3.0	5.0	120	1.0							3-5	1110.0	3.0	3-5	150	3.0	1-3	100	1.0	1-5	110	2.0				3=>5	2320.0	8.0	1-3-5	140.0	1.0	3=>5=>1	3060.0	11.0	(4,5),3,(2,1)	4,5,3,(2,1)	4,5,3,(2,1)	(5,3),4,1,2	13.3 - 13.5 - 13.6 - 13.4 - 12.8 - 12.3 - 12.6 - 13.6	13.3 - 26.8 - 40.4 - 53.8 - 66.6 - 78.9 - 91.5 - 105.1 (40.4-38.5)
201143011804	ダ	左	1500	晴	良	12:00	4歳		2011-1-18	10	船橋	2	159万円以上		7.0	110.0	1.0	7.0	110	1.0	5.0	300	6.0	9.0	250.0	5.0	5-6	1390.0	5.0	5-7	1410.0	6.0	5-7	510	5.0	7-9	390	3.0	5-9	2,470	20.0	6=>5	1270.0	5.0	7=>5	1410.0	6.0	5-7-9	2870.0	11.0	7=>5=>9	7220.0	28.0	3,(7,10),2,5,8,4,11,9,6	(3,7,10),(2,5),8,4,6,(9,11)	7,10,3,5,(2,8),4,(6,9),11	7,10,5,8,3,(2,9),6,4,11	7.0 - 11.7 - 12.1 - 12.4 - 12.7 - 13.5 - 14.1 - 14.2	7.0 - 18.7 - 30.8 - 43.2 - 55.9 - 69.4 - 83.5 - 97.7 (30.8-41.8)
201143011805	ダ	左	1600	晴	良	12:30	3歳		2011-1-18	10	船橋	2	201万円以上285万円未満		5.0	270.0	1.0	5.0	140	3.0	6.0	170	4.0	1.0	140.0	2.0	5-6	870.0	4.0	5-6	950.0	5.0	5-6	350	4.0	1-5	280	3.0	1-6	420	6.0	5=>6	1630.0	8.0	5=>6	1830.0	7.0	1-5-6	1270.0	4.0	5=>6=>1	7440.0	25.0	(1,4),5,2,3,9,6,7,8	(1,4),5,(2,3),9,6,7,8	145369278	154369278	12.5 - 12.3 - 13.4 - 13.1 - 12.4 - 12.7 - 13.8 - 14.3	12.5 - 24.8 - 38.2 - 51.3 - 63.7 - 76.4 - 90.2 - 104.5 (38.2-40.8)
201143011806	ダ	左	1500	晴	良	13:00	C3三　四ア		2011-1-18	10	船橋	2			11.0	170.0	1.0	11.0	110	1.0	8.0	130	2.0	2.0	230.0	5.0	6-8	320.0	1.0	8-11	310.0	1.0	8-11	270	2.0	2-11	670	8.0	2-8	1,280	14.0	8=>6	550.0	1.0	11=>8	710.0	1.0	2-8-11	1820.0	6.0	11=>8=>2	5240.0	14.0	1,11,(3,7),(5,8),2,12,9,6,10,4	1,(3,7),11,5,(2,8)-12,6,9-10,4	1,11,(7,8),5,3,2,12,9,6,4,10	(1,11),8,5,7,2,3,12,9,6,4-10	7.1 - 11.8 - 12.3 - 12.8 - 12.6 - 12.8 - 13.7 - 14.5	7.1 - 18.9 - 31.2 - 44.0 - 56.6 - 69.4 - 83.1 - 97.6 (31.2-41.0)
201143011807	ダ	左	1600	晴	良	13:30	C2五　六		2011-1-18	10	船橋	2			11.0	4540.0	9.0	11.0	1,040	10.0	2.0	270	7.0	10.0	180.0	1.0	2-7	2760.0	16.0	2-11	52140.0	63.0	2-11	6,090	46.0	10-11	4,310	41.0	2-10	810	10.0	7=>2	6560.0	33.0	11=>2	84260.0	114.0	2-10-11	41100.0	101.0	11=>2=>10	769190.0	993.0	(8,12,14),7,6,9,5,(11,10),1,(2,4),3,13	8,12,14,7,(6,9),5,(1,11,10),(2,4),3,13	8,12,14,(7,9,10),(6,5,11),(1,4),2,(3,13)	8,12,(9,14,10),(7,5,11),(6,4),(1,2),13,3	12.5 - 12.2 - 12.9 - 13.0 - 12.5 - 12.8 - 13.9 - 14.4	12.5 - 24.7 - 37.6 - 50.6 - 63.1 - 75.9 - 89.8 - 104.2 (37.6-41.1)
201143011808	ダ	左	1200	晴	良	14:05	C2五　六		2011-1-18	10	船橋	2			5.0	4970.0	11.0	5.0	820	10.0	8.0	560	6.0	6.0	230.0	3.0	5-6	700.0	3.0	5-8	20650.0	45.0	5-8	4,310	44.0	5-6	1,590	19.0	6-8	1,980	25.0	5=>6	1450.0	5.0	5=>8	68740.0	99.0	5-6-8	30990.0	79.0	5=>8=>6	422640.0	694.0		3,5,6,10,(9,11),8,12,7,4,1,2	3,5,6,10,8,12,11,7,4,1,9-2	3,5,6,10,8,12,11,7,1,4-9,2	12.4 - 11.8 - 12.0 - 12.0 - 13.2 - 14.0	12.4 - 24.2 - 36.2 - 48.2 - 61.4 - 75.4 (36.2-39.2)
201143011809	ダ	左	1200	晴	良	14:40	C1四　五		2011-1-18	10	船橋	2			9.0	500.0	2.0	9.0	230	3.0	5.0	440	6.0	6.0	1,170	10.0	5-7	1840.0	8.0	5-9	3190.0	12.0	5-9	1,370	17.0	6-9	4,980	40.0	5-6	4,920	39.0	7=>5	3130.0	13.0	9=>5	6750.0	23.0	5-6-9	40780.0	89.0	9=>5=>6	222830.0	437.0		7,9,10,2,(1,8),4,6,5,3,12	7,9,10,2,6,(1,8),(3,4,12),5	(7,9),10,2,6,8,12,4,5,3	12.6 - 11.4 - 11.8 - 12.0 - 13.1 - 14.3	12.6 - 24.0 - 35.8 - 47.8 - 60.9 - 75.2 (35.8-39.4)
