日付	天気	R	頭数	枠番	馬番	オッズ	人気	着順	斤量	馬場	タイム	着差	通過	ペース	上り	place	race_id	race_name	movie	jockey	field	distance	weight	gain	bounty
2022/03/08	曇	8	14	8	14	11.4	4	7	56.0	良	1:43.9	1.5	5-4-3-3	38.0-39.9	41.4	大井	202244030808	C1八　九	movie.html?race_id=202244030808	a01d4	ダ	1600	515	5	0.0
2022/02/11	晴	12	11	2	2	3.5	2	4	56.0	重	1:45.9	0.6	3-3-4-4	28.2-38.3	38.6	大井	202244021112	エリダヌス座特別競走	movie.html?race_id=202244021112	a01d4	ダ	1650	510	-3	30.0
2022/01/27	晴	5	14	3	4	5.0	3	1	56.0	良	1:42.8	-0.3	5-5-3-2	37.4-40.4	40.1	大井	202244012705	烏山川賞	movie.html?race_id=202244012705	a01d4	ダ	1600	513	1	100.0
2021/12/30	晴	8	14	8	14	27.8	8	6	56.0	良	1:43.3	0.2	5-5-5-6	38.4-39.7	39.7	大井	202144123008	C1四　五	movie.html?race_id=202144123008	a01d4	ダ	1600	512	-7	0.0
2021/12/10	晴	12	12	6	7	55.6	10	2	56.0	重	1:46.1	0.0	6-4-3-1	28.5-39.8	39.5	大井	202144121012	さんかく座特別競走	movie.html?race_id=202144121012	a01d4	ダ	1650	519	6	80.0
2021/11/16	晴	8	14	6	9	41.8	11	4	56.0	良	1:44.3	0.7	10-6-4-3	39.1-39.1	39.8	大井	202144111608	スレッジ・ハンマー賞	movie.html?race_id=202144111608	a01d4	ダ	1600	513	-2	18.0
2021/11/02	晴	7	14	6	10	46.9	8	8	56.0	重	1:44.7	2.0	12-12-9-9	37.9-40.1	41.1	大井	202144110207	C1六　七	movie.html?race_id=202144110207	a01d4	ダ	1600	515	0	0.0
2021/10/06	曇	8	13	4	4	82.2	11	4	56.0	稍	1:43.1	1.0	10-10-9-8	37.1-40.4	40.5	大井	202144100608	チャールストン賞	movie.html?race_id=202144100608	a01d4	ダ	1600	515	2	18.0
2021/09/19	晴	8	14	4	6	53.1	11	10	56.0	重	1:44.2	1.8	9-10-5-7	36.5-40.9	42.2	大井	202144091908	世界遺産のあるまち台	movie.html?race_id=202144091908	a01d4	ダ	1600	513	1	0.0
2021/09/07	曇	7	14	2	2	28.8	9	7	56.0	重	1:46.0	3.0	6-5-5-5	38.4-39.9	42.3	大井	202144090707	1996日本初「馬単	movie.html?race_id=202144090707	a01d4	ダ	1600	512	3	0.0
