	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200005010101	ダ	左	1400	晴	良	10:00	4歳未勝利		2000-1-29	1	東京	1	4歳未勝利	[指](馬齢)	10	300	1	10	130	1	9	160	4	1.0	140	3.0	7-8	610	1	9-10	970.0	5.0	9-10	340	5.0	1-10	310.0	2.0	1-9	320	4.0					12.7 - 11.6 - 12.7 - 12.8 - 13.2 - 12.0 - 12.6	12.7 - 24.3 - 37.0 - 49.8 - 63.0 - 75.0 - 87.6 (12.7-12.7)									
200005010102	ダ	左	1200	晴	良	10:25	4歳未勝利		2000-1-29	1	東京	1	4歳未勝利	牝[指](馬齢)	8	650	4	8	230	3	2	510	6	10.0	330	5.0	2-7	3760	13	2-8	4340.0	16.0	2-8	1,080	14.0	8-10	800.0	10.0	2-10	1,880	20.0					12.8 - 11.7 - 12.5 - 12.8 - 12.1 - 12.5	12.8 - 24.5 - 37.0 - 49.8 - 61.9 - 74.4 (12.8-12.8)									
200005010103	ダ	左	1600	晴	良	10:50	4歳未勝利		2000-1-29	1	東京	1	4歳未勝利	(混)[指](馬齢)	8	180	1	8	130	1	1	270	5	3.0	210	4.0	1-8	1100	5																	13.2 - 11.8 - 12.5 - 13.0 - 12.8 - 12.7 - 12.3 - 12.2	13.2 - 25.0 - 37.5 - 50.5 - 63.3 - 76.0 - 88.3 - 100.5 (13.2-13.2)									
200005010104	ダ	左	1600	晴	良	11:15	4歳新馬		2000-1-29	1	東京	1	4歳新馬	牝[指](馬齢)	4	320	1	4	130	1	6	140	2	3.0	180	4.0	2-3	520	2	4-6	770.0	2.0	4-6	330	2.0	3-4	450.0	4.0	3-6	590	7.0					12.4 - 11.1 - 11.8 - 12.7 - 13.1 - 13.0 - 12.9 - 13.2	12.4 - 23.5 - 35.3 - 48.0 - 61.1 - 74.1 - 87.0 - 100.2 (12.4-12.4)									
200005010105	障		2950	晴	良  ダート	11:45	障害4歳以上未勝利		2000-1-29	1	東京	1	障害4歳以上未勝利	(混)(馬齢)	2	3830	6	2	370	5	6	110	1	3.0	110	2.0	2-4	2780	9	2-6	2520.0	7.0	2-6	510	6.0	2-3	530.0	7.0	3-6	170	1.0															
200005010106	芝	左	2000	晴	良	12:45	4歳新馬		2000-1-29	1	東京	1	4歳新馬	(混)[指](馬齢)	5	420	2	5	230	3	1	480	5	8.0	1,170	10.0	1-5	3760	14	1-5	4570.0	15.0	1-5	1,240	12.0	5-8	3,120	31.0	1-8	6,740	44.0					13.2 - 13.3 - 13.3 - 13.2 - 13.5 - 13.2 - 12.9 - 12.4 - 11.1 - 11.5	13.2 - 26.5 - 39.8 - 53.0 - 66.5 - 79.7 - 92.6 - 105.0 - 116.1 - 127.6 (13.2-13.2)									
200005010107	ダ	左	1200	晴	良	13:15	4歳以上500万下		2000-1-29	1	東京	1	4歳以上500万下	(混)[指](別定)	6	610	2	6	150	2	10	100	1	14.0	280	6.0	3-5	400	1	6-10	430.0	1.0	6-10	220	1.0	6-14	1,010	12.0	10-14	510	6.0					12.5 - 11.2 - 11.8 - 12.1 - 12.2 - 12.4	12.5 - 23.7 - 35.5 - 47.6 - 59.8 - 72.2 (12.5-12.5)									
200005010108	ダ	左	1600	晴	良	13:45	4歳以上500万下		2000-1-29	1	東京	1	4歳以上500万下	(混)[指](別定)	11	560	2	11	200	2	5	370	6	14.0	320	5.0	3-6	1420	7	5-11	2990.0	11.0	5-11	1,030	11.0	11-14	1,000	10.0	5-14	1,860	22.0					12.9 - 11.1 - 12.1 - 12.7 - 12.8 - 12.4 - 12.2 - 12.5	12.9 - 24.0 - 36.1 - 48.8 - 61.6 - 74.0 - 86.2 - 98.7 (12.9-12.9)									
200005010109	芝	左	1800	晴	良	14:20	セントポーリア賞 		2000-1-29	1	東京	1	4歳500万下	(混)(特指)(馬齢)	6	180	1	6	100	1	5	110	2	9.0	120	3.0	5-5	440	2	5-6	460.0	2.0	5-6	190	2.0	6-9	180	1.0	5-9	250	3.0					12.9 - 11.3 - 12.1 - 12.5 - 12.8 - 12.6 - 12.3 - 11.2 - 11.8	12.9 - 24.2 - 36.3 - 48.8 - 61.6 - 74.2 - 86.5 - 97.7 - 109.5 (12.9-12.9)									
200005010110	芝	左	1800	晴	良	15:00	立川特別 		2000-1-29	1	東京	1	4歳以上900万下	(混)[指](ハンデ)	10	590	2	10	140	2	1	100	1	5.0	170	3.0	1-6	540	2	1-10	530.0	1.0	1-10	230	1.0	5-10	600	7.0	1-5	310	3.0					13.1 - 11.6 - 11.8 - 11.7 - 12.2 - 12.3 - 11.8 - 11.5 - 12.0	13.1 - 24.7 - 36.5 - 48.2 - 60.4 - 72.7 - 84.5 - 96.0 - 108.0 (13.1-13.1)									
