	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200007010112	ダ	左	1000	雨	重	16:10	4歳以上500万下		2000-3-4	1	中京	1	4歳以上500万下	(混)[指](別定)	16	160	1	16	130	1	3	1,060	13	12.0	180	2.0	2-8	1590	7	3-16	5890.0	17.0	3-16	2,660	32.0	12-16	280	1.0	3-12	3,770	48.0					12.5 - 10.8 - 11.8 - 12.0 - 12.4	12.5 - 23.3 - 35.1 - 47.1 - 59.5 (12.5-12.5)									
200007010201	ダ	左	1000	晴	不良	09:50	4歳未出走		2000-3-5	1	中京	2	4歳未出走	(馬齢)	3	2030	8	3	570	8	4	180	3	9.0	280	4.0	3-4	4530	14	3-4	4330.0	16.0	3-4	1,460	18.0	3-9	2,810	35.0	4-9	810	8.0					12.6 - 11.0 - 12.1 - 12.4 - 12.2	12.6 - 23.6 - 35.7 - 48.1 - 60.3 (12.6-12.6)									
200007010202	ダ	左	1600	晴	不良	10:15	4歳未勝利		2000-3-5	1	中京	2	4歳未勝利	(馬齢)	13	520	4	13	210	2	11	240	4	5.0	1,190	10.0	7-8	810	4	11-13	1330.0	5.0	11-13	560	4.0	5-13	3,220	35.0	5-11	4,580	47.0					12.9 - 11.9 - 13.7 - 13.1 - 12.5 - 13.1 - 13.2 - 12.2	12.9 - 24.8 - 38.5 - 51.6 - 64.1 - 77.2 - 90.4 - 102.6 (12.9-12.9)									
200007010203	ダ	左	1000	晴	不良	10:40	4歳未勝利		2000-3-5	1	中京	2	4歳未勝利	牝(馬齢)	16	300	2	16	170	3	15	160	2	6.0	450	8.0	8-8	1030	3	15-16	980.0	3.0	15-16	420	3.0	6-16	1,740	23.0	6-15	2,090	28.0					12.4 - 10.8 - 12.4 - 12.3 - 12.9	12.4 - 23.2 - 35.6 - 47.9 - 60.8 (12.4-12.4)									
200007010204	ダ	左	1700	晴	不良	11:10	4歳未勝利		2000-3-5	1	中京	2	4歳未勝利	(馬齢)	7	280	1	7	140	1	8	230	4	3.0	270	5.0	6-7	600	2	7-8	1060.0	4.0	7-8	530	5.0	3-7	510	4.0	3-8	1,020	15.0					7.2 - 11.2 - 11.9 - 13.7 - 13.5 - 12.6 - 13.1 - 13.1 - 12.8	7.2 - 18.4 - 30.3 - 44.0 - 57.5 - 70.1 - 83.2 - 96.3 - 109.1 (7.2-7.2)									
200007010205	芝	左	2000	晴	重	11:40	4歳未勝利		2000-3-5	1	中京	2	4歳未勝利	(混)(馬齢)	6	170	1	6	100	1	1	150	3	12.0	130	2.0	1-3	380	1	1-6	520.0	2.0	1-6	270	2.0	6-12	250	1.0	1-12	440	4.0					12.7 - 11.0 - 11.4 - 12.8 - 13.2 - 12.6 - 12.5 - 12.5 - 12.1 - 11.9	12.7 - 23.7 - 35.1 - 47.9 - 61.1 - 73.7 - 86.2 - 98.7 - 110.8 - 122.7 (12.7-12.7)									
200007010206	ダ	左	1700	晴	重	12:40	4歳以上500万下		2000-3-5	1	中京	2	4歳以上500万下	(父)(別定)	12	680	3	12	210	3	6	130	1	4.0	420	8.0	3-6	840	4	6-12	980.0	2.0	6-12	470	3.0	4-12	2,230	28.0	4-6	1,410	15.0					7.0 - 11.0 - 12.0 - 12.8 - 12.1 - 12.6 - 13.1 - 13.3 - 12.9	7.0 - 18.0 - 30.0 - 42.8 - 54.9 - 67.5 - 80.6 - 93.9 - 106.8 (7.0-7.0)									
200007010207	ダ	左	1000	晴	重	13:10	4歳以上500万下		2000-3-5	1	中京	2	4歳以上500万下	(混)(別定)	16	240	1	16	110	1	8	580	10	6.0	130	2.0	4-8	3130	11	8-16	4690.0	15.0	8-16	1,240	14.0	6-16	200	1.0	6-8	1,830	22.0					12.4 - 10.9 - 12.5 - 12.2 - 12.5	12.4 - 23.3 - 35.8 - 48.0 - 60.5 (12.4-12.4)									
200007010208	ダ	左	1700	曇	重	13:40	4歳以上500万下		2000-3-5	1	中京	2	4歳以上500万下	(混)(別定)	13	220	1	13	110	1	8	530	9	12.0	170	2.0	4-7	1740	7	8-13	3920.0	13.0	8-13	1,160	13.0	12-13	250	1.0	8-12	1,700	24.0					7.2 - 11.3 - 12.1 - 13.0 - 12.4 - 12.8 - 13.5 - 13.1 - 12.5	7.2 - 18.5 - 30.6 - 43.6 - 56.0 - 68.8 - 82.3 - 95.4 - 107.9 (7.2-7.2)									
200007010209	芝	左	1800	曇	稍重	14:15	伊勢特別 		2000-3-5	1	中京	2	4歳以上500万下	(混)(別定)	6	990	5	6	390	9	4	330	4	9.0	240	2.0	2-3	3810	21	4-6	6370.0	29.0	4-6	1,780	28.0	6-9	1,100	10.0	4-9	970	5.0					12.5 - 10.9 - 11.9 - 11.9 - 12.0 - 12.1 - 12.4 - 12.5 - 12.4	12.5 - 23.4 - 35.3 - 47.2 - 59.2 - 71.3 - 83.7 - 96.2 - 108.6 (12.5-12.5)									
