	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬連:的中	馬連:配当	馬連:人気
200006010101	ダ	右	1000	晴	良	10:00	4歳未勝利		2000-1-5	1	中山	1	4歳未勝利	[指](馬齢)	2	160	1	2	110	1	4	130	2	5.0	360	7.0	2-4	320	1																							12.3 - 10.8 - 11.5 - 12.3 - 13.6	12.3 - 23.1 - 34.6 - 46.9 - 60.5 (12.3-12.3)			
200006010102	ダ	右	1800	晴	良	10:25	4歳未勝利		2000-1-5	1	中山	1	4歳未勝利	(混)[指](馬齢)	6	1430	6	6	340	6	5	140	2	7.0	130	1.0	5-6	2250	9	5-6	720.0	11.0	6-7	810.0	12.0	5-7	270.0	1.0														13.1 - 12.7 - 13.3 - 13.4 - 12.9 - 12.8 - 12.4 - 12.4 - 13.0	13.1 - 25.8 - 39.1 - 52.5 - 65.4 - 78.2 - 90.6 - 103.0 - 116.0 (13.1-13.1)	5-6	2430.0	10.0
200006010103	ダ	右	1200	晴	良	10:50	4歳未勝利		2000-1-5	1	中山	1	4歳未勝利	(混)[指](馬齢)	4	350	2	4	130	3	5	130	2	11.0	110	1.0	4-5	1070	4	4-5	380.0	5.0	4-11	250.0	1.0	5-11	250.0	2.0														12.1 - 10.7 - 11.4 - 12.2 - 12.5 - 13.6	12.1 - 22.8 - 34.2 - 46.4 - 58.9 - 72.5 (12.1-12.1)	4-5	1160.0	4.0
200006010104	ダ	右	1800	晴	良	11:15	4歳新馬		2000-1-5	1	中山	1	4歳新馬	牝[指](馬齢)	6	360	2	6	160	3	4	140	1	11.0	580	7.0	4-5	550	1	4-6	290.0	1.0	6-11	1,750	22.0	4-11	1,460	14.0														13.1 - 12.0 - 12.7 - 12.6 - 13.1 - 13.2 - 13.2 - 13.4 - 14.3	13.1 - 25.1 - 37.8 - 50.4 - 63.5 - 76.7 - 89.9 - 103.3 - 117.6 (13.1-13.1)	4-6	590.0	1.0
200006010105	ダ	右	1200	晴	良	11:45	4歳新馬		2000-1-5	1	中山	1	4歳新馬	(混)[指](馬齢)	9	1000	3	9	240	5	3	120	1	13.0	710	9.0	3-6	410	1	3-9	420.0	3.0	9-13	2,910	29.0	3-13	1,610	19.0														12.2 - 10.8 - 11.7 - 12.5 - 12.8 - 13.6	12.2 - 23.0 - 34.7 - 47.2 - 60.0 - 73.6 (12.2-12.2)	3-9	830.0	3.0
200006010106	芝	右	1600	晴	良	12:45	4歳新馬		2000-1-5	1	中山	1	4歳新馬	(混)[指](馬齢)	6	250	1	6	130	1	7	460	7	10.0	140	2.0	3-4	610	1	6-7	1,170	13.0	6-10	320	1.0	7-10	1,250	16.0														12.7 - 11.8 - 12.0 - 12.5 - 12.4 - 12.4 - 12.3 - 12.0	12.7 - 24.5 - 36.5 - 49.0 - 61.4 - 73.8 - 86.1 - 98.1 (12.7-12.7)	6-7	3470.0	12.0
200006010107	ダ	右	1200	晴	良	13:15	4歳以上500万下		2000-1-5	1	中山	1	4歳以上500万下	(混)[指](別定)	10	540	2	10	140	2	4	110	1	8.0	310	6.0	2-5	320	1	4-10	210	1.0	8-10	910	13.0	4-8	640	7.0														12.2 - 10.7 - 11.3 - 12.3 - 12.4 - 13.6	12.2 - 22.9 - 34.2 - 46.5 - 58.9 - 72.5 (12.2-12.2)	4-10	380.0	1.0
200006010108	ダ	右	1800	晴	良	13:45	4歳以上500万下		2000-1-5	1	中山	1	4歳以上500万下	牝[指](別定)	8	140	1	8	110	1	4	190	3	9.0	210	4.0	2-4	640	3	4-8	330	2.0	8-9	390	3.0	4-9	1,040	13.0														12.7 - 11.6 - 13.0 - 13.6 - 12.3 - 12.3 - 12.8 - 13.2 - 14.0	12.7 - 24.3 - 37.3 - 50.9 - 63.2 - 75.5 - 88.3 - 101.5 - 115.5 (12.7-12.7)	4-8	660.0	2.0
200006010109	ダ	右	1200	晴	良	14:15	朱竹賞 		2000-1-5	1	中山	1	4歳500万下	(混)(特指)(馬齢)	10	1500	5	10	210	5	5	120	2	7.0	100	1.0	5-8	1710	6	5-10	600	8.0	7-10	430	6.0	5-7	170	1.0														12.1 - 11.0 - 11.5 - 12.1 - 12.5 - 13.2	12.1 - 23.1 - 34.6 - 46.7 - 59.2 - 72.4 (12.1-12.1)	5-10	2820.0	9.0
200006010110	ダ	右	2400	晴	良	14:50	成田特別 		2000-1-5	1	中山	1	4歳以上900万下	(混)[指](別定)	6	1060	5	6	250	4	1	480	8	5.0	140	1.0	1-6	9370	22	1-6	2,230	28.0	5-6	560	5.0	1-5	1,020	13.0														13.1 - 11.9 - 12.4 - 12.3 - 13.2 - 13.8 - 13.7 - 12.7 - 12.3 - 12.7 - 12.8 - 13.6	13.1 - 25.0 - 37.4 - 49.7 - 62.9 - 76.7 - 90.4 - 103.1 - 115.4 - 128.1 - 140.9 - 154.5 (13.1-13.1)	1-6	9210.0	28.0
