	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200002010112	ダ	右	1000	晴	良	16:10	4歳以上500万下		2000-6-10	1	函館	1	4歳以上500万下	[指](馬齢)	4	350	2	4	110	1	2	120	2	5.0	200	5.0	2-4	340	1	2-4	370.0	1.0	2-4	190	1.0	4-5	600	8.0	2-5	490	6.0					12.5 - 11.0 - 12.0 - 12.4 - 12.3	12.5 - 23.5 - 35.5 - 47.9 - 60.2 (12.5-12.5)									
200002010201	ダ	右	1000	晴	良	09:50	4歳未勝利		2000-6-11	1	函館	2	4歳未勝利	牝[指](馬齢)	5	550	3	5	210	4	6	130	1	9.0	420	8.0	5-5	940	5	5-6	930.0	3.0	5-6	370	3.0	5-9	1,330	24.0	6-9	750	10.0					12.8 - 11.3 - 12.1 - 12.2 - 12.8	12.8 - 24.1 - 36.2 - 48.4 - 61.2 (12.8-12.8)									
200002010202	ダ	右	1700	晴	良	10:15	4歳未勝利		2000-6-11	1	函館	2	4歳未勝利	(混)[指](馬齢)	8	190	1	8	110	1	11	120	2	9.0	240	4.0	6-7	200	1	8-11	250.0	1.0	8-11	160	1.0	8-9	550	4.0	9-11	640	6.0					7.0 - 11.2 - 11.5 - 12.7 - 13.2 - 12.7 - 13.1 - 13.1 - 13.8	7.0 - 18.2 - 29.7 - 42.4 - 55.6 - 68.3 - 81.4 - 94.5 - 108.3 (7.0-7.0)									
200002010203	ダ	右	1000	晴	良	10:40	4歳未勝利		2000-6-11	1	函館	2	4歳未勝利	[指](馬齢)	10	910	5	10	300	6	12	290	5	2.0	160	2.0	7-8	1190	8	10-12	4650.0	19.0	10-12	1,220	16.0	2-10	950	12.0	2-12	1,000	13.0					12.4 - 10.9 - 11.9 - 12.4 - 12.9	12.4 - 23.3 - 35.2 - 47.6 - 60.5 (12.4-12.4)									
200002010204	芝	右	2000	晴	良	11:10	4歳未勝利		2000-6-11	1	函館	2	4歳未勝利	[指](馬齢)	12	620	3	12	240	3	6	170	2	1.0	300	7.0	3-6	670	3	6-12	1180.0	2.0	6-12	520	2.0	1-12	1,420	17.0	1-6	780	9.0					12.6 - 10.7 - 11.9 - 12.5 - 12.9 - 12.6 - 12.3 - 12.6 - 12.2 - 12.2	12.6 - 23.3 - 35.2 - 47.7 - 60.6 - 73.2 - 85.5 - 98.1 - 110.3 - 122.5 (12.6-12.6)									
200002010205	芝	右	1200	晴	良	11:40	3歳新馬		2000-6-11	1	函館	2	3歳新馬	(混)[指](馬齢)	2	160	1	2	100	1	6	130	3	12.0	110	2.0	2-5	350	2	2-6	450.0	2.0	2-6	200	2.0	2-12	150	1.0	6-12	270	3.0					12.4 - 11.0 - 11.4 - 11.9 - 12.3 - 12.1	12.4 - 23.4 - 34.8 - 46.7 - 59.0 - 71.1 (12.4-12.4)									
200002010206	ダ	右	1700	晴	良	12:40	4歳以上500万下		2000-6-11	1	函館	2	4歳以上500万下	牝[指](馬齢)	9	6040	11	9	760	11	2	180	2	3.0	520	8.0	2-7	2180	9	2-9	11350.0	33.0	2-9	2,600	32.0	3-9	4,890	49.0	2-3	890	8.0					7.1 - 11.1 - 11.5 - 13.0 - 13.2 - 12.9 - 13.1 - 13.0 - 12.9	7.1 - 18.2 - 29.7 - 42.7 - 55.9 - 68.8 - 81.9 - 94.9 - 107.8 (7.1-7.1)									
200002010207	芝	右	1200	晴	良	13:10	4歳以上500万下		2000-6-11	1	函館	2	4歳以上500万下	(特指)(馬齢)	8	3270	11	8	670	10	11	400	6	10.0	230	2.0	4-6	4460	20	8-11	18700.0	58.0	8-11	5,160	60.0	8-10	2,180	23.0	10-11	1,390	12.0					12.4 - 10.6 - 11.2 - 11.8 - 12.1 - 12.4	12.4 - 23.0 - 34.2 - 46.0 - 58.1 - 70.5 (12.4-12.4)									
200002010208	ダ	右	1000	晴	良	13:40	4歳以上500万下		2000-6-11	1	函館	2	4歳以上500万下	[指](馬齢)	12	360	2	12	160	2	8	260	5	5.0	550	7.0	6-8	450	1	8-12	1690.0	5.0	8-12	690	6.0	5-12	1,530	18.0	5-8	2,840	31.0					12.5 - 10.8 - 11.4 - 12.0 - 12.6	12.5 - 23.3 - 34.7 - 46.7 - 59.3 (12.5-12.5)									
200002010209	芝	右	2000	晴	良	14:15	五稜郭特別 		2000-6-11	1	函館	2	4歳以上900万下	(混)(特指)(定量)	9	500	2	9	180	2	8	180	3	4.0	210	4.0	8-8	1470	6	8-9	1690.0	6.0	8-9	640	7.0	4-9	720	10.0	4-8	710	9.0					12.9 - 11.6 - 12.1 - 12.4 - 12.3 - 12.3 - 12.2 - 12.1 - 11.7 - 12.1	12.9 - 24.5 - 36.6 - 49.0 - 61.3 - 73.6 - 85.8 - 97.9 - 109.6 - 121.7 (12.9-12.9)									
200002010210	芝	右	1200	晴	良	14:55	基坂特別 		2000-6-11	1	函館	2	4歳以上500万下	(混)[指](馬齢)	1	260	1	1	140	1	13	400	6	10.0	410	7.0	1-7	1880	7	1-13	2530.0	10.0	1-13	950	10.0	1-10	690	6.0	10-13	2,170	25.0					12.1 - 10.5 - 11.1 - 11.7 - 12.2 - 12.1	12.1 - 22.6 - 33.7 - 45.4 - 57.6 - 69.7 (12.1-12.1)									
200002010301	ダ	右	1000	晴	良	09:50	4歳未勝利		2000-6-19	1	函館	3	4歳未勝利	(父)[指](馬齢)	9	350	2	9	160	2	11	490	9	4.0	110	1.0	7-8	1840	8	9-11	8670.0	23.0	9-11	2,340	27.0	4-9	290	2.0	4-11	930	11.0					12.5 - 11.1 - 11.8 - 12.5 - 12.8	12.5 - 23.6 - 35.4 - 47.9 - 60.7 (12.5-12.5)									
200002010302	ダ	右	1700	晴	良	10:15	4歳未勝利		2000-6-19	1	函館	3	4歳未勝利	[指](馬齢)	7	270	2	7	100	1	4	120	2	6.0	160	4.0	4-6	250	1	4-7	500.0	1.0	4-7	200	1.0	6-7	300	4.0	4-6	220	2.0					7.1 - 10.8 - 11.6 - 13.4 - 13.0 - 13.0 - 13.4 - 13.5 - 13.1	7.1 - 17.9 - 29.5 - 42.9 - 55.9 - 68.9 - 82.3 - 95.8 - 108.9 (7.1-7.1)									
200002010303	ダ	右	1000	晴	良	10:40	4歳未勝利		2000-6-19	1	函館	3	4歳未勝利	(混)[指](馬齢)	2	150	1	2	100	1	6	130	4	4.0	120	2.0	2-6	580	3	2-6	580.0	3.0	2-6	200	3.0	2-4	160	2.0	4-6	350	5.0					12.5 - 11.0 - 11.8 - 12.4 - 12.5	12.5 - 23.5 - 35.3 - 47.7 - 60.2 (12.5-12.5)									
200002010304	芝	右	1200	雨	良	11:10	4歳未勝利		2000-6-19	1	函館	3	4歳未勝利	[指](馬齢)	6	500	3	6	180	3	10	1,950	14	15.0	320	4.0	4-6	410	2	6-10	12710.0	31.0	6-10	3,130	31.0	6-15	980	9.0	10-15	4,610	41.0					12.5 - 10.7 - 11.6 - 12.0 - 12.4 - 11.5	12.5 - 23.2 - 34.8 - 46.8 - 59.2 - 70.7 (12.5-12.5)									
200002010305	芝	右	2000	雨	良	11:40	4歳未勝利		2000-6-19	1	函館	3	4歳未勝利	(混)[指](馬齢)	9	1250	5	9	370	7	10	310	4	12.0	340	5.0	5-5	4610	14	9-10	4830.0	19.0	9-10	1,230	17.0	9-12	1,730	25.0	10-12	1,130	12.0					12.8 - 10.9 - 11.6 - 13.1 - 13.4 - 12.8 - 12.4 - 12.5 - 12.7 - 12.4	12.8 - 23.7 - 35.3 - 48.4 - 61.8 - 74.6 - 87.0 - 99.5 - 112.2 - 124.6 (12.8-12.8)									
200002010306	芝	右	1000	曇	良	12:40	3歳新馬		2000-6-19	1	函館	3	3歳新馬	(混)[指](馬齢)	8	750	3	8	150	3	3	100	1	5.0	180	4.0	3-8	520	2																	12.2 - 11.0 - 11.3 - 11.5 - 12.0	12.2 - 23.2 - 34.5 - 46.0 - 58.0 (12.2-12.2)									
