rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	7	8		リュウコ	牝2	470.0		西謙一	1:48.8				3.8	2	908	8		西弘美		安居孝	15.0
2	7	7		ジェイリンドウ	牝2	470.0		村上章	1:53.4				3.3	1	854	3		小北栄一		小森唯永	4.5
3	4	4		オオネガイクィーン	牝2	470.0		阿部武臣	1:58.2				12.4	6	837	15		谷あゆみ		大内基晴	2.2
4	8	10		ホクセイジムショ	牡2	490.0		長澤幸太	2:02.1				4.1	3	814	2		中島敏博		（有）竹内産業	1.3
5	2	2		ジェイアイガー	牡2	490.0		赤塚健仁	2:08.4				29.7	10	836	-4		西康幸		小森唯永	0.9
6	6	6		キンノカゼ	牡2	490.0		船山蔵人	2:11.2				13.1	7	849	-4		鈴木邦哉		古川一志	
7	8	9		ソラチリキ	牡2	490.0		渡来心路	2:15.9				22.9	9	865	18		村上慎一		大熊金八	
8	3	3		ヴァイオリン	牡2	490.0		島津新	2:20.1				21.1	8	839	-3		槻舘重人		細川貞夫	
9	5	5		マルカモモカ	牝2	470.0		菊池一樹	2:26.8				11.1	4	818	5		村上慎一		香川義勝	
中	1	1		マルオセンヒメ	牝2	470.0		舘澤直央					12.3	5	793	9		谷あゆみ		扇俊治	
