rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	4	4		クレアローズ	牝5	54.0		秋元耕成	0:47.4		1-1	35.8	2.4	1	499	-5		横山保		子安一光	80.0
2	6	6		スガオフレーバー	牝5	54.0		繁田健一	0:48.1	3.0	2-2	36.5	9.0	4	472	6		小澤宏次		堀口晴男	28.0
3	7	8		サバイバルオオオク	牝4	51.0		赤津和希	0:48.5	2.0	6-4	36.3	40.4	8	455	-1		工藤伸輔		北原大史	16.0
4	6	7		メイショウアタカマ	牡6	56.0		左海誠二	0:48.5	アタマ	3-3	36.9	5.8	3	487	-7		新井清重		（同）ＪＰＮ技研	12.0
5	3	3		アズマタイムズ	牝7	54.0		寺島憂人	0:48.8	1.1/2	7-7	36.4	85.8	10	447	-1		長谷川忍		杉浦和也	8.4
6	7	9		モーライオー	牡6	56.0		半澤慶実	0:48.9	クビ	5-6	36.7	30.1	7	497	4		川村守男		木村重和	
7	8	11		ロクアイオロチ	牡5	56.0		實川純一	0:49.0	1/2	4-5	37.0	60.4	9	496	-7		佐々木清		佐々木総雄	
8	2	2		マラン	牝5	51.0		福原杏	0:49.2	1.0	9-9	36.5	2.6	2	464	-10		水野貴史		村山詠一	
9	5	5		マウントレーニア	牝4	54.0		保園翔也	0:49.3	3/4	8-10	36.9	25.8	6	454	2		内野健二		井門敏雄	
10	1	1		ラベルリュンヌ	牝5	54.0		森泰斗	0:49.4	クビ	10-8	36.5	17.9	5	427	-12		小久保智		松尾直樹	
11	8	10		ファシルマニエ	牝4	54.0		吉留孝司	0:50.0	3.0	11-11	37.0	165.8	11	435	2		藪口一麻		（有）太盛	
