rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	6	10		ペコリーノロマーノ	牝2	54.0		吉田隼人	1:21.8		4-4	34.5	8.0	5	436	0		久保田貴		平田修	1,032.2
2	3	4		フェアレストアイル	牝2	54.0		坂井瑠星	1:21.9	1/2	2-2	34.7	3.1	1	432	-4		中内田充		サンデーレーシング	409.2
3	8	14		リネンファッション	牝2	54.0		秋山真一	1:22.1	1.1/2	12-9	34.3	5.2	3	448	10		坂口智康		戸山光男	254.6
4	3	3		ソーユーフォリア	牝2	54.0		藤岡康太	1:22.2	1/2	5-5	34.8	4.6	2	456	6		高柳瑞樹		浜本洋輔	150.0
5	4	5		バトルカグヤ	牝2	54.0		太宰啓介	1:22.3	1/2	1-1	35.3	40.8	8	452	-2		本田優		宮川秋信	100.0
6	4	6		フィオリキアリ	牝2	54.0		藤井勘一	1:22.3	クビ	13-12	34.2	47.2	9	434	-6		清水久詞		槙和美	
7	5	7		ハニーリン	牝2	54.0		丹内祐次	1:22.3	クビ	5-5	34.9	228.1	14	462	-2		堀井雅広		西森功	
8	7	11		ピュアカラー	牝2	54.0		マーフィ	1:22.3	ハナ	11-9	34.5	6.0	4	432	-6		橋口慎介		サンデーレーシング	
9	6	9		ザイラ	牝2	54.0		鮫島克駿	1:22.4	1/2	7-7	34.8	76.9	11	484	2		奥村豊		吉田和美	
10	1	1		メルテッドハニー	牝2	54.0		横山武史	1:22.5	1/2	2-2	35.3	102.4	13	396	-2		大江原哲		田頭勇貴	
11	5	8		カイトレッド	牝2	54.0		丸山元気	1:22.7	1.1/2	9-7	35.1	24.0	6	452	4		和田雄二		本田恒雄	
12	2	2		サノハニー	牝2	54.0		藤田菜七	1:23.3	3.1/2	13-12	35.3	59.9	10	474	4		中野栄治		佐野信幸	
13	7	12		イッツアワターン	牝2	54.0		松若風馬	1:24.3	6.0	9-12	36.3	99.8	12	430	10		相沢郁		田邉幸則	
14	8	13		シュルルヴァン	牝2	54.0		岩田康誠	1:24.7	2.1/2	7-9	36.9	30.6	7	452	-2		高木登		街風隆雄	
