rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	6	7		ワンポイント	牡3	56.0		石川倭	1:15.5		4-3	39.1	1.3	1	450	6		佐々木国		小林克己	25.0
2	7	9		ヴォルターウルフ	牡3	56.0		阪野学	1:15.9	2.0	3-1	39.8	5.3	2	492	0		田中淳司		ＨｉｍＲｏｃｋＲａｃｉｎｇホールディングス	5.0
3	6	6		ウィッシュリスト	牝4	54.0		加藤誓二	1:16.3	2.0	6-6	39.6	19.3	5	476	2		林和弘		平田修	3.8
4	2	2		ベレット	牝4	54.0		山本咲希	1:16.3	ハナ	2-1	40.2	7.3	3	476	0		川島雅人		町田武	2.5
5	7	8		アイリスト	牝4	54.0		黒澤愛斗	1:16.4	クビ	11-8	38.9	13.8	4	432	4		佐藤英明		柳橋俊昭	1.2
6	8	10		ヴィルダイヤ	牝4	54.0		桑村真明	1:17.0	3.0	9-9	39.8	117.9	8	428	-10		柳澤好美		長浜和也	
7	5	5		ニットウリエ	牝7	54.0		五十嵐冬	1:17.1	クビ	9-10	39.9	93.1	7	512	2		佐久間雅		日東牧場	
8	3	3		ルンタアグサン	牡8	56.0		井上俊彦	1:17.2	1/2	4-4	40.8	163.6	10	492	-6		米川伸也		藤村伸次	
9	4	4		ラプズベスト	牡4	56.0		松井伸也	1:17.7	2.1/2	6-6	41.0	166.6	11	482	0		小野望		槇本牧場	
10	8	11		ルチアーノカフェ	牡5	56.0		坂下秀樹	1:18.5	4.0	8-11	41.5	150.1	9	512	2		村上正和		西川光一	
11	1	1		キューティーメガミ	牝5	54.0		小林靖幸	1:19.4	4.0	1-5	43.3	68.2	6	456	-6		田部和則		荒木克己	
