rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	1	1		ビーバリスタ	牡3	56.0		関本淳	1:31.7		1-1-1-1	40.7	3.3	3	478	-6		櫻田康二		馬場祥晃	50.0
2	6	6		キバルスター	牡3	56.0		高松亮	1:31.8	1/2	6-5-3-3	40.2	2.4	1	480	12		佐々木由		須山悟至	17.5
3	7	9		ベストフィーチャー	牝3	54.0		山本政聡	1:31.9	1/2	2-2-2-2	40.7	3.3	2	455	21		新田守		高橋昇市	10.0
4	3	3		ジェムストーン	牡3	56.0		菅原辰徳	1:33.2	8.0	7-6-5-4	41.2	14.9	5	444	-4		瀬戸幸一		長島利治	5.0
5	4	4		フォッケウルフ	牡3	56.0		木村暁	1:35.1	大	9-9-8-8	42.0	122.1	10	430	-7		関本浩司		小橋亮太	2.5
6	5	5		グランアルベール	セ3	56.0		鈴木祐	1:35.1	クビ	8-8-7-7	42.4	75.5	8	459	7		櫻田康二		布施慶士	
7	2	2		ユーライクイット	牡3	56.0		岩本怜	1:35.5	2.1/2	3-4-6-6	43.1	21.6	6	474	-1		板垣吉則		小林由明	
8	8	10		フェスティヴメノコ	牝3	54.0		坂口裕一	1:35.5	アタマ	5-3-4-5	44.0	14.2	4	427	1		伊藤和忍		臼井義太郎	
9	7	8		ヴォルテッジョ	牡3	56.0		小林凌	1:36.7	7.0	10-10-11-10	43.4	168.2	11	416	1		櫻田康二		組）西野畜産組合	
10	6	7		キャッスルムーン	牝3	54.0		南郷家全	1:36.7	ハナ	11-11-10-9	43.3	118.8	9	403	0		櫻田浩樹		城市公	
11	8	11		トーアコンゴウ	牡3	56.0		大坪慎	1:39.9	大	4-7-9-11	46.9	27.4	7	467	-3		佐藤浩一		吉川真ノ介	
