rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	5	5		ベリッシマ	牝4	54.0		山崎誠士	0:55.6		1-1	37.9	18.0	9	477	0		山崎裕也		会田裕一	80.0
2	8	11		コパノリスティー	牝4	54.0		達城龍次	0:56.5	4.0	5-5	37.6	11.8	6	467	4		山崎尋美		小林祐介	30.4
3	8	12		シャウトオブジョイ	牝6	54.0		藤江渉	0:56.8	1.1/2	2-2	38.5	4.5	3	505	9		佐藤博紀		（株）ニッシン	20.0
4	6	7		イソエイレインボー	牝5	54.0		町田直希	0:57.4	3.0	2-2	39.4	3.8	1	422	-24		鈴木義久		磯部敏夫	12.0
5	1	1		オネダリ	牝9	54.0		吉村智洋	0:57.4	アタマ	4-4	39.1	4.2	2	496	4		平田正一		（株）リバティホー	9.6
6	3	3		クラウンミネリ	牝7	54.0		澤田龍哉	0:57.6	3/4	9-8	37.9	13.4	7	420	-9		石井勝男		サンエツ企画（有）	
7	7	9		ビクトリーゲート	牝4	54.0		秋元耕成	0:57.7	3/4	5-6	39.0	17.9	8	447	-8		水野貴史		泉俊二	
8	6	8		クレードラリュンヌ	牝5	54.0		吉原寛人	0:57.8	1/2	7-7	39.1	8.5	5	432	-1		久保勇		村山詠一	
9	5	6		セユウダルク	牝4	54.0		寺島憂人	0:58.0	1.0	10-10	38.5	7.8	4	478	-3		川村守男		新田光代	
10	2	2		ダイエーカチドキ	牡6	56.0		見越彬央	0:58.4	2.0	8-9	39.7	130.3	10	456	-2		酒井一則		田島募	
11	4	4		ピースロード	牡9	56.0		山林堂信	0:58.6	1.0	12-11	38.7	300.5	12	492	-4		池田孝		上野進二	
12	7	10		ローズライヒ	牝4	54.0		笹川翼	0:59.3	3.0	10-12	39.7	130.3	10	394	-11		池田孝		早川稔	
