rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	6	7		オーラロード	セ5	56.0		佐原秀泰	1:33.5		3-3-3-4	42.0	20.4	7	487	-5		宮川浩一		吉田勝利	70.0
2	5	6		マッサンゴールド	牡7	56.0		倉兼育康	1:33.6	クビ	5-4-4-2	42.0	14.5	6	475	0		宮路洋一		松本桂昌	24.5
3	1	1		リガス	牡6	56.0		多田羅誠	1:33.9	1.1/2	1-1-1-1	43.8	3.2	2	522	3		雑賀正光		小菅誠	14.0
4	5	5		パリッシュブルー	牝4	54.0		塚本雄大	1:34.0	3/4	8-8-5-5	42.1	5.3	3	446	-2		目迫大輔		上山泰憲	10.5
5	3	3		ビービーロンギング	牝7	54.0		西川敏弘	1:34.4	2.0	6-6-8-8	42.2	61.7	9	488	-2		大関吉明		（同）ＪＰＮ技研	7.0
6	8	12		グレートヒット	牡7	56.0		石本純也	1:34.6	1.0	4-5-7-7	42.6	124.6	10	483	-8		宗石大		（株）ボンズ	
7	7	10		ハヤブサライデン	牡8	56.0		永森大智	1:34.9	1.1/2	7-7-6-6	42.8	3.1	1	482	-16		別府真司		原久美子	
8	2	2		ジュンハーツ	牝6	54.0		妹尾浩一	1:35.0	1/2	11-11-11-11	41.9	48.4	8	516	5		宗石大		岡林英雄	
9	7	9		サブライムカイザー	牡8	56.0		山崎雅由	1:35.6	3.0	9-10-9-10	43.1	6.0	4	516	4		田中譲二		（同）ＪＰＮ技研	
10	4	4		セイマーメイド	牝5	51.0		井上瑛太	1:35.8	1.0	1-2-2-3	45.6	9.4	5	482	1		打越勇児		金田成基	
11	6	8		マノアフォールズ	セ4	54.0		妹尾将充	1:35.9	クビ	10-9-10-9	43.3	426.6	11	456	-2		川野勇馬		山本浩司	
除	8	11		デルタバローズ	セ5	56.0		岡村卓弥					---		508	2		工藤真司		（同）ＪＰＮ技研	
