waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2018106364	ヒルノエルニド			05389	岩橋勇二	05630	田中淳司	450	-2
2	2	2018101366	ビービーミューズ			05286	服部茂史	05749	櫻井拓章	478	8
3	3	2018106522	サイモンギザ			05534	石川倭	a02e5	小国博行	468	2
4	4	2018101889	ベニノジェネラル			05578	落合玄太	a02e6	黒川智貴	400	0
5	5	2015105417	ホウオウカーニバル			05054	坂下秀樹	05108	桧森邦夫	472	0
5	6	2018106729	ダイメイソテツ			a01ec	宮平鷹志	a024d	岡島玉一	526	30
6	7	2018109038	ハチノヘタイショウ			05411	桑村真明	05723	川島雅人	462	0
6	8	2018102723	セイウンブリスク			05091	五十嵐冬	05706	川島洋人	526	2
7	9	2018105898	エイシンキーゼル			05371	亀井洋司	a0374	沼澤英知	450	2
7	10	2018101569	ライプトラオム			05089	宮崎光行	05453	松本隆宏	464	4
8	11	2018101328	ランブラスト			05492	阿部龍	05749	櫻井拓章	540	-10
8	12	2018101079	グリンヴァ			05502	松井伸也	05512	山田和久	424	-2
