	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
199008010101	ダ	右	1800	晴	良	10:00	4歳未勝利		1990-1-5	1	京都	1	4歳未勝利	(馬齢)	7	340	2	7	130	2	11	110	1	9.0	160	3.0	6-8	340	1																							13.0 - 12.1 - 12.6 - 12.7 - 13.3 - 12.5 - 12.8 - 12.9 - 13.1	13.0 - 25.1 - 37.7 - 50.4 - 63.7 - 76.2 - 89.0 - 101.9 - 115.0 (13.0-13.0)
199008010102	ダ	右	1200	晴	良	10:25	4歳未勝利		1990-1-5	1	京都	1	4歳未勝利	(馬齢)	6	770	3	6	210	3	11	130	1	10.0	220	4.0	4-6	790	2																							12.9 - 11.6 - 12.0 - 12.4 - 12.7 - 12.9	12.9 - 24.5 - 36.5 - 48.9 - 61.6 - 74.5 (12.9-12.9)
199008010103	ダ	右	1400	晴	良	10:50	4歳新馬		1990-1-5	1	京都	1	4歳新馬	(馬齢)	7	380	1	7	190	2	1	530	9	8.0	410	7.0	1-5	4490	20																							12.6 - 11.3 - 11.9 - 12.3 - 12.8 - 13.4 - 13.1	12.6 - 23.9 - 35.8 - 48.1 - 60.9 - 74.3 - 87.4 (12.6-12.6)
199008010104	ダ	右	1800	晴	良	11:15	4歳新馬		1990-1-5	1	京都	1	4歳新馬	(馬齢)	1	440	1	1	200	2	13	410	9	5.0	290	5.0	1-8	3870	20																							12.8 - 11.2 - 12.7 - 13.0 - 12.9 - 12.5 - 12.7 - 13.0 - 13.3	12.8 - 24.0 - 36.7 - 49.7 - 62.6 - 75.1 - 87.8 - 100.8 - 114.1 (12.8-12.8)
199008010105	ダ	右	1200	晴	良	11:45	4歳新馬		1990-1-5	1	京都	1	4歳新馬	(馬齢)	12	410	1	12	210	2	7	640	11	14.0	630	10.0	4-6	5000	19																							12.8 - 11.5 - 11.6 - 12.3 - 12.7 - 13.1	12.8 - 24.3 - 35.9 - 48.2 - 60.9 - 74.0 (12.8-12.8)
199008010106	ダ	右	1400	晴	良	12:45	4歳以上500万下		1990-1-5	1	京都	1	4歳以上500万下	牝(馬齢)	13	560	3	13	160	2	1	120	1	9.0	210	5.0	1-8	550	2																							13.2 - 11.4 - 12.5 - 12.4 - 12.9 - 12.6 - 12.9	13.2 - 24.6 - 37.1 - 49.5 - 62.4 - 75.0 - 87.9 (13.2-13.2)
199008010107	ダ	右	1800	晴	良	13:15	4歳以上500万下		1990-1-5	1	京都	1	4歳以上500万下	(馬齢)	6	800	3	6	260	3	9	190	2	10.0	310	4.0	3-5	1470	7																							13.1 - 11.4 - 12.5 - 13.0 - 13.4 - 12.8 - 12.9 - 12.6 - 12.8	13.1 - 24.5 - 37.0 - 50.0 - 63.4 - 76.2 - 89.1 - 101.7 - 114.5 (13.1-13.1)
199008010108	ダ	右	1400	晴	良	13:50	4歳以上500万下		1990-1-5	1	京都	1	4歳以上500万下	牝(馬齢)	4	1010	7	4	240	4	2	200	3	12.0	150	1.0	2-4	2200	13																							12.9 - 11.6 - 12.5 - 12.4 - 12.7 - 12.7 - 12.8	12.9 - 24.5 - 37.0 - 49.4 - 62.1 - 74.8 - 87.6 (12.9-12.9)
199008010109	芝	右	2000	晴	良	14:25	福寿草特別 		1990-1-5	1	京都	1	4歳500万下	(混)(馬齢)	7	410	2	7	190	2	12	590	10	4.0	1,240	13.0	5-8	1820	8																							12.7 - 11.4 - 12.0 - 12.6 - 13.0 - 13.2 - 12.7 - 12.4 - 12.1 - 12.0	12.7 - 24.1 - 36.1 - 48.7 - 61.7 - 74.9 - 87.6 - 100.0 - 112.1 - 124.1 (12.7-12.7)
199008010110	ダ	右	1200	晴	良	15:00	初夢賞 		1990-1-5	1	京都	1	4歳以上900万下	(混)(別定)	11	820	4	11	300	4	12	330	5	6.0	580	8.0	6-6	2720	12																							12.6 - 11.2 - 11.3 - 11.6 - 12.4 - 13.0	12.6 - 23.8 - 35.1 - 46.7 - 59.1 - 72.1 (12.6-12.6)
199008010111	芝	右	2000	晴	良	15:40	スポニチ賞金杯	G3	1990-1-5	1	京都	1	4歳以上オープン	(ハンデ)	7	220	1	7	140	1	6	220	4	13.0	720	11.0	4-4	800	4																							12.6 - 11.4 - 11.8 - 12.0 - 12.6 - 12.5 - 12.1 - 12.5 - 12.3 - 12.1	12.6 - 24.0 - 35.8 - 47.8 - 60.4 - 72.9 - 85.0 - 97.5 - 109.8 - 121.9 (12.6-12.6)
