	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気
199001010101	ダ	右	1700	曇	良	10:55	4歳以上700万下		1990-6-9	1	札幌	1	4歳以上700万下	[抽](別定)	2	130	1	2	120	1	1	360	5	1-2	640	3																							6.9 - 11.2 - 12.3 - 12.7 - 13.3 - 13.2 - 12.8 - 13.0 - 12.8	6.9 - 18.1 - 30.4 - 43.1 - 56.4 - 69.6 - 82.4 - 95.4 - 108.2 (6.9-6.9)			
199001010102	ダ	右	1000	曇	良	11:25	4歳未勝利		1990-6-9	1	札幌	1	4歳未勝利	(馬齢)	4	130	1	4	100	1	3	150	3	3-4	540	2																							12.6 - 11.2 - 12.0 - 12.0 - 12.0	12.6 - 23.8 - 35.8 - 47.8 - 59.8 (12.6-12.6)	11.0	220.0	5.0
199001010103	ダ	右	1700	曇	良	11:55	4歳未勝利		1990-6-9	1	札幌	1	4歳未勝利	(馬齢)	9	370	3	9	140	2	3	140	1	3-7	470	1																							6.8 - 10.8 - 12.1 - 12.6 - 12.9 - 12.8 - 12.7 - 12.9 - 13.2	6.8 - 17.6 - 29.7 - 42.3 - 55.2 - 68.0 - 80.7 - 93.6 - 106.8 (6.8-6.8)	10.0	1,190	11.0
199001010104	ダ	右	1700	小雨	良	12:55	4歳未勝利		1990-6-9	1	札幌	1	4歳未勝利	(馬齢)	10	220	1	10	110	1	12	250	4	7-8	960	4																							6.9 - 10.8 - 12.0 - 12.6 - 13.1 - 13.0 - 12.9 - 12.6 - 12.9	6.9 - 17.7 - 29.7 - 42.3 - 55.4 - 68.4 - 81.3 - 93.9 - 106.8 (6.9-6.9)	8.0	310	6.0
199001010105	ダ	右	1000	小雨	良	13:25	3歳新馬		1990-6-9	1	札幌	1	3歳新馬	(混)(馬齢)	2	1090	5	2	260	5	5	170	2	2-5	1240	7																							12.6 - 11.6 - 12.3 - 12.2 - 12.0	12.6 - 24.2 - 36.5 - 48.7 - 60.7 (12.6-12.6)	1.0	250	4.0
199001010106	ダ	右	1000	小雨	良	14:00	4歳以上500万下		1990-6-9	1	札幌	1	4歳以上500万下	(馬齢)	6	160	1	6	100	1	12	260	4	5-8	400	2																							12.3 - 10.8 - 11.7 - 11.8 - 11.7	12.3 - 23.1 - 34.8 - 46.6 - 58.3 (12.3-12.3)	3.0	270	5.0
199001010107	芝	右	1800	小雨	良	14:35	ニセコ特別 		1990-6-9	1	札幌	1	4歳以上500万下	(馬齢)	8	2160	10	8	490	10	7	130	1	5-5	2440	12																							12.2 - 11.1 - 11.3 - 11.9 - 12.5 - 12.3 - 12.7 - 12.7 - 12.3	12.2 - 23.3 - 34.6 - 46.5 - 59.0 - 71.3 - 84.0 - 96.7 - 109.0 (12.2-12.2)	2.0	390	7.0
199001010201	ダ	右	1700	晴	良	10:55	4歳未勝利		1990-6-10	1	札幌	2	4歳未勝利	(馬齢)	3	120	1	3	110	1	11	520	9	3-8	1500	5																							6.8 - 11.0 - 12.2 - 12.4 - 12.6 - 13.0 - 12.9 - 12.4 - 12.5	6.8 - 17.8 - 30.0 - 42.4 - 55.0 - 68.0 - 80.9 - 93.3 - 105.8 (6.8-6.8)	6.0	330	6.0
199001010202	ダ	右	1000	晴	良	11:25	4歳未勝利		1990-6-10	1	札幌	2	4歳未勝利	(馬齢)	5	390	2	5	130	2	7	110	1	5-6	340	1																							12.3 - 10.7 - 11.5 - 12.2 - 12.9	12.3 - 23.0 - 34.5 - 46.7 - 59.6 (12.3-12.3)	2.0	290	6.0
199001010203	ダ	右	1700	晴	良	11:55	4歳未勝利		1990-6-10	1	札幌	2	4歳未勝利	(混)(馬齢)	4	730	3	4	120	3	1	110	1	1-4	850	2																							6.7 - 10.9 - 11.9 - 12.2 - 12.4 - 12.8 - 13.2 - 13.5 - 13.4	6.7 - 17.6 - 29.5 - 41.7 - 54.1 - 66.9 - 80.1 - 93.6 - 107.0 (6.7-6.7)	5.0	120	2.0
