	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気
199002010101	芝	右	1800	晴	良	10:45	4歳以上オープン		1990-8-4	1	函館	1	4歳以上オープン	[抽](別定)	6	1010	4	6.0	410.0	4.0	4.0	220	3.0	4-6	1580	7																							13.1 - 11.8 - 12.0 - 12.2 - 12.1 - 12.0 - 12.2 - 12.6 - 12.3	13.1 - 24.9 - 36.9 - 49.1 - 61.2 - 73.2 - 85.4 - 98.0 - 110.3 (13.1-13.1)			
199002010102	ダ	右	1000	晴	良	11:15	4歳未勝利		1990-8-4	1	函館	1	4歳未勝利	(馬齢)	8	200	1	8.0	100.0	1.0	5.0	120	3.0	5-8	370	1																							12.6 - 11.2 - 12.2 - 13.0 - 13.0	12.6 - 23.8 - 36.0 - 49.0 - 62.0 (12.6-12.6)	6.0	110.0	2.0
199002010103	芝	右	1000	晴	良	11:45	3歳新馬		1990-8-4	1	函館	1	3歳新馬	(馬齢)	4	180	1	4.0	110.0	1.0	5.0	110	2.0	4-5	170	1																							12.3 - 11.1 - 11.7 - 12.1 - 11.7	12.3 - 23.4 - 35.1 - 47.2 - 58.9 (12.3-12.3)			
199002010104	芝	右	2000	晴	良	12:45	4歳未勝利		1990-8-4	1	函館	1	4歳未勝利	(馬齢)	5	1040	4	5.0	270.0	5.0	4.0	260	4.0	4-5	4200	15																							12.5 - 11.1 - 11.5 - 12.5 - 12.4 - 12.3 - 12.2 - 12.4 - 12.9 - 12.4	12.5 - 23.6 - 35.1 - 47.6 - 60.0 - 72.3 - 84.5 - 96.9 - 109.8 - 122.2 (12.5-12.5)	10.0	600.0	8.0
199002010105	芝	右	2000	晴	良	13:15	4歳未勝利		1990-8-4	1	函館	1	4歳未勝利	(馬齢)	10	190	1	10.0	110.0	1.0	6.0	140	2.0	6-8	480	1																							12.0 - 10.7 - 12.5 - 12.1 - 12.2 - 12.6 - 12.5 - 12.4 - 13.0 - 12.7	12.0 - 22.7 - 35.2 - 47.3 - 59.5 - 72.1 - 84.6 - 97.0 - 110.0 - 122.7 (12.0-12.0)	3.0	150.0	4.0
199002010106	芝	右	1200	晴	良	13:50	4歳以上500万下		1990-8-4	1	函館	1	4歳以上500万下	(別定)	3	390	1	3.0	180.0	1.0	9.0	370	8.0	2-5	1610	7																							12.1 - 10.6 - 11.0 - 11.8 - 12.0 - 11.9	12.1 - 22.7 - 33.7 - 45.5 - 57.5 - 69.4 (12.1-12.1)	12.0	2,050	16.0
199002010107	芝	右	1800	晴	良	14:25	駒ケ岳特別 		1990-8-4	1	函館	1	4歳以上900万下	(別定)	1	2290	6	1.0	620.0	5.0	3.0	160	2.0	1-3	1990	7																							12.5 - 11.1 - 11.7 - 11.9 - 11.8 - 12.0 - 12.4 - 12.6 - 11.9	12.5 - 23.6 - 35.3 - 47.2 - 59.0 - 71.0 - 83.4 - 96.0 - 107.9 (12.5-12.5)			
199002010108	ダ	右	1700	晴	良	15:00	陸奥湾特別 		1990-8-4	1	函館	1	4歳以上500万下	(別定)	2	870	6	2.0	340.0	7.0	5.0	310	5.0	2-5	1590	6																							7.4 - 10.5 - 11.9 - 12.8 - 12.7 - 12.5 - 13.7 - 13.9 - 13.6	7.4 - 17.9 - 29.8 - 42.6 - 55.3 - 67.8 - 81.5 - 95.4 - 109.0 (7.4-7.4)	3.0	470	9.0
199002010109	芝	右	1200	晴	良	15:35	津軽海峡特別 		1990-8-4	1	函館	1	4歳以上900万下	(ハンデ)	5	400	3	5.0	160.0	2.0	4.0	130	1.0	4-5	490	1																							12.0 - 10.6 - 11.2 - 11.6 - 11.9 - 11.9	12.0 - 22.6 - 33.8 - 45.4 - 57.3 - 69.2 (12.0-12.0)			
199002010110	芝	右	1800	晴	良	16:10	4歳以上500万下		1990-8-4	1	函館	1	4歳以上500万下	(父)(別定)	8	660	4	8.0	220.0	5.0	10.0	540	8.0	7-8	900	4																							12.3 - 11.7 - 11.7 - 12.3 - 12.3 - 12.1 - 11.9 - 12.1 - 12.0	12.3 - 24.0 - 35.7 - 48.0 - 60.3 - 72.4 - 84.3 - 96.4 - 108.4 (12.3-12.3)	4.0	130	1.0
