rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	2	4		ステラダイヤ	牝3	53.0		亀田温心	1:09.0		1-1	35.2	3.1	1	492	-2		高柳瑞樹		ＶｉｒｉｄｉａｎＫｅｉｂａＣｌｕｂ	760.0
2	3	6		ジューンベロシティ	牡3	55.0		富田暁	1:09.0	クビ	10-11	34.5	7.4	3	464	8		武英智		吉川潤	300.0
3	1	1		アセンダント	牝5	55.0		丹内祐次	1:09.1	1/2	4-3	35.1	12.1	7	464	2		田島俊明		サラブレッドクラブ・ラフィアン	190.0
4	7	14		ララサンスフル	牝3	54.0		菅原明良	1:09.1	アタマ	12-12	34.3	10.4	5	490	-4		大竹正博		フジイ興産	110.0
5	3	5		スターズプレミア	牡4	57.0		鮫島克駿	1:09.2	1/2	4-5	35.2	7.0	2	474	8		池江泰寿		ＤＭＭドリームクラブ	76.0
6	5	9		セイラブミー	牝4	55.0		勝浦正樹	1:09.3	1/2	9-9	34.9	17.8	8	468	6		伊藤大士		ミルファーム	
7	4	7		ジャストザビアンカ	牝3	54.0		西村淳也	1:09.4	1/2	2-2	35.6	22.4	10	454	0		牧浦充徳		ジャスト・タイムクラブ	
8	8	15		デアリングウーマン	牝3	51.0		角田大和	1:09.4	ハナ	3-3	35.5	7.8	4	432	-2		角田晃一		岡浩二	
9	6	12		オメガハートクィン	牝5	55.0		横山和生	1:09.5	クビ	10-9	35.0	34.5	11	448	0		松永幹夫		原禮子	
10	5	10		ホウオウジュレップ	牝3	54.0		木幡巧也	1:09.5	クビ	12-12	34.8	37.8	12	414	2		牧光二		小笹芳央	
10	6	11		ホープホワイト	牝4	52.0		横山琉人	1:09.5	同着	6-5	35.3	19.2	9	462	-2		武井亮		愛馬レーシングクラブ	
12	1	2		ジュノエスク	牝3	51.0		小林脩斗	1:09.6	クビ	6-8	35.4	42.1	13	456	2		坂口智康		吉田照哉	
13	7	13		ミーハディビーナ	牝4	55.0		黛弘人	1:09.8	1.1/4	15-15	34.8	180.7	16	434	2		和田雄二		ノルマンディーサラブレッドレーシング	
14	8	16		スペシャルトーク	セ3	56.0		斎藤新	1:10.0	1.1/4	16-16	34.5	117.2	15	464	-4		杉浦宏昭		ホースアディクト	
15	4	8		アヴァノス	牡3	55.0		秋山稔樹	1:10.1	3/4	6-5	36.0	10.5	6	460	-2		和田正一		吉田勝己	
16	2	3		グッドアズゴールド	牝4	52.0		松本大輝	1:10.2	クビ	12-14	35.4	85.4	14	416	-8		笹田和秀		京都ホースレーシング	
