waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2019105476	コラリン	牝2	54.0	05339	ルメール	01051	岩戸	432	0
2	2	2019105912	ブレットプルーフ	牡2	54.0	01134	嶋田	01100	松山	502	16
3	3	2019104498	インプロバイザー	牡2	54.0	01179	菅原明	01002	音無	460	-2
4	4	2019110107	ジャスパークローネ	牡2	54.0	05212	Ｍデムーロ	00427	森	486	4
5	5	2019106666	ドリップ	牡2	54.0	01009	柴田大	01167	稲垣	460	2
6	6	2019103136	シゲルファンノユメ	牡2	54.0	01122	三浦	01023	伊藤圭	464	-2
7	7	2019101037	エシェロン	牡2	54.0	01135	杉原	01086	斎藤誠	456	0
7	8	2019105112	フミバレンタイン	牝2	54.0	05386	戸崎圭	01097	鹿戸	456	-4
8	9	2019100755	アラクレ	牝2	54.0	01091	丹内	01080	清水英	434	4
8	10	2019105238	フリートオブフット	牝2	54.0	01170	横山武	01145	奥村武	438	0
