rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	4	5		エルマスフエルテ	牡5	56.0		藤田凌	1:29.2		1-2-2	38.3	5.5	3	484	5		久保杉隆		小野寺悠太	80.0
2	7	12		コスモマギカ	牡6	56.0		岡村健司	1:29.3	1/2	13-12-11	37.1	28.7	9	446	1		柏木一夫		豊島愛子	32.0
3	7	11		グランイーグル	セ7	56.0		和田譲治	1:29.5	1.0	6-6-4	38.2	3.4	1	514	1		鷹見浩		中田和宏	20.0
4	8	13		ジューンソリドール	牡7	56.0		安藤洋一	1:30.0	2.1/2	10-8-8	38.5	47.2	11	481	10		鈴木啓之		（株）三共商事	12.0
5	5	7		フラウリーノ	牝4	54.0		西啓太	1:30.0	アタマ	3-3-4	38.9	5.8	4	461	-4		橋本和馬		（有）日進牧場	8.0
6	8	14		オースオブオフィス	牡6	56.0		江里口裕	1:30.0	クビ	9-9-10	38.2	15.7	6	527	0		大宮和也		北原大史	
7	5	8		センジュエース	牡5	56.0		今野忠成	1:30.3	1.1/2	5-3-3	39.2	8.0	5	448	2		佐々木洋		増山武志	
8	2	2		プライムライン	牡4	56.0		石川駿介	1:30.3	クビ	1-1-1	39.5	4.7	2	464	28		高野毅		米山尚輝	
8	6	9		エスティローレル	牝6	54.0		吉井章	1:30.3	同着	7-5-6	39.2	19.9	7	441	0		松浦裕之		青木正男	
10	3	3		バニラオーキッド	牡5	53.0		菅原涼太	1:30.3	アタマ	4-7-7	38.9	30.5	10	511	7		赤嶺本浩		谷謙介	
11	1	1		アルーリングデイズ	セ7	56.0		石崎駿	1:30.6	1.1/2	10-13-13	38.4	74.2	12	464	2		朝倉実		楠元貴司	
12	4	6		ムサシイーグル	牡6	56.0		町田直希	1:30.6	アタマ	8-10-9	38.8	21.5	8	478	7		栗田泰昌		武蔵屋ハウス（株）	
13	3	4		ヴィクトリアノヴァ	牡4	56.0		濱田達也	1:31.1	2.1/2	10-11-12	39.0	326.4	14	492	-7		渡部則夫		安川幸彦	
14	6	10		マグレ	牝5	54.0		中村尚平	1:31.4	1.1/2	14-14-14	39.0	223.2	13	450	4		庄子昭彦		酒井孝敏	
