waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	horse	ホクショウムサシ			a028d	赤塚健仁	a0217	村上慎一	1041	15
2	2	horse	シンエイアロー			a022c	西謙一	a028d	西弘美	951	16
3	3	horse	オオゾラマミ			a028c	島津新	a024e	中島敏博	997	1
4	4	horse	ホクセイジョーカー			a028e	西将太	a028d	西弘美	940	10
5	5	horse	アイスウオッカ			a0056	村上章	a007a	鈴木邦哉	956	0
6	6	horse	アアモンドマイ			a0066	松田道明	a0217	村上慎一	991	8
7	7	horse	フジダイビクトール			a0437	金田利貴	a0216	金田勇	921	2
7	8	horse	グレンタイショウ			a0061	藤本匠	a022e	松井浩文	936	12
8	9	horse	コウシュハヤマト			a0268	渡来心路	a0225	小林長吉	982	24
8	10	horse	ツツミナナヒメ			a0251	長澤幸太	a0381	大河原和	847	5
