rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	8	10		ダノンティンパニー	牡4	56.0		大山真吾	1:32.9		2-2-2-1	37.5	1.3	1	472	0		保利幸作		（株）ダノックス	50.0
2	6	6		ラガートゥインクル	牝4	54.0		松木大地	1:34.6	大	1-1-1-2	39.3	4.4	2	426	-4		尾林幸二		奥村啓二	20.0
3	4	4		アチェンティ	牝7	54.0		渡瀬和幸	1:35.5	6.0	10-10-8-7	39.0	76.9	7	440	-3		稻田彰宏		巴山尊文	12.5
4	2	2		ゴウノモノ	牡7	56.0		田中学	1:35.7	1.1/4	3-3-4-3	40.2	7.5	3	479	-7		高馬元紘		（同）ＪＰＮ技研	7.5
5	8	9		エンジェルアイドル	牝7	54.0		小谷周平	1:35.7	アタマ	3-4-3-4	40.0	41.2	5	468	4		稻田彰宏		組）オールザベスト組	5.0
6	5	5		モアナジンク	牝7	54.0		板野央	1:36.1	2.1/2	6-5-7-5	40.2	120.7	8	450	0		大石省三		小谷昌吾	
7	7	8		モッチリ	牡5	56.0		鴨宮祥行	1:36.3	3/4	5-5-6-6	40.4	44.5	6	485	-3		山元博徳		竹田和博	
8	3	3		モスローズ	牝7	54.0		中田貴士	1:37.0	4.0	8-8-9-9	40.6	294.8	10	399	-1		山元博徳		（株）ファーストビ	
9	7	7		ヨモギ	牝5	54.0		永井孝典	1:37.4	2.1/2	7-7-5-8	41.7	10.9	4	421	12		盛本信春		岡本真二	
10	1	1		メイショウタンテツ	牡6	56.0		廣瀬航	1:38.2	5.0	9-9-10-10	41.4	219.7	9	441	1		国澤利照		木下務	
