	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
201701010206	ダ	右	1700	晴	良	12:40	2歳新馬		2017-7-30	1	札幌	2	2歳新馬	(混)[指](馬齢)	1	230	1	1	120	1	10	190	3	1-10	970	3	1-10	380	3	1-11	360	2	10-11	730	8	1=>10	1350	4	1-10-11	1830	4	1=>10=>11	5930	7	1,12(7,9)-(4,10)8-(2,11)3-(5,6)	1,12(7,9)10-(4,8)11,2(3,6)=5	1(12,9,10)-6-8(4,11)7-(3,2)=5	1,10=(12,9)11,6(8,4)=(3,2)=7=5	6.8 - 11.0 - 12.3 - 12.9 - 13.0 - 12.5 - 13.0 - 12.8 - 13.0	6.8 - 17.8 - 30.1 - 43.0 - 56.0 - 68.5 - 81.5 - 94.3 - 107.3 (30.1-38.8)	11.0	190.0	4.0	1-7	650.0	3.0
201701010301	ダ	右	1000	晴	良	09:55	2歳未勝利		2017-8-5	1	札幌	3	2歳未勝利	[指](馬齢)	6	370	2	6	140	2	7	110	1	6-7	560	1	6-7	220	1	4-6	1,020	17	4-7	630	11	6=>7	1170	3	4-6-7	2510	11	6=>7=>4	8770	32			4,6,7(2,5)8(1,3)	(*4,6)7,5(1,8)3-2	12.6 - 11.5 - 11.8 - 11.7 - 12.3	12.6 - 24.1 - 35.9 - 47.6 - 59.9 (35.9-35.8)	4.0	370.0	7.0			
201701010302	ダ	右	1700	晴	良	10:20	3歳未勝利		2017-8-5	1	札幌	3	3歳未勝利	牝[指](馬齢)	3	320	2	3	120	2	14	110	1	3-14	290	1	3-14	170	1	1-3	1,100	15	1-14	1,060	14	3=>14	750	2	1-3-14	2770	9	3=>14=>1	10610	26	(4,*6)14,3,1,13,5(7,9)(2,11)(8,12)10	(*4,6)14(1,3)13,9(5,12)(7,11)2(8,10)	(*4,6,14)(1,3,7,9)(5,13,11,12)(2,10)-8	(*4,14)1(6,3,7)(5,11)(13,9,10)2-(8,12)	6.6 - 10.9 - 11.9 - 12.9 - 13.0 - 12.8 - 12.7 - 12.6 - 12.9	6.6 - 17.5 - 29.4 - 42.3 - 55.3 - 68.1 - 80.8 - 93.4 - 106.3 (29.4-38.2)	1.0	360.0	7.0	3-8	210.0	1.0
201701010303	芝	右	1200	晴	良	10:50	3歳未勝利		2017-8-5	1	札幌	3	3歳未勝利	(混)[指](馬齢)	13	640	5	13	180	4	1	180	5	1-13	1470	6	1-13	620	9	8-13	470	3	1-8	480	4	13=>1	2790	12	1-8-13	1760	2	13=>1=>8	13940	35			2-7(1,15)14(3,10,13)(6,8)12(5,16)9,11,4	2(7,1)15(13,14)3(10,8)6,12-(5,9)(16,11)4	12.0 - 10.6 - 10.9 - 11.7 - 11.8 - 11.8	12.0 - 22.6 - 33.5 - 45.2 - 57.0 - 68.8 (33.5-35.3)	8.0	160.0	1.0	1-7	590.0	3.0
201701010304	ダ	右	1700	晴	良	11:20	3歳未勝利		2017-8-5	1	札幌	3	3歳未勝利	[指](馬齢)	4	190	1	4	140	1	11	510	7	4-11	1790	5	4-11	920	9	2-4	360	3	2-11	3,140	32	4=>11	2410	8	2-4-11	4710	14	4=>11=>2	14830	39	(3,*11)(4,5)(2,9)1(7,10,14)-8-6-(12,13)	11-3-(4,5)(2,9)1(7,14)(10,8)=6-(12,13)	11-3(2,4)(1,5,9)(7,8)14-10-6-(12,13)	11-3,4,2-(1,8)(14,7)(10,9,6)5-13-12	6.9 - 11.0 - 11.4 - 12.3 - 12.4 - 13.0 - 12.6 - 12.9 - 13.2	6.9 - 17.9 - 29.3 - 41.6 - 54.0 - 67.0 - 79.6 - 92.5 - 105.7 (29.3-38.7)	2.0	220.0	4.0	3-7	1700.0	6.0
201701010305	芝	右	1200	晴	良	12:10	2歳新馬		2017-8-5	1	札幌	3	2歳新馬	(混)[指](馬齢)	7	470	2	7	170	2	5	250	5	5-7	1880	8	5-7	600	9	6-7	410	4	5-6	700	10	7=>5	3360	14	5-6-7	2540	10	7=>5=>6	13060	45			7(5,9)8(2,3)1-4,6	(*7,5)-(3,9)-1,6,8,2=4	12.4 - 11.2 - 11.3 - 11.3 - 11.4 - 12.3	12.4 - 23.6 - 34.9 - 46.2 - 57.6 - 69.9 (34.9-35.0)	6.0	180.0	3.0	5-7	1980.0	8.0
201701010401	芝	右	1500	晴	良	09:55	2歳未勝利		2017-8-6	1	札幌	4	2歳未勝利	(混)[指](馬齢)	10	340	2	10	170	2	6	240	4	6-10	1620	7	6-10	670	8	5-10	660	7	5-6	950	13	10=>6	2630	9	5-6-10	4180	15	10=>6=>5	14430	52		11(2,4,7)1,6(3,10)-(8,9)-5	(*11,4)7,1(2,10)-6(9,3)-5-8	(4,7,*10)2(11,1)6(9,5,3)8	6.8 - 11.5 - 11.3 - 11.7 - 12.0 - 12.1 - 11.5 - 12.4	6.8 - 18.3 - 29.6 - 41.3 - 53.3 - 65.4 - 76.9 - 89.3 (29.6-36.0)	5.0	290.0	6.0	6-8	810.0	4.0
201701010402	ダ	右	1000	晴	良	10:20	3歳未勝利		2017-8-6	1	札幌	4	3歳未勝利	(混)[指](馬齢)	4	200	1	4	120	1	5	190	3	4-5	740	2	4-5	310	2	4-6	450	4	5-6	1,250	17	4=>5	1210	4	4-5-6	2360	7	4=>5=>6	8170	19			(*4,6)(5,8,10,11)-(7,9,12)-2-3=1	(*4,6)(5,8,10)11-7(9,12)=3,2=1	12.4 - 11.0 - 11.5 - 11.7 - 12.4	12.4 - 23.4 - 34.9 - 46.6 - 59.0 (34.9-35.6)	6.0	210.0	5.0	4-5	420.0	2.0
201701010403	ダ	右	1700	晴	良	10:50	3歳未勝利		2017-8-6	1	札幌	4	3歳未勝利	[指](馬齢)	7	200	1	7	120	1	5	690	9	5-7	5180	15	5-7	1,840	18	2-7	340	2	2-5	3,470	31	7=>5	6370	23	2-5-7	6000	21	7=>5=>2	35750	109	8-(3,10)12(2,9,13)-5(1,11)7(4,6,14)	8-10(3,12)9(2,13)(1,5)11,7,4(6,14)	(8,10,*11)(9,12)(3,7)(2,5)(13,1)-(14,4)6	(10,*11)(8,9,7,1)-5(3,12)2-14(6,13)4	7.0 - 10.8 - 12.3 - 12.6 - 13.0 - 12.9 - 12.5 - 12.5 - 13.3	7.0 - 17.8 - 30.1 - 42.7 - 55.7 - 68.6 - 81.1 - 93.6 - 106.9 (30.1-38.3)	2.0	210.0	4.0	4-5	2940.0	11.0
201701010404	芝	右	2000	晴	良	11:20	3歳未勝利		2017-8-6	1	札幌	4	3歳未勝利	牝[指](馬齢)	11	220	1	11	130	1	3	170	2	3-11	820	2	3-11	410	2	2-11	550	4	2-3	1,390	15	11=>3	1250	2	2-3-11	3080	6	11=>3=>2	9650	9	1(3,10)2,4,16(5,6)7(13,14)(9,15)8,11-12	1-3-(2,10)4(5,16)(13,6,7)14(9,15)(8,11)-12	1-3(2,10)(5,4,16)(13,14)(6,7)(9,11)(8,15)12	(*1,3)(2,11)(10,16)(5,4)(13,14)(6,7)(9,15)(8,12)	12.6 - 10.8 - 11.5 - 12.3 - 12.2 - 12.7 - 12.6 - 12.3 - 11.8 - 12.2	12.6 - 23.4 - 34.9 - 47.2 - 59.4 - 72.1 - 84.7 - 97.0 - 108.8 - 121.0 (34.9-36.3)	2.0	210.0	4.0	2-6	680.0	3.0
