	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201042010601	ダ	左	1400	晴	良	10:30	3歳		2010-1-6	9	浦和	1	100万円以上215万円未満		7	430	3	7	130	1	6	130	2	12.0	260.0	6.0	5-6	300.0	1.0	6-7	590	1	6-7	230	1	7-12	720	12	6-12	760	14	6=>5	850.0	3.0	7=>6	1110	1	6-7-12	2180	6	7=>6=>12	9140	21	21218711105346	21218711510436	12811271016543	12786111015423	12.7 - 12.4 - 13.5 - 14.0 - 13.3 - 14.1 - 13.0	12.7 - 25.1 - 38.6 - 52.6 - 65.9 - 80.0 - 93.0 (38.6-40.4)
201042010602	ダ	左	1400	晴	良	11:00	3歳		2010-1-6	9	浦和	1	100万円以上215万円未満		4	220	1	4	130	2	11	300	5	2.0	190.0	3.0	4-8	910.0	4.0	4-11	930	3	4-11	360	3	2-4	200	1	2-11	560	7	4=>8	1060.0	2.0	4=>11	1570	5	2-4-11	1170	2	4=>11=>2	6060	13	861112153497210	811126143592710	811121465239710	114825126193710	12.2 - 11.8 - 13.0 - 13.8 - 13.2 - 14.2 - 13.9	12.2 - 24.0 - 37.0 - 50.8 - 64.0 - 78.2 - 92.1 (37.0-41.3)
201042010603	ダ	左	1300	晴	良	11:30	4歳		2010-1-6	9	浦和	1	115万円以上161万円未満		8	230	2	8	120	2	10	100	1	6.0	280.0	6.0	7-8	160.0	1.0	8-10	170	1	8-10	120	1	6-8	600	8	6-10	580	7	7=>8	310.0	2.0	8=>10	350	2	6-8-10	970	3	8=>10=>6	2710	6	68109317452	6,8,10,9,3,7,4,(1,2),5	86103974215	81036729451	6.5 - 11.8 - 12.8 - 13.3 - 12.8 - 13.9 - 14.0	6.5 - 18.3 - 31.1 - 44.4 - 57.2 - 71.1 - 85.1 (31.1-40.7)
201042010604	ダ	左	1400	晴	良	12:00	C3八　九		2010-1-6	9	浦和	1			7	840	5	7	260	6	8	110	1	2.0	190.0	4.0	7-8	1140.0	6.0	7-8	1250	5	7-8	500	7	2-7	1,050	16	2-8	290	2	7=>8	2710.0	11.0	7=>8	2830	11	2-7-8	2880	12	7=>8=>2	21610	78	586974321	589672413	589761234	857961234	12.8 - 12.6 - 13.7 - 13.7 - 13.4 - 13.8 - 13.4	12.8 - 25.4 - 39.1 - 52.8 - 66.2 - 80.0 - 93.4 (39.1-40.6)
201042010605	ダ	左	1400	晴	良	12:30	C3八　九		2010-1-6	9	浦和	1			5	1040	5	5	370	7	3	140	1	4.0	980.0	10.0	3-5	2110.0	11.0	3-5	1720	7	3-5	870	10	4-5	4,880	43	3-4	1,880	23	5=>3	5380.0	27.0	5=>3	4080	17	3-4-5	12760	46	5=>3=>4	78050	280	4261139510781	4236119571018	4235116971810	4325611179810	12.6 - 12.0 - 12.7 - 13.6 - 13.9 - 14.3 - 14.2	12.6 - 24.6 - 37.3 - 50.9 - 64.8 - 79.1 - 93.3 (37.3-42.4)
201042010606	ダ	左	1400	晴	良	13:05	C3七		2010-1-6	9	浦和	1			9	160	1	9	100	1	2	150	3	8.0	180.0	4.0	2-7	520.0	2.0	2-9	470	2	2-9	250	2	8-9	310	3	2-8	690	9	7=>2	680.0	2.0	9=>2	650	2	2-8-9	860	1	9=>2=>8	3230	6	2794111510863	2,7,9,(4,11),5,1,10,8,6,3	2978411510613	9211874105163	12.7 - 12.6 - 13.3 - 13.7 - 13.9 - 13.2 - 13.7	12.7 - 25.3 - 38.6 - 52.3 - 66.2 - 79.4 - 93.1 (38.6-40.8)
201042010607	ダ	左	1500	晴	良	13:35	C2三　四		2010-1-6	9	浦和	1			4	630	3	4	130	3	1	110	2	8.0	100.0	1.0	1-4	800.0	3.0	1-4	990	4	1-4	270	3	4-8	240	2	1-8	150	1	4=>1	2610.0	10.0	4=>1	2400	9	1-4-8	480	1	4=>1=>8	5960	18	891342765	8,9,(1,3),4,2,7,6,5	8,9,4,1,3,2,7,6-5	8,4,9,1,3,2,7,6-5	7.4 - 11.8 - 12.2 - 13.2 - 13.5 - 13.0 - 13.5 - 13.2	7.4 - 19.2 - 31.4 - 44.6 - 58.1 - 71.1 - 84.6 - 97.8 (31.4-39.7)
201042010608	ダ	左	1500	晴	良	14:05	C2三　四		2010-1-6	9	浦和	1			4	710	3	4	210	3	7	270	5	3.0	470.0	6.0	4-7	3730.0	11.0	4-7	2720	10	4-7	790	9	3-4	1,900	15	3-7	1,710	14	4=>7	7510.0	20.0	4=>7	6180	19	3-4-7	15260	34	4=>7=>3	76650	145	3,6,9,10,7,4,2,5-8,1	3,6,9,4,7,10,5-2,8-1	3,6,7,4,9,5-10,2,8,1	3,6,4,7,5,9-2,10,8,1	7.1 - 11.7 - 11.9 - 13.0 - 13.5 - 13.0 - 14.0 - 14.1	7.1 - 18.8 - 30.7 - 43.7 - 57.2 - 70.2 - 84.2 - 98.3 (30.7-41.1)
201042010609	ダ	左	1600	晴	良	14:35	フレッシュジャニアリ 		2010-1-6	9	浦和	1			8	180	1	8	110	1	9	170	4	4.0	300.0	5.0	7-8	560.0	3.0	8-9	530	2	8-9	270	2	4-8	450	4	4-9	780	13	7=>8	620.0	1.0	8=>9	840	3	4-8-9	1780	6	8=>9=>4	4680	8	86123549710	86123459710	86192475310	86195427103	12.4 - 11.8 - 13.6 - 13.6 - 13.9 - 13.0 - 13.8 - 13.5	12.4 - 24.2 - 37.8 - 51.4 - 65.3 - 78.3 - 92.1 - 105.6 (37.8-40.3)
201042010610	ダ	左	1600	晴	良	15:05	花のまち鴻巣賞		2010-1-6	9	浦和	1	(ハンデ)		6	130	1	6	110	1	8	150	3	4.0	180.0	4.0	6-8	320.0	1.0	6-8	380	2	6-8	170	2	4-6	260	3	4-8	610	8	6=>8	490.0	2.0	6=>8	480	2	4-6-8	830	3	6=>8=>4	1820	4	236198457	2,3,6,(1,9),8,4,7,5	632981475	683245197	11.9 - 11.7 - 12.2 - 13.0 - 14.2 - 14.6 - 13.7 - 14.0	11.9 - 23.6 - 35.8 - 48.8 - 63.0 - 77.6 - 91.3 - 105.3 (35.8-42.3)
201042010611	ダ	左	1500	晴	良	15:40	睦月特別 		2010-1-6	9	浦和	1	(ハンデ)		1	330	2	1	140	2	3	180	3	5.0	320.0	7.0	1-3	640.0	3.0	1-3	640	3	1-3	270	2	1-5	770	12	3-5	1,070	15	1=>3	1160.0	6.0	1=>3	1360	6	1-3-5	3480	13	1=>3=>5	11680	40	362185974	3,6,2,1,8,5,9-4,7	3,2,6,5,1,8,9-4,7	3,1,2,5,6,8,9-4-7	6.8 - 11.6 - 12.3 - 12.9 - 13.2 - 12.8 - 12.6 - 14.1	6.8 - 18.4 - 30.7 - 43.6 - 56.8 - 69.6 - 82.2 - 96.3 (30.7-39.5)
201042010612	ダ	左	1400	晴	良	16:15	新春特別 		2010-1-6	9	浦和	1	(ハンデ)		1	340	2	1	170	3	5	180	5	7.0	130.0	2.0	1-5	1300.0	7.0	1-5	1190	7	1-5	410	8	1-7	240	1	5-7	400	7	1=>5	2110.0	10.0	1=>5	2490	11	1-5-7	1080	3	1=>5=>7	6240	22	1576839102411	1576839210411	1578963421011	1567894321110	12.8 - 12.4 - 13.2 - 13.1 - 12.7 - 12.7 - 13.5	12.8 - 25.2 - 38.4 - 51.5 - 64.2 - 76.9 - 90.4 (38.4-38.9)
201042010701	ダ	左	1300	晴	良	10:30	3歳		2010-1-7	9	浦和	2	36万円以上100万円未満		7	530	2	7	150	2	8	1,300	11	3.0	110.0	1.0	6-7	6420.0	16.0	7-8	23200	30	7-8	6,530	35	3-7	170	1	3-8	2,800	27	6=>7	8290.0	23.0	7=>8	59130	59	3-7-8	12690	42	7=>8=>3	195030	344	7891364210511	7891463210511	7891634102511	7813594610211	6.3 - 12.0 - 13.1 - 13.5 - 13.2 - 13.6 - 14.4	6.3 - 18.3 - 31.4 - 44.9 - 58.1 - 71.7 - 86.1 (31.4-41.2)
201042010702	ダ	左	1400	晴	良	11:00	3歳		2010-1-7	9	浦和	2	36万円以上100万円未満		10	290	2	10	120	1	11	610	8	4.0	520.0	7.0	8-8	3130.0	12.0	10-11	3830	15	10-11	1,370	16	4-10	1,060	12	4-11	6,220	42	8=>8	3010.0	11.0	10=>11	5550	19	4-10-11	26610	63	10=>11=>4	127600	282	1281147931065	1284119710356	1284109113756	1,4,2,10,11,8,9,3,7-5,6	12.5 - 12.2 - 13.8 - 14.3 - 13.6 - 13.7 - 14.4	12.5 - 24.7 - 38.5 - 52.8 - 66.4 - 80.1 - 94.5 (38.5-41.7)
201042010703	ダ	左	1400	晴	良	11:30	4歳		2010-1-7	9	浦和	2	161万円以上		11	6160	9	11	830	10	6	140	2	2.0	170.0	3.0	6-8	2440.0	7.0	6-11	19350	35	6-11	2,680	29	2-11	2,330	25	2-6	570	5	8=>6	7590.0	23.0	11=>6	84280	82	2-6-11	19630	50	11=>6=>2	128940	276	6102111537948	6102113517489	6101132198745	6111023198574	12.6 - 12.4 - 14.0 - 13.9 - 13.1 - 13.8 - 13.4	12.6 - 25.0 - 39.0 - 52.9 - 66.0 - 79.8 - 93.2 (39.0-40.3)
201042010704	ダ	左	1400	晴	良	12:00	C3五　六		2010-1-7	9	浦和	2			9	300	2	9	120	2	5	120	1	2.0	210.0	5.0	5-8	300.0	1.0	5-9	410	1	5-9	180	1	2-9	320	3	2-5	270	2	8=>5	680.0	2.0	9=>5	920	2	2-5-9	640	1	9=>5=>2	2690	3	28519463710	2,5,8,1,9-4,6,3,7,10	25918473610	59218437610	12.7 - 11.9 - 13.3 - 13.5 - 13.8 - 14.2 - 13.5	12.7 - 24.6 - 37.9 - 51.4 - 65.2 - 79.4 - 92.9 (37.9-41.5)
201042010705	ダ	左	1400	晴	良	12:30	C3五　六		2010-1-7	9	浦和	2			12	2760	9	12	1,090	11	11	140	2	3.0	630.0	8.0	8-8	4580.0	19.0	11-12	7230	24	11-12	1,960	22	3-12	6,380	55	3-11	940	11	8=>8	4510.0	20.0	12=>11	21830	67	3-11-12	37400	98	12=>11=>3	377360	663	512211109387614	5,12,2,11,(3,9),10,7,8,6,1,4	512113729106814	12,11,5,3,7,10,6,(9,4),8,1,2	12.6 - 12.0 - 13.0 - 13.3 - 13.6 - 14.0 - 13.6	12.6 - 24.6 - 37.6 - 50.9 - 64.5 - 78.5 - 92.1 (37.6-41.2)
