	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201045010211	ダ	左	1500	晴	良	16:45	初夢特別 		2010-1-2	11	川崎	2	(別定)		13	270	1	13	170	2	5	310	6	10.0	360.0	7.0	4-8	1380.0	6.0	5-13	1720	6	5-13	700	6	10-13	760	8	5-10	2,150	31	8=>4	2550.0	10.0	13=>5	2690	6	5-10-13	5550	21	13=>5=>10	21730	60	13,10,11,9,8,12,1,5,(3,6,7),4,2	1.0131198121576342e+16	(10,13),11,9,8,12,5,1,7,3,6,4,2	10138121195137426	5.7 - 11.3 - 12.1 - 13.6 - 12.4 - 13.2 - 13.0 - 13.3	5.7 - 17.0 - 29.1 - 42.7 - 55.1 - 68.3 - 81.3 - 94.6 (29.1-39.5)
201045010301	ダ	左	1400	晴	良	11:20	3歳7　ロ		2010-1-3	11	川崎	3	15万円以上48万円未満		4	220	1	4	130	1	6	280	4							4-6	890	4	4-6	390	4	1-4	250	2	1-6	550	9				4=>6	1700	7	1-4-6	1260	5	4=>6=>1	6240	21	2763154	2761354.0	2764153	2,7,(1,6),4,5,3	13.1 - 12.7 - 14.6 - 12.6 - 13.4 - 14.0 - 13.9	13.1 - 25.8 - 40.4 - 53.0 - 66.4 - 80.4 - 94.3 (40.4-41.3)
201045010302	ダ	左	1400	晴	良	11:50	4歳5		2010-1-3	11	川崎	3	41万円未満		1	960	5	1	250	4	2	210	2	3.0	1,080	9.0	1-2	2200.0	8.0	1-2	1860	7	1-2	630	7	1-3	4,090	31	2-3	3,470	30	1=>2	4250.0	14.0	1=>2	3750	16	1-2-3	19900	57	1=>2=>3	118860	292	128973465	128937465.0	128937645	128379465	13.2 - 12.4 - 14.1 - 12.3 - 13.3 - 13.2 - 13.1	13.2 - 25.6 - 39.7 - 52.0 - 65.3 - 78.5 - 91.6 (39.7-39.6)
201045010303	ダ	左	1400	晴	良	12:20	3歳6　イ		2010-1-3	11	川崎	3	15万円以上48万円未満		12	180	1	12	120	1	7	740	9	8.0	190	4.0	6-8	480.0	1.0	7-12	4460	17	7-12	1,620	20	8-12	320	2	7-8	2,420	26	8=>6	770.0	1.0	12=>7	5450	20	7-8-12	5280	19	12=>7=>8	24340	71	591211826317104	591228113617104.0	5,12,9,11,8,2,(3,6),7,1,4,10	512879113612410	13.0 - 12.1 - 13.8 - 12.0 - 13.0 - 14.2 - 13.6	13.0 - 25.1 - 38.9 - 50.9 - 63.9 - 78.1 - 91.7 (38.9-40.8)
201045010304	ダ	左	1500	晴	良	12:50	C3三　四		2010-1-3	11	川崎	3			3	580	4	3	280	4	6	730	8	9.0	1,770	9.0	3-6	11780.0	22.0	3-6	8310	20	3-6	2,400	22	3-9	6,350	32	6-9	11,280	35	3=>6	18060.0	40.0	3=>6	13080	36	3-6-9	80430	76	3=>6=>9	375120	372	695123874	691532874.0	6,9,5,1,(3,2),4,7,8	691534872	6.2 - 12.0 - 12.6 - 13.8 - 12.5 - 13.2 - 13.6 - 12.5	6.2 - 18.2 - 30.8 - 44.6 - 57.1 - 70.3 - 83.9 - 96.4 (30.8-39.3)
201045010305	ダ	左	1500	晴	良	13:20	C3三　四		2010-1-3	11	川崎	3			4	260	1	4	120	1	1	150	3	6.0	730	10.0	1-4	580.0	2.0	1-4	580	2	1-4	230	1	4-6	1,640	19	1-6	2,120	28	4=>1	940.0	3.0	4=>1	940	2	1-4-6	5610	20	4=>1=>6	16730	53	6310111789542	6311110784952.0	6311104198572	6310411159827	5.7 - 11.2 - 12.3 - 13.2 - 12.1 - 13.2 - 14.3 - 14.2	5.7 - 16.9 - 29.2 - 42.4 - 54.5 - 67.7 - 82.0 - 96.2 (29.2-41.7)
201045010306	ダ	左	1400	晴	良	13:50	C2九　十11		2010-1-3	11	川崎	3			8	130	1	8	130	1	4	250	5	2.0	260	6.0				4-8	640	3	4-8	350	3	2-8	560	8	2-4	990	14				8=>4	820	3	2-4-8	2560	11	8=>4=>2	6840	23	41372856	41738256.0	47813526	47832165	13.0 - 12.1 - 13.8 - 12.3 - 12.6 - 13.1 - 13.0	13.0 - 25.1 - 38.9 - 51.2 - 63.8 - 76.9 - 89.9 (38.9-38.7)
201045010307	ダ	左	1400	晴	良	14:20	C2九　十11		2010-1-3	11	川崎	3			8	200	1	8	100	1	9	120	2	4.0	120	3.0	8-8	540.0	3.0	8-9	500	2	8-9	220	2	4-8	190	1	4-9	280	4	8=>8	550.0	2.0	8=>9	810	2	4-8-9	670	1	8=>9=>4	2490	3	58361479	58361479.0	(5,8),3,6,1,4,9,7	58391467	12.9 - 12.0 - 13.3 - 11.9 - 13.0 - 13.6 - 13.3	12.9 - 24.9 - 38.2 - 50.1 - 63.1 - 76.7 - 90.0 (38.2-39.9)
201045010308	ダ	左	1600	晴	良	14:55	C2九　十11		2010-1-3	11	川崎	3			11	150	1	11	110	1	1	160	3	6.0	300	6.0	1-8	550.0	3.0	1-11	730	3	1-11	310	2	6-11	740	9	1-6	1,170	17	8=>1	690.0	2.0	11=>1	760	2	1-6-11	4010	12	11=>1=>6	9990	28	765121111042389	761251101124839.0	6,7,12,1,11,5,(2,4),10,9,8,3	611121752491083	12.6 - 11.5 - 12.6 - 13.6 - 12.3 - 13.2 - 14.0 - 13.5	12.6 - 24.1 - 36.7 - 50.3 - 62.6 - 75.8 - 89.8 - 103.3 (36.7-40.7)
201045010309	ダ	左	1500	晴	良	15:30	C1四		2010-1-3	11	川崎	3			3	430	3	3	150	2	13	170	4	4.0	160	3.0	3-8	480.0	1.0	3-13	1100	3	3-13	390	2	3-4	390	3	4-13	400	4	3=>8	940.0	1.0	3=>13	2140	10	3-4-13	1650	3	3=>13=>4	8940	21	1011133491281417256	1.0111334812917142e+18	(13,8),11,4,1,3,7,12,9,2,6,5,10,14	1383111945127261410	6.2 - 11.0 - 12.3 - 14.2 - 12.2 - 12.8 - 13.2 - 13.1	6.2 - 17.2 - 29.5 - 43.7 - 55.9 - 68.7 - 81.9 - 95.0 (29.5-39.1)
