	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
201036010201	ダ	右	1600	小雪	不良	10:30	B2八組		2010-1-2	13	水沢	1			2	330	3	2	260	3	1	190	2	1-2	480	3	1-2	130	3	2-5	110	2	1-5	110	1	2=>1	1040	6	1-2-5	180	1	2=>1=>5	1470	6	1532764	1532764	1,5,(2,7),3,6,4	1527364								
201036010202	ダ	右	1300	小雪	不良	11:05	C2十四組		2010-1-2	13	水沢	1			8	410	3	8	120	3	1	100	1	1-8	440	2	1-8	150	1	7-8	220	4	1-7	170	2	8=>1	1180	6	1-7-8	440	1	8=>1=>7	3260	11	28317465	28137645	28317645	2,8,(7,3),1,6,4,5			7.0	100.0	2.0			
201036010203	ダ	右	1300	曇	不良	11:40	C2十三組		2010-1-2	13	水沢	1			8	210	2	8	110	3	7	100	1	7-8	400	2	7-8	140	1	2-8	140	2	2-7	230	4	8=>7	600	2	2-7-8	300	1	8=>7=>2	1240	3	8,7,(2,3),6,4,1,5	87213465	87214365	87214356			2.0	100.0	2.0			
201036010204	ダ	右	1300	小雪	不良	12:15	C2十二組		2010-1-2	13	水沢	1			6	150	1	6	100	1	1	100	2	1-6	130	1	1-6	100	1	3-6	170	3	1-3	160	2	6=>1	180	1	1-3-6	190	1	6=>1=>3	390	1	61253784	61253748	61253487	61523847			3.0	110.0	3.0			
201036010206	ダ	右	1300	小雪	不良	13:25	北東北3県の中心レー		2010-1-2	13	水沢	1			8	270	2	8	140	3	7	130	1	7-8	130	1	7-8	120	1	4-8	480	7	4-7	370	6	8=>7	400	2	4-7-8	690	3	8=>7=>4	2210	7	78215634	7,8,(2,1),3,5,6,4	78215346	(7,8)-1,2,3,5,4,6			4.0	320.0	5.0			
201036010207	ダ	右	1600	小雪	不良	14:00	農と輝の大地八幡平市		2010-1-2	13	水沢	1			8	190	1	8	110	2	3	100	1	3-8	210	1	3-8	150	1	1-8	420	5	1-3	410	4	8=>3	350	1	1-3-8	750	2	8=>3=>1	1880	4	83152764	8,(3,1),5,2,6,7,4	8,3,5,1,2,(6,7),4	8,3,1,2,(5,7),6,4			1.0	200.0	5.0			
201036010208	ダ	右	1600	小雪	不良	14:35	サンタハウスGETO		2010-1-2	13	水沢	1			4	460	2	4	120	2	9	100	1	4-9	310	1	4-9	210	2	4-8	1,730	17	8-9	750	10	4=>9	800	3	4-8-9	2740	10	4=>9=>8	10740	36	1,(2,9),7,4,5,6,8,3	129746538	194275863	941782563			8.0	410.0	7.0	4-8	350.0	2.0
201036010209	ダ	右	1600	小雪	不良	15:15	金杯	G	2010-1-2	13	水沢	1			1	370	2	1	110	2	5	100	1	1-5	130	1	1-5	100	1	1-4	800	10	4-5	560	7	1=>5	530	2	1-4-5	1030	3	1=>5=>4	4300	12	459162387	459163287	(4,5),1,(3,6),9,2,8,7	514362987			4.0	230.0	6.0	1-5	150.0	1.0
201036010301	ダ	右	1300	雪	不良	10:30	C2九組		2010-1-3	13	水沢	2			8	140	1	8	150	2	2	280	4	2-8	940	4	2-8	430	4	6-8	380	3	2-6	630	5	8=>2	1240	7	2-6-8	660	3	8=>2=>6	3640	13	6782534	6728534	6,8,7,2-5,3,4	6827534								
201036010302	ダ	右	1300	小雪	不良	11:05	C2八組		2010-1-3	13	水沢	2			5	180	1	5	120	2	6	100	1	5-6	290	2	5-6	210	3	2-5	2,340	14	2-6	5,050	19	5=>6	460	2	2-5-6	5300	11	5=>6=>2	9230	24	68357241	6,8,5,(2,3),7,(1,4)	6587214	5628741			2.0	620.0	7.0			
201036010303	ダ	右	1300	曇	不良	11:40	C2七組		2010-1-3	13	水沢	2			7	170	1	7	110	3	3	100	1	3-7	160	1	3-7	130	1	1-7	160	3	1-3	160	2	7=>3	340	2	1-3-7	280	1	7=>3=>1	850	1	73861425	73816425	73816425	73184625			1.0	100.0	2.0			
201036010304	ダ	右	1400	小雪	不良	12:15	3歳B1		2010-1-3	13	水沢	2			8	330	2	8	150	2	1	270	5	1-8	1060	6	1-8	400	5	7-8	590	8	1-7	1,030	12	8=>1	2110	9	1-7-8	3660	13	8=>1=>7	12990	40	7,(4,5),2,3,1,8,6	74526318	75164832	7,1,8,(6,5),3,4,2			7.0	220.0	4.0			
201036010305	ダ	右	1600	小雪	不良	12:50	B2四組		2010-1-3	13	水沢	2			2	110	1	2	100	1	6	120	2	2-6	300	1	2-6	160	1	2-4	250	4	4-6	910	13	2=>6	340	1	2-4-6	820	3	2=>6=>4	1800	4	24536781	24536781	2,4,(3,6),8,7,5,1	24631875			4.0	330.0	6.0			
201036010306	ダ	右	1600	小雪	不良	13:25	B2三組		2010-1-3	13	水沢	2			8	240	1	8	110	2	9	110	1	8-9	480	2	8-9	220	2	5-8	180	1	5-9	270	3	8=>9	840	2	5-8-9	510	1	8=>9=>5	2190	2	135496827	134596827	1,4,3,5,9,6,8-2,7	8,1,4,9,5,6,3-2,7			5.0	110.0	3.0	8-8	430.0	2.0
201036010401	ダ	右	1400	曇	不良	10:30	C2六組		2010-1-4	13	水沢	3			3	100	1	3	140	3	4	140	2	3-4	100	1	3-4	100	1	3-6	100	3	4-6	100	2	3=>4	170	1	3-4-6	120	1	3=>4=>6	170	1	34126	34162	34612	3,4,6-1,2								
201036010402	ダ	右	1400	小雪	不良	11:05	C2五組		2010-1-4	13	水沢	3			6	710	3	6	250	3	1	540	4	1-6	2950	7	1-6	690	7	2-6	690	7	1-2	1,220	11	6=>1	7090	11	1-2-6	8370	13	6=>1=>2	83280	68	6,4,(3,5),1,2	6,4,(1,3),5,2	643152	6,(1,4),(2,3),5								
