	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気
201030061705	ダ	右	1700	曇	稍重	16:50	JRA認定フレッシュ		2010-6-17	4	門別	4	(馬齢)		8.0	1170.0	6.0	8.0	240	4.0	4.0	130	1.0	4-8	860.0	4.0	8=>4	1890.0	8.0	4-6-8	2670.0	8.0	8=>4=>6	13480.0	43.0	6,4,(1,8),7,(3,5,10),9,2	6,4,8,1,(3,5),7,10,2,9	64810153297	6,4,8,1,10,3,5,(2,9)-7			6.0	270	6.0	4-7	200.0	1.0									
201030061706	ダ	右	1000	曇	稍重	17:20	JRA認定フレッシュ		2010-6-17	4	門別	4	(馬齢)		4.0	920.0	6.0	4.0	200	3.0	12.0	120	1.0	4-12	1730.0	7.0	4=>12	2330.0	7.0	4-11-12	5070.0	21.0	4=>12=>11	43550.0	148.0			4,11,8,2,(12,10),3,9,7,6,5	4,11,(2,8),10,(3,12),9,7,6,5			11.0	210	5.0	4-8	1190.0	5.0									
201030061707	ダ	右	1700	曇	稍重	17:55	ひだか応援隊hーke		2010-6-17	4	門別	4	80万円以下	(馬齢)	8.0	150.0	1.0	8.0	200	2.0	3.0	290	4.0	3-8	450.0	1.0	8=>3	540.0	1.0	3-4-8	800.0	2.0	8=>3=>4	1640.0	2.0	4,1,10,5,3,(8,9),11,7,6	4,1,10,5,3,(8,9)-11,7,6	4,(1,10),5,(3,8),9,11,(7,6)	4,1,5,10,8,3,(11,6),7,9			4.0	280	3.0	3-7	450.0	1.0									
201030061708	ダ	右	1800	曇	稍重	18:25	JA門別馬舞米特別 		2010-6-17	4	門別	4	300万円以下	(馬齢)	8.0	1460.0	5.0	8.0	600	9.0	5.0	220	3.0	5-8	8910.0	22.0	8=>5	16210.0	37.0	5-6-8	52120.0	91.0	8=>5=>6	342750.0	467.0	2,6,8,1,9,5,12,7,10,(3,4),11	2,6,(1,8),9,(5,12),7,(10,4),3,11	2,6,8,(1,5),12,(10,9),4,(7,3),11	8,(2,6),5,1,(10,9),(12,4),7,3,11			6.0	390	5.0	5-6	2910.0	11.0									
201030061709	ダ	右	1800	曇	稍重	18:55	スピカ特別 		2010-6-17	4	門別	4	150万円以下	(馬齢)	8.0	450.0	3.0	8.0	150	2.0	5.0	170	3.0	5-8	980.0	5.0	8=>5	2880.0	11.0	5-8-9	1460.0	4.0	8=>5=>9	9360.0	20.0	3,10,1,2,(6,8),4,5,11,9,7	3102186451197	3,10,(2,1),8,(6,5,9),7,4,11	3,(10,8),2,1,5,6,(9,7),4,11			9.0	180	4.0	5-7	610.0	2.0									
201030061710	ダ	右	1800	曇	稍重	19:25	胆振軽種馬農業協同組 		2010-6-17	4	門別	4	400万円以下	(ハンデ)	4.0	160.0	1.0	4.0	100	1.0	2.0	100	2.0	2-4	240.0	1.0	4=>2	320.0	1.0	2-4-7	910.0	3.0	4=>2=>7	2440.0	7.0	7,8,9,4,(3,6),10,5,2	7,8,9,(4,3),6,5,10,2	7,8,9,4,(3,6),5,2,10	7,8,4,9,3,(5,6,2),10			7.0	200	4.0	2-4	220.0	1.0									
201030061711	ダ	右	1200	曇	稍重	20:00	北海道スプリントカッ	G3	2010-6-17	4	門別	4	(別定)		2.0	180.0	1.0	2.0	100	1.0	4.0	130	2.0	2-4	360.0	2.0	2=>4	570.0	3.0	2-3-4	450.0	2.0	2=>4=>3	2000.0	8.0			(3,9),10,2,(4,7,11),12,6,14,13,1,8	3,9,10,2,4,7,12,(6,11),1,(13,14),8			3.0	130	3.0	2-3	170.0	1.0									
201030061712	ダ	右	2000	曇	稍重	20:35	ディープインパクト・ 		2010-6-17	4	門別	4	(別定)		5.0	990.0	4.0	5.0	150	3.0	6.0	1,110	9.0	5-6	16800.0	24.0	5=>6	19820.0	34.0	3-5-6	11940.0	27.0	5=>6=>3	113960.0	173.0	139586710114	139856710114	1,3,9,8,(6,5),4,10,7,11	1,3,6,8,5,9,4,(10,7,11)			3.0	110	1.0	5-6	4280.0	13.0									
201030062301	ダ	右	1000	曇	重	16:20	2歳　未勝利		2010-6-23	5	門別	1	(馬齢)		6.0	330.0	2.0	6.0	230	4.0	2.0	120	1.0	2-6	1370.0	5.0	6=>2	2950.0	11.0	2-4-6	2890.0	11.0	6=>2=>4	14150.0	44.0			62348571.0	62438517.0			4.0	350	5.0												
201030062302	ダ	右	1200	曇	重	16:50	C3　ー6組		2010-6-23	5	門別	1	80万円以下	(馬齢)	7.0	860.0	4.0	7.0	210	3.0	8.0	230	4.0	7-8	4820.0	14.0	7=>8	14160.0	27.0	4-7-8	44890.0	51.0	7=>8=>4	160290.0	208.0			9,8,7,(2,5),(6,4,1),3	9,8,7,5,2,1,(6,4)-3			4.0	890	6.0	7-8	1960.0	5.0									
201030062303	ダ	右	1200	雨	重	17:20	アポイ岳賞		2010-6-23	5	門別	1	80万円以下	(馬齢)	1.0	1050.0	4.0	1.0	300	7.0	3.0	240	5.0	1-3	9020.0	21.0	1=>3	14990.0	39.0	1-3-8	19140.0	36.0	1=>3=>8	133260.0	211.0			8,(3,5),(2,6),7,1,4	8,3,5,2,6,(1,7),4			8.0	210	3.0												
201030062304	ダ	右	1700	雨	重	17:55	ひだか応援隊hーke 		2010-6-23	5	門別	1	80万円以下	(馬齢)	1.0	210.0	1.0	1.0	130	1.0	6.0	220	5.0	1-6	1100.0	2.0	1=>6	1750.0	4.0	1-6-9	2330.0	6.0	1=>6=>9	9050.0	22.0	3615210481197	3,6,1,(2,5),10,4,11,8,9-7	3,6,1,10,2,5,11,4,9,8-7	3,6,1,10,5,2,11,4,9,(8,7)			9.0	180	4.0	1-6	590.0	2.0									
201030062305	ダ	右	1000	雨	不良	18:25	C3　ー6組		2010-6-23	5	門別	1	80万円以下	(馬齢)	12.0	1060.0	4.0	12.0	340	4.0	4.0	180	3.0	4-12	770.0	2.0	12=>4	2760.0	9.0	4-5-12	560.0	1.0	12=>4=>5	5500.0	10.0			5,12,4,8,(3,9),7,1,10,11,2,6	5,12,4,(8,9),3,(1,7),10,(2,6),11			5.0	150	2.0	4-8	570.0	2.0									
201030062306	ダ	右	1700	雨	不良	18:55	C3　ー4組		2010-6-23	5	門別	1	80万円以下	(馬齢)	9.0	410.0	2.0	9.0	160	2.0	4.0	450	6.0	4-9	4130.0	15.0	9=>4	11070.0	37.0	4-9-11	32500.0	75.0	9=>4=>11	111970.0	317.0	11,2,10,3,9,6,(4,8),7,5,12,1	112310964857121	11,2,9,(3,10),4,6,5,8,(7,12),1	11,2,9,3,4,10,6,5,(7,8),12,1			11.0	720	8.0	4-7	1000.0	6.0									
201030062307	ダ	右	1000	雨	不良	19:25	JRA認定ルーキーチ		2010-6-23	5	門別	1	(馬齢)		9.0	970.0	5.0	9.0	290	5.0	2.0	190	2.0	2-9	980.0	5.0	9=>2	2830.0	14.0	2-7-9	4900.0	16.0	9=>2=>7	33990.0	106.0			237869451.0	237869451.0			7.0	630	7.0	2-8	490.0	2.0									
201030062308	ダ	右	1200	曇	不良	19:55	JAひだか東いちご特 		2010-6-23	5	門別	1	200万円以下	(馬齢)	12.0	500.0	2.0	12.0	170	2.0	11.0	120	1.0	11-12	390.0	1.0	12=>11	870.0	2.0	1-11-12	5060.0	14.0	12=>11=>1	21890.0	65.0			1,12,11,10,3,6,7,(2,5,8),9,4	1,12,11,(3,10,6,7),2,(5,8),9,4			1.0	740	10.0	8-8	390.0	2.0									
201030062309	ダ	右	1800	雨	不良	20:30	タイムパラドックス賞 		2010-6-23	5	門別	1	200万円以下	(馬齢)	5.0	230.0	1.0	5.0	120	1.0	1.0	120	2.0	1-5	370.0	1.0	5=>1	650.0	1.0	1-2-5	550.0	2.0	5=>1=>2	1570.0	1.0	1,5,6,(3,8),7,2,4,9	1,5,(3,6),8,7,2,4,9	1,5,6,(3,8),7,2,(4,9)	1,5,7,3,(2,6),8,(4,9)			2.0	150	3.0	1-5	370.0	1.0									
201030062401	ダ	右	1000	雨	不良	15:20	C3　ー5組		2010-6-24	5	門別	2	80万円以下	(馬齢)	3.0	820.0	3.0	3.0	140	4.0	5.0	100	1.0	3-5	610.0	2.0	3=>5	2110.0	9.0	1-3-5	370.0	1.0	3=>5=>1	4770.0	15.0			51837624.0	51386742.0			1.0	120	2.0												
201030062402	ダ	右	1200	雨	不良	15:50	C3　ー5組		2010-6-24	5	門別	2	80万円以下	(馬齢)	2.0	170.0	1.0	2.0	110	1.0	9.0	140	3.0	2-9	280.0	1.0	2=>9	470.0	1.0	2-9-11	540.0	2.0	2=>9=>11	1630.0	2.0			2,7,9,11,10,4,6,5,1,(3,8)	2,7,9,11,(4,10),6,1,5,8,3			11.0	150	4.0	2-7	330.0	1.0									
201030062403	ダ	右	1200	雨	不良	16:20	C3　ー2組		2010-6-24	5	門別	2	80万円以下	(馬齢)	6.0	520.0	2.0	6.0	100	1.0	5.0	170	4.0	5-6	860.0	5.0	6=>5	1740.0	11.0	2-5-6	860.0	4.0	6=>5=>2	4960.0	20.0			7,9,10,2,6,3,(4,5),1,8	(7,9,10),(2,6),3,5,4,1,8			2.0	100	2.0	5-6	1140.0	8.0									
201030062404	ダ	右	1000	雨	不良	16:50	JRA認定フレッシュ		2010-6-24	5	門別	2	(馬齢)		6.0	640.0	5.0	6.0	180	5.0	10.0	130	2.0	6-10	2820.0	11.0	6=>10	6370.0	19.0	5-6-10	2520.0	9.0	6=>10=>5	34820.0	99.0			(6,4),5,10,7,1,3,(8,9)	6,(4,5),10-7,1,(3,9),8			5.0	150	3.0	6-8	1850.0	8.0									
201030062405	ダ	右	1700	曇	不良	17:20	びらとり黒豚賞		2010-6-24	5	門別	2	80万円以下	(馬齢)	2.0	160.0	1.0	2.0	110	1.0	4.0	280	3.0	2-4	760.0	3.0	2=>4	1060.0	4.0	2-4-7	400.0	2.0	2=>4=>7	2210.0	6.0	4571263	4,5,7,1,2,(3,6)	4,5,(1,7),2,3,6	4572316																	
201030062406	ダ	右	1200	曇	不良	17:55	びらとり和牛賞		2010-6-24	5	門別	2	80万円以下	(馬齢)	4.0	740.0	4.0	4.0	270	4.0	8.0	1,430	11.0	4-8	11550.0	39.0	4=>8	9660.0	48.0	1-4-8	85220.0	162.0	4=>8=>1	249750.0	591.0			(4,8),11,(1,9),3,6,(7,12),10,2,5	(4,8),1,11,3,9,(7,12),10,6,2,5			1.0	680	9.0	4-6	7580.0	25.0									
201030062407	ダ	右	1700	曇	不良	18:25	ひだか応援隊hーke		2010-6-24	5	門別	2	(馬齢)		9.0	910.0	2.0	9.0	130	2.0	10.0	110	1.0	9-10	470.0	1.0	9=>10	1390.0	4.0	9-10-12	1690.0	5.0	9=>10=>12	11690.0	40.0	1,(3,8,10),12,5,(4,6),11,9,7	1,3,8,10,(4,5),6,12-11,9,7	1,(3,10),(4,8,12),(5,6),9,11,7	(1,10),9,12,4,3,(8,6),5,11,7			12.0	250	5.0	7-7	440.0	2.0									
201030062408	ダ	右	1000	曇	不良	18:55	JRA認定フレッシュ		2010-6-24	5	門別	2	(馬齢)		2.0	590.0	4.0	2.0	180	3.0	1.0	240	6.0	1-2	2710.0	11.0	2=>1	4610.0	19.0	1-2-7	2050.0	9.0	2=>1=>7	20610.0	71.0			2,1,7,(3,4),(6,10),8,9	2,1,7,(3,4),6,10,8,9			7.0	140	2.0	1-2	3530.0	12.0									
201030062409	ダ	右	1200	晴	不良	19:25	ガーネットスター特別 		2010-6-24	5	門別	2	130万円以下	(馬齢)	4.0	2460.0	6.0	4.0	190	4.0	12.0	140	2.0	4-12	2320.0	8.0	4=>12	7170.0	22.0	4-5-12	3740.0	12.0	4=>12=>5	37310.0	107.0			8,(11,12),5,4,2,9,(1,10),6,7,3	(11,12),8,(5,4),1,2,9,(6,10),7,3			5.0	150	3.0	4-8	1020.0	4.0									
201030062410	ダ	右	1700	晴	不良	19:55	JA平取町「ニシパの 		2010-6-24	5	門別	2	130万円以下	(馬齢)	6.0	240.0	1.0	6.0	120	1.0	2.0	210	5.0	2-6	1150.0	5.0	6=>2	1610.0	5.0	2-4-6	1600.0	5.0	6=>2=>4	6120.0	20.0	1,7,4,10,(6,9),3,2,8,5	1,7,4,10,2,(3,6),9,8,5	(4,1),7,(2,10,6),3,8,9,5	4,1,7,(2,6),3,10,8,9,5			4.0	160	3.0	2-6	1150.0	5.0									
201030062411	ダ	右	1200	晴	不良	20:30	フロイラインカップ〔	G	2010-6-24	5	門別	2	牝(馬齢)		2.0	170.0	1.0	2.0	100	1.0	8.0	120	3.0	2-8	240.0	1.0	2=>8	440.0	2.0	2-3-8	260.0	1.0	2=>8=>3	650.0	1.0			(2,5),7,9,(1,3),4,8,6	2,(5,7),(1,9,3),(6,8),4			3.0	100	2.0	2-8	230.0	1.0									
201030062901	ダ	右	1200	晴	良	15:50	2歳　未勝利		2010-6-29	5	門別	3	(馬齢)		5.0	860.0	5.0	5.0	150	1.0	4.0	190	4.0	4-5	1630.0	8.0	5=>4	3610.0	13.0	2-4-5	4430.0	17.0	5=>4=>2	25010.0	101.0			2,5,1,7,4,6,3,9,(8,10)	25147639108			2.0	270	5.0	4-5	2020.0	9.0									
201030062902	ダ	右	1000	晴	良	16:20	C3　ー4組		2010-6-29	5	門別	3	80万円以下	(馬齢)	11.0	280.0	2.0	11.0	140	2.0	1.0	220	4.0	1-11	780.0	3.0	11=>1	970.0	3.0	1-6-11	2300.0	9.0	11=>1=>6	8040.0	22.0			(1,4),11,(2,12),10,3,7,5,8,6,9	(1,4),11,(2,12),10,3,7,5,6,8,9			6.0	300	6.0	1-8	460.0	2.0									
201030062903	ダ	右	1200	晴	良	16:50	C3　ー4組		2010-6-29	5	門別	3	80万円以下	(馬齢)	3.0	250.0	1.0	3.0	190	3.0	6.0	180	2.0	3-6	910.0	6.0	3=>6	1920.0	12.0	3-6-8	980.0	4.0	3=>6=>8	6780.0	24.0			4,8,1,3,6,5,(2,7),9	483615279			8.0	230	4.0	3-6	890.0	6.0									
201030062904	ダ	右	1200	晴	良	17:20	JRA認定ルーキーチ		2010-6-29	5	門別	3	(馬齢)		5.0	250.0	1.0	5.0	110	1.0	7.0	160	4.0	5-7	1090.0	4.0	5=>7	1420.0	6.0	5-7-8	1150.0	3.0	5=>7=>8	6730.0	16.0			7,10,(6,8),(11,12),5,9,(1,2),4,3	7,(10,8),(6,5),12,11,(2,9),(1,4),3			8.0	120	2.0	5-6	290.0	1.0									
201030062905	ダ	右	1700	晴	良	17:55	ひだか応援隊hーke		2010-6-29	5	門別	3	80万円以下	(馬齢)	1.0	130.0	1.0	1.0	100	1.0	4.0	100	2.0	1-4	270.0	1.0	1=>4	310.0	1.0	1-3-4	490.0	2.0	1=>4=>3	1270.0	2.0	(1,6),7,(3,4),5,(2,8)	16734528	1,(6,7),4,3,5,2,8	16734528			3.0	190	5.0												
201030062906	ダ	右	1000	晴	良	18:25	JRA認定フレッシュ		2010-6-29	5	門別	3	(馬齢)		6.0	300.0	2.0	6.0	150	2.0	10.0	140	1.0	6-10	560.0	2.0	6=>10	1000.0	3.0	3-6-10	6470.0	21.0	6=>10=>3	14010.0	43.0			1045687139	10-4,6,5,8,7,1,3-9			3.0	430	8.0	6-8	440.0	2.0									
201030062907	ダ	右	1200	晴	良	18:55	ウィナーズチャレンジ 		2010-6-29	5	門別	3	(馬齢)		3.0	320.0	3.0	3.0	130	1.0	4.0	220	4.0	3-4	350.0	1.0	3=>4	500.0	1.0	3-4-6	1930.0	8.0	3=>4=>6	4380.0	17.0			534126	5,(3,4),1,6,2																	
201030062908	ダ	右	1200	晴	良	19:25	アケルナル特別 		2010-6-29	5	門別	3	200万円以下	(馬齢)	1.0	2600.0	6.0	1.0	240	4.0	6.0	360	6.0	1-6	7960.0	25.0	1=>6	11210.0	32.0	1-6-10	4710.0	17.0	1=>6=>10	49730.0	134.0			4,9,12,5,11,(1,10),6,7,3,8	(4,12),9,(11,10,6),5,1,3,7,8			10.0	140	2.0	1-5	3640.0	11.0									
201030062909	ダ	右	1800	晴	良	19:55	カノープス特別 		2010-6-29	5	門別	3	200万円以下	(馬齢)	9.0	500.0	2.0	9.0	170	2.0	5.0	250	3.0	5-9	1580.0	6.0	9=>5	3380.0	10.0	5-9-12	13660.0	35.0	9=>5=>12	59840.0	135.0	12,5,10,9,11,6,7,(2,8),3,4-1	12,5,10,9,11,6,7,2,8,(3,4)-1	(12,5),10,9,11,6,2,8,7,4,3,1	12,5,10,9,11,(2,6),8,(3,7),1,4			12.0	1,320	10.0	5-7	1240.0	4.0									
201030063001	ダ	右	1200	曇	良	15:45	2歳　未勝利		2010-6-30	5	門別	4	(馬齢)		3.0	170.0	1.0	3.0	140	1.0	1.0	460	5.0	1-3	770.0	3.0	3=>1	1070.0	4.0	1-3-6	2040.0	11.0	3=>1=>6	9270.0	34.0			3467215	3,4,(6,7),2,1,5																	
201030063002	ダ	右	1200	曇	良	16:15	2歳　未勝利		2010-6-30	5	門別	4	(馬齢)		2.0	300.0	2.0	2.0	200	3.0	5.0	140	1.0	2-5	450.0	2.0	2=>5	1020.0	5.0	2-4-5	470.0	1.0	2=>5=>4	2740.0	4.0			4,(6,7),1,5,2,3	4671253																	
201030063003	ダ	右	1000	曇	良	16:45	2歳　牝馬		2010-6-30	5	門別	4	牝(馬齢)		3.0	100.0	1.0	3.0	120	1.0	4.0	120	2.0	3-4	220.0	1.0	3=>4	320.0	1.0	3-4-8	290.0	1.0	3=>4=>8	680.0	1.0			3,4,(6,7),8,1,2	(3,4),(6,7),8,1,2																	
201030063004	ダ	右	1000	曇	良	17:15	JRA認定フレッシュ		2010-6-30	5	門別	4	牝(馬齢)		3.0	130.0	1.0	3.0	120	1.0	4.0	180	3.0	3-4	580.0	3.0	3=>4	1000.0	4.0	3-4-9	4630.0	14.0	3=>4=>9	13510.0	36.0			263984571	2,6,3,9,4,8,(5,7),1			9.0	480	6.0	3-4	1270.0	5.0									
201030063005	ダ	右	1700	曇	良	17:50	ひだか応援隊hーke		2010-6-30	5	門別	4	80万円以下	(馬齢)	8.0	370.0	3.0	8.0	140	3.0	10.0	120	1.0	8-10	700.0	3.0	8=>10	1390.0	7.0	2-8-10	790.0	3.0	8=>10=>2	4960.0	17.0	2,3,(7,12),8,4,11,6,(1,10),5	2,3,7,12,8,4,6,11,(1,10),5	2,(3,7),8,12,10,(6,11),4,1,5	2,(3,7),8,10,12,(6,11),1,5,4			2.0	130	2.0	6-7	480.0	1.0									
201030063006	ダ	右	1000	曇	良	18:20	C3　ー2組		2010-6-30	5	門別	4	80万円以下	(馬齢)	4.0	1770.0	4.0	4.0	280	4.0	5.0	100	1.0	4-5	1850.0	4.0	4=>5	6050.0	12.0	2-4-5	840.0	2.0	4=>5=>2	20230.0	41.0			4,3,(1,5),2,6,7	4,3,(1,5),2,(7,6)																	
201030063007	ダ	右	1000	曇	良	18:50	応援ビヤパーティーA		2010-6-30	5	門別	4	80万円以下	(馬齢)	4.0	110.0	1.0	4.0	100	1.0	5.0	190	5.0	4-5	1310.0	4.0	4=>5	1140.0	4.0	1-4-5	1170.0	4.0	4=>5=>1	4760.0	14.0			45132768	4,5-1,3,2,7,6-8			1.0	140	3.0												
201030063008	ダ	右	1200	曇	良	19:20	雪印ストリングチーズ 		2010-6-30	5	門別	4	300万円以下	(馬齢)	3.0	1170.0	4.0	3.0	230	7.0	7.0	110	1.0	3-7	1550.0	6.0	3=>7	4770.0	16.0	1-3-7	1450.0	4.0	3=>7=>1	13070.0	40.0			(1,3),7,2,5,4,9,6,11,8	(1,3),7,2,5,4,9,6,11,8			1.0	130	2.0	3-6	840.0	3.0									
201030063009	ダ	右	1800	曇	良	19:55	ケンタウルス特別 		2010-6-30	5	門別	4	800万円以下	(別定)	8.0	1310.0	5.0	8.0	220	5.0	1.0	150	3.0	1-8	1810.0	7.0	8=>1	6430.0	23.0	1-5-8	1160.0	4.0	8=>1=>5	15820.0	56.0	12486375	18246375	(1,2),8,6,4,5,3,7	1,(2,8),5,6,4,(3,7)			5.0	120	1.0												
201030070101	ダ	右	1000	曇	重	15:50	C3　ー6組		2010-7-1	5	門別	5	80万円以下	(馬齢)	5.0	160.0	1.0	5.0	110	1.0	7.0	180	3.0	5-7	350.0	2.0	5=>7	560.0	2.0	3-5-7	210.0	1.0	5=>7=>3	960.0	2.0			5726314.0	5726314.0																	
201030070102	ダ	右	1000	曇	重	16:20	C3　ー6組		2010-7-1	5	門別	5	80万円以下	(馬齢)	5.0	180.0	1.0	5.0	100	2.0	7.0	100	1.0	5-7	280.0	1.0	5=>7	380.0	1.0	5-6-7	980.0	4.0	5=>7=>6	2950.0	10.0			3,7,(1,5,8),6,2,4	(3,7,5),1,(6,8),(2,4)			6.0	150	4.0												
201030070103	ダ	右	1000	曇	重	16:50	2歳　未勝利		2010-7-1	5	門別	5	(馬齢)		2.0	1390.0	5.0	2.0	260	4.0	7.0	170	3.0	2-7	1820.0	7.0	2=>7	5160.0	16.0	1-2-7	1910.0	6.0	2=>7=>1	13230.0	39.0			291768543.0	291768543.0			1.0	170	2.0	2-7	2190.0	9.0									
201030070104	ダ	右	1200	曇	重	17:20	C3　ー5組		2010-7-1	5	門別	5	80万円以下	(馬齢)	5.0	850.0	3.0	5.0	230	2.0	6.0	370	4.0	5-6	3290.0	8.0	5=>6	7870.0	15.0	5-6-8	50830.0	35.0	5=>6=>8	179580.0	123.0			5,8,3,(2,1),6,4,7	5,8,1,3,(2,6),7,4			8.0	1,050	6.0												
201030070105	ダ	右	1000	曇	重	17:55	JRA認定ルーキーチ		2010-7-1	5	門別	5	(馬齢)		2.0	200.0	1.0	2.0	120	2.0	1.0	140	3.0	1-2	490.0	2.0	2=>1	980.0	3.0	1-2-8	500.0	1.0	2=>1=>8	2180.0	2.0			(1,2,7),10,8,(4,9,11),3,6,5	(1,2),7,8,10,9,4,11-3,6,5			8.0	100	1.0	1-2	930.0	5.0									
201030070106	ダ	右	1700	曇	重	18:25	ひだか応援隊hーke		2010-7-1	5	門別	5	80万円以下	(馬齢)	1.0	4220.0	6.0	1.0	400	5.0	6.0	120	1.0	1-6	1980.0	9.0	1=>6	9400.0	22.0	1-5-6	4140.0	15.0	1=>6=>5	61610.0	110.0	2736415	2,(7,3,6),4,1-5	6237145	6,2,4,3,(7,5),1																	
201030070107	ダ	右	1700	曇	重	18:55	ひだか応援隊hーke		2010-7-1	5	門別	5	80万円以下	(馬齢)	7.0	900.0	5.0	7.0	210	6.0	3.0	170	4.0	3-7	2200.0	10.0	7=>3	5640.0	23.0	3-6-7	1180.0	5.0	7=>3=>6	12570.0	51.0	2,3,(1,6,8),7,(4,5)	2,(3,8),1,6,7-(4,5)	2,(3,8),6,1,7-4,5	2,3,(8,6),1,7-4,5			6.0	110	1.0												
201030070108	ダ	右	1200	曇	重	19:25	アポイの奇跡ヒダカソ 		2010-7-1	5	門別	5	800万円以下	(別定)	5.0	480.0	3.0	5.0	150	3.0	4.0	230	5.0	4-5	2470.0	9.0	5=>4	4070.0	16.0	4-5-7	1320.0	6.0	5=>4=>7	15870.0	48.0			4,5,(1,8,11),9,3,10,(6,7)-2	4,5,1,8,9,(3,11),10,6,7=2			7.0	130	2.0	4-5	2050.0	10.0									
201030070109	ダ	右	1800	曇	重	19:55	様似町アポイ岳ジオパ 		2010-7-1	5	門別	5	800万円以下	(ハンデ)	1.0	190.0	1.0	1.0	130	1.0	2.0	840	9.0	1-2	6080.0	17.0	1=>2	7000.0	24.0	1-2-7	7720.0	22.0	1=>2=>7	39620.0	109.0	1,3,(8,9),6,5,7,(2,4)	1,3,(8,9),(6,5)=7,(2,4)	1,9,(5,3,6),8,7,4,2	1,6,(5,9),3,8,7,(2,4)			7.0	220	5.0	1-2	3340.0	12.0									
201030070110	ダ	右	1800	曇	重	20:30	ファルブラヴ賞 		2010-7-1	5	門別	5	(別定)		10.0	250.0	1.0	10.0	150	1.0	9.0	220	4.0	9-10	800.0	3.0	10=>9	1550.0	4.0	4-9-10	10400.0	31.0	10=>9=>4	33570.0	107.0	8,9,12,6,10,11,7,5,(1,2),4	8,9,6,12,7,10,11,2,5,(1,4)	89126101175214	(8,9),12,(6,10,11),7,(2,5),4,1			4.0	660	8.0	7-7	860.0	4.0									
201030070601	ダ	右	1000	曇	良	15:45	2歳　未勝利		2010-7-6	6	門別	1	(馬齢)		4.0	1770.0	4.0	4.0	600	4.0	7.0	120	1.0	4-7	800.0	4.0	4=>7	3370.0	12.0	4-5-7	8110.0	20.0	4=>7=>5	49710.0	95.0			4,(6,7),(1,5),3,2	4,7,6,5,1,3-2																	
201030070602	ダ	右	1000	曇	良	16:15	2歳　未勝利		2010-7-6	6	門別	1	(馬齢)		8.0	180.0	1.0	8.0	110	1.0	9.0	190	4.0	8-9	1180.0	5.0	8=>9	1110.0	5.0	4-8-9	1000.0	4.0	8=>9=>4	5270.0	14.0			8,2,9,(1,4,5),(3,7),10=6	8,2,(1,9),5,4,(3,7),10=6			4.0	120	2.0	7-8	770.0	3.0									
201030070603	ダ	右	1000	曇	良	16:45	C3　ー6組		2010-7-6	6	門別	1	80万円以下	(馬齢)	6.0	140.0	1.0	6.0	100	2.0	9.0	100	1.0	6-9	160.0	1.0	6=>9	250.0	1.0	1-6-9	690.0	2.0	6=>9=>1	1470.0	4.0			6,9,(1,10),2,3,7,4,8,5	69132104785			1.0	220	5.0	6-8	160.0	1.0									
201030070604	ダ	右	1200	曇	良	17:15	C3　ー6組		2010-7-6	6	門別	1	80万円以下	(馬齢)	2.0	5120.0	8.0	2.0	1,330	10.0	10.0	200	3.0	2-10	42700.0	43.0	2=>10	139780.0	81.0	2-5-10	46270.0	70.0	2=>10=>5	929540.0	591.0			10,4,2,(6,8,9),7,5,(1,3)	10,(2,4),9,(6,8),5,(1,7),3			5.0	330	6.0	2-8	3850.0	10.0									
201030070605	ダ	右	1700	曇	良	17:50	C3　ー3組		2010-7-6	6	門別	1	80万円以下	(馬齢)	9.0	1220.0	4.0	9.0	360	7.0	2.0	340	5.0	2-9	6730.0	19.0	9=>2	19470.0	34.0	1-2-9	9880.0	27.0	9=>2=>1	103330.0	183.0	10,2,1,7,8,(3,9),5,4,6	10,2,1,7,8,3,(5,9),4,6	10278195436	10,2,7,1,8,9,5,(3,4),6			1.0	250	3.0	2-8	3060.0	12.0									
201030070606	ダ	右	1700	曇	良	18:20	C2　ー3組		2010-7-6	6	門別	1	130万円以下	(馬齢)	8.0	1050.0	4.0	8.0	130	4.0	5.0	100	1.0	5-8	2190.0	6.0	8=>5	4380.0	12.0	3-5-8	390.0	2.0	8=>5=>3	8450.0	24.0	8,5,6,(3,7),4,1,2	8-5,6,3,7,4,(1,2)	85673241	8,5,6,7,3,(4,2),1			3.0	100	2.0												
201030070607	ダ	右	1200	曇	良	18:50	C2　ー3組		2010-7-6	6	門別	1	130万円以下	(馬齢)	9.0	480.0	4.0	9.0	140	2.0	11.0	120	1.0	9-11	540.0	1.0	9=>11	1300.0	4.0	1-9-11	2540.0	9.0	9=>11=>1	10050.0	29.0			9,11,8,1,(10,7),3,12,2,6,4,5	911181073621245			1.0	310	6.0	7-8	350.0	1.0									
