rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	8	10		コノチヲツナイデ	牝6	54.0		竹吉徹	1:30.8		2-2-2-1	38.0	1.2	1	451	10		山田義人		杉浦和也	27.0
2	3	3		スカーレットベスト	牝6	51.0		仲原大生	1:31.3	2.1/2	1-1-1-2	38.6	59.4	7	442	6		中野博		三岡陽	8.1
3	8	11		スギノジャベリン	牝4	54.0		長田進仁	1:32.0	4.0	6-7-3-3	38.9	8.8	3	433	-2		中野博		中丸清正	4.3
4	1	1		シシマル	牡5	56.0		田中純	1:32.5	2.1/2	4-3-4-4	39.1	6.6	2	467	1		古賀光範		片山建治	2.2
5	2	2		フク	牝5	54.0		小松丈二	1:32.6	クビ	7-5-7-5	38.7	133.3	10	383	-4		武藤敏明		欠畑圭一	1.6
6	7	8		ムーンレット	牝4	54.0		吉本隆記	1:32.7	3/4	5-6-6-6	39.1	20.2	4	482	1		頼本盛行		（同）ＪＰＮ技研	
7	5	5		アルチェーレ	牝4	54.0		村松翔太	1:32.8	1/2	8-8-8-8	38.6	34.5	6	423	5		松島壽		三岡有香	
8	6	7		シロボシ	牡4	56.0		岩永千明	1:33.2	2.0	3-4-5-7	39.8	116.6	9	456	0		武藤敏明		（同）ＪＰＮ技研	
9	6	6		グレイスベルン	牝6	54.0		山下裕貴	1:33.5	1.1/2	9-9-9-9	38.8	141.0	11	408	2		中野博		小橋亮太	
10	4	4		マビヨン	セ4	56.0		石川慎将	1:34.2	4.0	10-10-10-10	39.2	22.6	5	456	6		山田徹		（株）本城	
11	7	9		ナンタケットミスト	牝4	53.0		出水拓人	1:35.1	5.0	11-11-11-11	39.6	62.2	8	456	-1		中川竜馬		門脇竜一	
