rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	6	6		アベニンローズ	牝3	54.0		吉井友彦	1:29.0		2-2-1	38.4	1.1	1	476	4		森山英雄		（株）マステック	20.0
2	1	1		グランデエス	牝3	54.0		松本剛志	1:30.2	6.0	1-1-2	39.8	14.9	3	473	-1		加藤幸保		石川秀守	4.6
3	4	4		キャッチザクラウン	牡4	56.0		東川公則	1:30.9	3.0	5-5-5	39.7	49.6	7	469	2		後藤正義		小川勲	2.0
4	8	9		サンメドフォード	牝3	54.0		池田敏樹	1:30.9	ハナ	3-3-3	40.0	42.6	6	460	4		栗本陽一		花井栄治	1.4
5	3	3		ヴェルトラウン	牡3	56.0		山下雅之	1:31.3	2.0	6-3-4	40.2	6.1	2	437	0		山際孝幸		酒井孝敏	1.0
6	8	8		タグヤ	牡3	56.0		向山牧	1:31.3	クビ	8-8-8	39.0	15.4	4	411	-5		湯前良人		遠藤喜和	
7	5	5		リックソダネー	牝3	54.0		島崎和也	1:31.5	1.1/2	4-6-6	40.1	27.9	5	422	4		森山英雄		山辺浩	
8	7	7		ポートカナベラル	牝6	51.0		東川慎	1:32.4	4.0	7-7-7	40.3	247.0	8	423	3		藤田正治		（有）ホースケア	
9	2	2		バルディッシュ	牝3	54.0		大原浩司	1:34.0	8.0	9-9-9	41.3	347.4	9	414	-3		藤田正治		（有）ホースケア	
