日付	天気	R	頭数	枠番	馬番	オッズ	人気	着順	斤量	馬場	タイム	着差	通過	ペース	上り	place	race_id	race_name	movie	jockey_id	jockey_name	field	distance	weight	gain	bounty
2021/11/28	晴	7	15	3	5	29.2	6	12	53.0	良	1:56.3	3.1	2-2-2-3	37.3-37.5	40.4	阪神	202109050807	3歳以上1勝クラス	202109050807	01171	西村淳也	ダ	1800	482	0	0.0
2021/08/15	曇	10	10	8	10	13.4	5	10	52.0	良	1:51.3	2.3	4-5-5-5	37.0-35.6	37.4	札幌	202101020210	石狩特別(1勝クラス)	202101020210	01170	横山武史	芝	1800	482	12	0.0
2020/11/21	晴	9	14	7	12	13.8	5	14	54.0	良	1:58.4	4.6	5-7-6-6	37.8-37.6	41.6	阪神	202009050509	もちの木賞(1勝クラス)	202009050509	01088	川田将雅	ダ	1800	470	-4	0.0
2020/10/24	晴	4	16	4	8	1.7	1	1	54.0	不	1:53.3	0.0	2-3-3-2	37.5-37.1	36.8	京都	202008040504	2歳新馬	202008040504	01088	川田将雅	ダ	1800	474	0	700.0
