	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
202030041602	ダ	右	1000	晴	良	15:35	3歳条件未勝利		2020-4-16	1	門別	2	(馬齢)		6.0	940.0	4.0	6.0	440	5.0	7.0	140	1.0				6-7	1030.0	5.0	6-7	340	5.0	5-6	340	5.0	5-7	140	1.0	6=>7	3290.0	16.0	5-6-7	650.0	3.0	6=>7=>5	6490.0	26.0			(4,5),6,7,2,3,1	(4,5,6),7-(2,3),1					
202030041603	ダ	右	1200	晴	良	16:10	3歳以上C4ー6		2020-4-16	1	門別	2	(馬齢)		1.0	1020.0	3.0	1.0	240	4.0	7.0	240	5.0	2.0	120.0	1.0	1-7	22770.0	22.0	1-7	3,560	20.0	1-2	420	5.0	2-7	1,050	11.0	1=>7	21560.0	26.0	1-2-7	4420.0	11.0	1=>7=>2	126610.0	142.0			1,2,(6,3),5,4,7,8	1,2,(6,4),7,(5,3),8					
202030041604	ダ	右	1000	晴	良	16:40	3歳条件4ー2		2020-4-16	1	門別	2	(馬齢)		2.0	500.0	3.0	2.0	260	4.0	4.0	130	1.0				2-4	410.0	1.0	2-4	200	2.0	1-2	450	9.0	1-4	160	1.0	2=>4	1330.0	6.0	1-2-4	470.0	1.0	2=>4=>1	5020.0	17.0			2,3,4,(1,5,6,7)	2,4,3,7,(1,5,6)					
202030041605	ダ	右	1000	晴	良	17:15	3歳条件4ー2		2020-4-16	1	門別	2	(馬齢)		7.0	180.0	1.0	7.0	130	1.0	6.0	190	4.0				6-7	530.0	2.0	6-7	230	3.0	3-7	220	2.0	3-6	380	6.0	7=>6	1000.0	4.0	3-6-7	660.0	3.0	7=>6=>3	2840.0	7.0			7,(1,6),(3,4,5),2	7,6,5,(1,3),2,4					
202030041606	ダ	右	1000	晴	良	17:45	3歳以上C4ー5		2020-4-16	1	門別	2	(馬齢)		7.0	160.0	1.0	7.0	110	1.0	4.0	150	4.0	2.0	130.0	2.0	4-7	260.0	1.0	4-7	170	1.0	2-7	280	3.0	2-4	310	4.0	7=>4	580.0	2.0	2-4-7	400.0	1.0	7=>4=>2	1750.0	2.0			6,7,5,4,(3,8,9),2,1	7,(6,4),5,2,8,9,1,3			4-7	330.0	1.0
202030041607	ダ	右	1200	晴	良	18:20	鳥待ち月特別 		2020-4-16	1	門別	2	(別定)		5.0	1060.0	3.0	5.0	230	2.0	1.0	330	4.0				1-5	5150.0	10.0	1-5	710	8.0	4-5	720	9.0	1-4	570	5.0	5=>1	8530.0	14.0	1-4-5	4660.0	12.0	5=>1=>4	27120.0	57.0			2,7,6,3,(4,5)-1	2,6,(3,7),5,4,1					
202030041608	ダ	右	1700	晴	良	18:55	二輪草特別 		2020-4-16	1	門別	2	(別定)		4.0	210.0	1.0	4.0	150	1.0	3.0	200	3.0				3-4	750.0	4.0	3-4	190	1.0	1-4	200	2.0	1-3	250	4.0	4=>3	1170.0	4.0	1-3-4	510.0	1.0	4=>3=>1	2210.0	4.0	4,(2,6),1,5,7,3	4,6,2,(1,5),7,3	4621573	4,6,(1,7),2,3,5					
202030041609	ダ	右	1200	晴	良	19:30	リーディングジョッキ 		2020-4-16	1	門別	2	(馬齢)		3.0	520.0	3.0	3.0	180	2.0	7.0	220	4.0				3-7	2450.0	10.0	3-7	430	9.0	1-3	170	1.0	1-7	260	4.0	3=>7	3380.0	15.0	1-3-7	890.0	5.0	3=>7=>1	8910.0	41.0			7,8,(3,1),4,5	7,(8,3),1,4,5					
202030041610	ダ	右	1200	晴	良	20:05	リーディングジョッキ 		2020-4-16	1	門別	2	(馬齢)		7.0	180.0	1.0	7.0	130	1.0	6.0	270	4.0				6-7	680.0	3.0	6-7	210	3.0	5-7	180	2.0	5-6	340	6.0	7=>6	910.0	4.0	5-6-7	570.0	3.0	7=>6=>5	2590.0	9.0			2758461	(2,7),5,8,(4,6),1					
202030041611	ダ	右	1200	晴	良	20:40	水芭蕉特別 		2020-4-16	1	門別	2	(別定)		2.0	330.0	2.0	2.0	120	2.0	4.0	110	1.0	6.0	130.0	3.0	2-4	610.0	2.0	2-4	200	1.0	2-6	240	4.0	4-6	230	3.0	2=>4	1450.0	7.0	2-4-6	540.0	1.0	2=>4=>6	3990.0	13.0			5,4,(1,6),2,7-3,8	(5,4,6),2,1,7-3,8					
202030042201	ダ	右	1000	晴	良	15:45	3歳条件未勝利		2020-4-22	1	門別	3	(馬齢)		3.0	200.0	1.0	3.0	130	1.0	1.0	960	6.0				1-3	1690.0	6.0	1-3	430	7.0	3-4	160	1.0	1-4	430	6.0	3=>1	2930.0	10.0	1-3-4	980.0	3.0	3=>1=>4	7670.0	25.0			3,5,4,6,(2,7),1	3,(5,6,4),7,2,1					
202030042202	ダ	右	1000	晴	良	16:20	3歳条件未勝利		2020-4-22	1	門別	3	(馬齢)		2.0	350.0	3.0	2.0	150	2.0	4.0	110	1.0				2-4	620.0	4.0	2-4	190	3.0	2-6	190	4.0	4-6	160	1.0	2=>4	1110.0	6.0	2-4-6	430.0	3.0	2=>4=>6	2810.0	11.0			1465723.0	1465273.0					
202030042203	ダ	右	1000	晴	良	16:55	静内二十間道路桜並木		2020-4-22	1	門別	3	(馬齢)		7.0	170.0	1.0	7.0	140	1.0	4.0	140	2.0				4-7	380.0	2.0	4-7	160	1.0	5-7	170	2.0	4-5	220	3.0	7=>4	650.0	2.0	4-5-7	300.0	1.0	7=>4=>5	1300.0	2.0			7,5,(1,4),6,3,2	7,5,(1,4),6,3,2					
202030042204	ダ	右	1200	晴	良	17:25	優駿さくらロード賞		2020-4-22	1	門別	3	(馬齢)		6.0	3320.0	5.0	6.0	1,320	6.0	3.0	190	2.0				3-6	3100.0	10.0	3-6	530	8.0	2-6	740	11.0	2-3	260	3.0	6=>3	13230.0	22.0	2-3-6	3570.0	10.0	6=>3=>2	50540.0	85.0			2,3,(1,4,5),7,6	2,(1,3),(6,5,7),4					
202030042205	ダ	右	1200	晴	良	17:55	3歳以上C4ー4		2020-4-22	1	門別	3	(馬齢)		1.0	410.0	2.0	1.0	140	2.0	4.0	110	1.0				1-4	210.0	1.0	1-4	170	2.0	1-3	630	9.0	3-4	490	7.0	1=>4	660.0	3.0	1-3-4	710.0	3.0	1=>4=>3	3700.0	11.0			(1,4),6,2,3,5=7	(1,4),3,2,6,5,7					
202030042206	ダ	右	1000	晴	良	18:25	3歳以上C4ー3		2020-4-22	1	門別	3	(馬齢)		9.0	160.0	1.0	9.0	120	2.0	4.0	220	3.0	6.0	430.0	6.0	4-9	1750.0	4.0	4-9	460	5.0	6-9	660	8.0	4-6	2,280	16.0	9=>4	1940.0	5.0	4-6-9	5440.0	16.0	9=>4=>6	13510.0	37.0			(3,9),8,(4,7),1,6,2,5	9,3-8,(4,7),1,6,5,2			4-8	2250.0	5.0
