	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	枠単:的中	枠単:配当	枠単:人気
202043010701	ダ	左	1200	曇	良	14:00	2020年船橋ケイバ		2020-1-7	10	船橋	1			7.0	530.0	2.0	7.0	210	2.0	6.0	210	3.0	6-7	3030.0	6.0	6-7	500	6.0	5-7	770	9.0	5-6	790	10.0	7=>6	5120.0	12.0	5-6-7	6700.0	15.0	7=>6=>5	25040.0	62.0		7624531	7,6,4,2,(5,3)-1	7,6,4,5,2,3-1	12.5 - 11.7 - 11.8 - 12.7 - 13.4 - 13.7	12.5 - 24.2 - 36.0 - 48.7 - 62.1 - 75.8 (36.0-39.8)									
202043010702	ダ	左	1200	雨	良	14:30	C3十		2020-1-7	10	船橋	1			12.0	950.0	5.0	12.0	290	6.0	9.0	170	2.0	9-12	1630.0	8.0	9-12	630	10.0	1-12	2,260	30.0	1-9	1,410	17.0	12=>9	3630.0	18.0	1-9-12	8370.0	34.0	12=>9=>1	41100.0	166.0		651229118174310	6,(5,12),9,2,1,8,11,7,4,10,3	612592171011843	13.0 - 12.1 - 12.3 - 12.9 - 13.8 - 13.8	13.0 - 25.1 - 37.4 - 50.3 - 64.1 - 77.9 (37.4-40.5)	1.0	430.0	7.0	7-8	810.0	5.0	8=>7	2380.0	14.0
202043010703	ダ	左	1500	雨	良	15:00	C2二		2020-1-7	10	船橋	1			1.0	680.0	3.0	1.0	180	3.0	2.0	160	2.0	1-2	2710.0	8.0	1-2	570	6.0	1-5	930	15.0	2-5	510	5.0	1=>2	4240.0	12.0	1-2-5	5750.0	21.0	1=>2=>5	35240.0	99.0	101121291358674.0	101112291358674	10,12,2,11,1,(9,3),5,6,7,8,4	101221119356784	7.1 - 12.2 - 12.6 - 12.4 - 12.1 - 12.8 - 13.6 - 13.9	7.1 - 19.3 - 31.9 - 44.3 - 56.4 - 69.2 - 82.8 - 96.7 (31.9-40.3)	5.0	260.0	5.0	1-2	2700.0	10.0	1=>2	4780.0	12.0
202043010704	ダ	左	1500	雨	良	15:30	3歳二		2020-1-7	10	船橋	1	200万円以上340万円未満		5.0	3170.0	7.0	5.0	400	7.0	7.0	140	2.0	5-7	2370.0	10.0	5-7	790	14.0	5-8	790	13.0	7-8	260	2.0	5=>7	8730.0	28.0	5-7-8	2050.0	9.0	5=>7=>8	30280.0	104.0	785329641.0	785329461	7,8,5,(2,3),9,(4,6),1	785239461	6.9 - 13.2 - 13.4 - 13.0 - 12.9 - 12.8 - 12.7 - 13.7	6.9 - 20.1 - 33.5 - 46.5 - 59.4 - 72.2 - 84.9 - 98.6 (33.5-39.2)	8.0	140.0	1.0	5-7	2180.0	9.0	5=>7	8820.0	26.0
202043010705	ダ	左	1200	雨	良	16:00	C1五　六		2020-1-7	10	船橋	1			4.0	2290.0	6.0	4.0	210	5.0	6.0	120	2.0	4-6	1960.0	6.0	4-6	450	5.0	4-10	570	9.0	6-10	150	1.0	4=>6	7580.0	22.0	4-6-10	1500.0	4.0	4=>6=>10	19620.0	57.0		(2,3,6,8),4,1,7,10,9,5	2,3,6,8,1,4,7,10,9-5	23614710895	12.6 - 11.5 - 11.9 - 12.5 - 13.0 - 13.1	12.6 - 24.1 - 36.0 - 48.5 - 61.5 - 74.6 (36.0-38.6)	10.0	120.0	1.0	4-6	2040.0	8.0	4=>6	7580.0	20.0
202043010706	ダ	左	1200	雨	良	16:30	サンダースプリント 		2020-1-7	10	船橋	1			10.0	300.0	1.0	10.0	140	1.0	8.0	1,990	11.0	8-10	9500.0	40.0	8-10	3,610	44.0	6-10	1,390	25.0	6-8	11,240	62.0	10=>8	16740.0	75.0	6-8-10	46020.0	105.0	10=>8=>6	250640.0	601.0		61011528712934	6,10,11,2,5,8,3,12,(4,9),7	61011253812947	12.4 - 11.3 - 11.7 - 12.3 - 13.0 - 14.3	12.4 - 23.7 - 35.4 - 47.7 - 60.7 - 75.0 (35.4-39.6)	6.0	590.0	9.0	6-7	1230.0	5.0	7=>6	1910.0	7.0
202043010707	ダ	左	1600	雨	良	17:00	アジュディミツオー・ 		2020-1-7	10	船橋	1	340万円以上		4.0	1600.0	5.0	4.0	420	5.0	2.0	220	2.0	2-4	2300.0	10.0	2-4	610	10.0	3-4	570	9.0	2-3	350	6.0	4=>2	4500.0	16.0	2-3-4	2430.0	10.0	4=>2=>3	23680.0	59.0	1,2,4-3,5	12435	12435	12453	12.5 - 12.6 - 13.5 - 13.6 - 13.2 - 12.5 - 12.4 - 13.0	12.5 - 25.1 - 38.6 - 52.2 - 65.4 - 77.9 - 90.3 - 103.3 (38.6-37.9)									
202043010708	ダ	左	1200	雨	稍重	17:30	新年あけてもイルミは 		2020-1-7	10	船橋	1			9.0	630.0	3.0	9.0	160	3.0	1.0	150	2.0	1-9	1150.0	4.0	1-9	470	5.0	5-9	1,080	15.0	1-5	1,370	19.0	9=>1	3200.0	13.0	1-5-9	5980.0	23.0	9=>1=>5	33850.0	119.0		62891015347.0	62109718543.0	62109175843.0	12.3 - 11.4 - 11.4 - 12.1 - 12.8 - 13.7	12.3 - 23.7 - 35.1 - 47.2 - 60.0 - 73.7 (35.1-38.6)	5.0	390.0	7.0	1-8	660.0	3.0	8=>1	1880.0	7.0
202043010709	ダ	左	1600	雨	稍重	18:05	招福賞		2020-1-7	10	船橋	1			13.0	580.0	4.0	13.0	230	4.0	6.0	160	2.0	6-13	1500.0	6.0	6-13	530	5.0	7-13	1,850	25.0	6-7	1,080	12.0	13=>6	3250.0	12.0	6-7-13	7740.0	29.0	13=>6=>7	38060.0	122.0	7131461083412512119	7131461083412125119	7131468412352101911	7136148431221591110	12.6 - 12.8 - 12.6 - 12.6 - 12.5 - 12.8 - 13.2 - 13.8	12.6 - 25.4 - 38.0 - 50.6 - 63.1 - 75.9 - 89.1 - 102.9 (38.0-39.8)	7.0	610.0	8.0	4-8	490.0	1.0	8=>4	770.0	1.0
202043010710	ダ	左	1200	雨	稍重	18:40	房総スプリント 		2020-1-7	10	船橋	1			3.0	140.0	1.0	3.0	110	1.0	6.0	130	2.0	3-6	250.0	1.0	3-6	160	1.0	3-7	260	3.0	6-7	460	7.0	3=>6	370.0	1.0	3-6-7	730.0	2.0	3=>6=>7	1660.0	3.0		83619251047.0	83691251047.0	38691257104.0	12.1 - 11.7 - 12.4 - 12.2 - 12.7 - 12.5	12.1 - 23.8 - 36.2 - 48.4 - 61.1 - 73.6 (36.2-37.4)	7.0	170.0	4.0	3-6	280.0	1.0	3=>6	400.0	1.0
