	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気	枠単:的中	枠単:配当	枠単:人気
202046031512	ダ	右	1500	雨	不良	17:10	ネモフィラ特別 		2020-3-15	21	金沢	1	(定量)		1	630	3	1.0	180	4.0	9.0	170	3.0	12.0	1,150	10.0	1-9	1970	6	1-9	690	8	1-12	2,960	28	9-12	1,900	19	1=>9	4190	15	1-9-12	15180	41	1=>9=>12	72840	185	(3,4,7),9,(6,8,11),2,5,1,10,12	3,4,7,9,(6,8),11,2,1,5,10,12	3,4,9,10,(1,2,7),8,5,6,12,11	(1,9),3,2,12,11,4,(8,5),7,10,6			1-7	2020.0	8.0	1=>7	3790.0	16.0
202046031601	ダ	右	1400	雨	不良	10:50	C27		2020-3-16	21	金沢	2	(定量)		4	110	1	4.0	100	1.0	8.0	170	4.0	9.0	120	2.0	4-8	750	3	4-8	210	3	4-9	130	1	8-9	300	6	4=>8	1110	5	4-8-9	400	2	4=>8=>9	2390	6	8,9,(3,5),10,7,11,4,6,2,1	8,9,3,5,4,7,10,11,(2,6)-1	8,4,9,(3,5),7,(11,10),6,2-1	(4,8),3,9,5,11,(6,7),10,2=1			4-7	150.0	1.0	4=>7	210.0	1.0
202046031602	ダ	右	1500	雨	不良	11:20	C26		2020-3-16	21	金沢	2	(定量)		4	880	5	4.0	160	5.0	2.0	140	2.0	3.0	150	3.0	2-4	1040	7	2-4	320	6	3-4	610	10	2-3	210	2	4=>2	2500	16	2-3-4	1100	5	4=>2=>3	8920	43	1,(2,4,6),8,(5,7),3	1,(2,4),6,5,(3,8,7)	(2,4),6,1,3,5,7,8	2,4,3,(5,6),1,8,7								
202046031603	ダ	右	1500	曇	不良	11:50	C23		2020-3-16	21	金沢	2	(定量)		9	110	1	9.0	100	1.0	3.0	110	3.0	6.0	100	2.0	3-9	290	2	3-9	100	1	6-9	110	2	3-6	120	3	9=>3	300	2	3-6-9	200	1	9=>3=>6	440	2	(3,6),(7,10),(2,4,9),(5,8),11,1	3,6,(7,10),2,9,5,4,8,1,11	3,6,9,10,4,8,(7,5),2,1,11	(3,9),6,8,(5,4),10,2,1,7,11			3-7	230.0	1.0	7=>3	270.0	2.0
202046031604	ダ	右	1500	曇	不良	12:25	C22		2020-3-16	21	金沢	2	(定量)		5	440	2	5.0	130	2.0	9.0	120	1.0	6.0	200	5.0	5-9	610	1	5-9	220	1	5-6	240	3	6-9	230	2	5=>9	930	1	5-6-9	460	1	5=>9=>6	2400	2	5,3,10,9,6,4,(1,8,7),2	53109642781	5,(3,9),6,4,7,(2,10),8,1	5,9,(4,6),3,7,2,8,1,10			5-8	350.0	1.0	5=>8	1090.0	5.0
202046031605	ダ	右	1500	曇	不良	13:00	3歳A　3		2020-3-16	21	金沢	2	(定量)		7	220	1	7.0	120	1.0	5.0	140	3.0	1.0	190	5.0	5-7	500	3	5-7	210	2	1-7	280	4	1-5	480	8	7=>5	530	1	1-5-7	690	3	7=>5=>1	1970	3	5,7,8,(2,9),3,6,4,1	5,7,2,(8,9),3,6,4,1	5,(2,7),1,(3,4),9,6,8	5,(2,7),1,3,4,6,9,8			5-7	400.0	1.0	7=>5	510.0	1.0
202046031606	ダ	右	1500	曇	不良	13:35	3歳A　2		2020-3-16	21	金沢	2	(定量)		8	180	1	8.0	110	1.0	11.0	160	4.0	5.0	130	2.0	8-11	880	4	8-11	210	2	5-8	150	1	5-11	340	5	8=>11	1340	5	5-8-11	690	2	8=>11=>5	3750	8	11,10,(6,8),1,4,5,(3,9),2,7	11,10,8,1,(5,6),4,2,9,3,7	11,10,8,5,1,(6,7),4,2,9,3	11,(5,8),10,2,4,7,(1,6,9),3			7-8	470.0	3.0	7=>8	1340.0	5.0
202046031607	ダ	右	1500	曇	不良	14:10	ソメイヨシノ特別 		2020-3-16	21	金沢	2	(定量)		1	370	3	1.0	160	3.0	3.0	150	2.0	11.0	190	5.0	1-3	580	2	1-3	200	2	1-11	290	3	3-11	380	6	1=>3	1210	6	1-3-11	1040	4	1=>3=>11	4070	9	4,5,(1,3,11),8,9,(6,7),10,2	4,(1,5),3,11,8,9,7,(2,6),10	4,(1,3),11,5,7,10,8,(2,9),6	1341171025896			1-3	490.0	1.0	1=>3	1320.0	5.0
202046031608	ダ	右	1500	曇	不良	14:45	B23		2020-3-16	21	金沢	2	(定量)		8	130	1	8.0	150	2.0	5.0	540	7.0	3.0	220	4.0	5-8	1140	4	5-8	490	5	3-8	350	4	3-5	1,560	15	8=>5	1250	4	3-5-8	1690	6	8=>5=>3	7280	23	8,1,2,11,(5,9),3,10,6,7=4	8,1,11,2,(5,9),3,10,(7,6)=4	8,1,9,11,5,3,2-7,10,6=4	8,(5,3),9,1,11,2,7,10,6=4			5-7	1030.0	5.0	7=>5	2200.0	5.0
202046031609	ダ	右	1500	曇	不良	15:20	アリッサム特別 		2020-3-16	21	金沢	2	(定量)		1	220	1	1.0	110	1.0	5.0	140	4.0	6.0	140	3.0	1-5	720	4	1-5	270	3	1-6	230	2	5-6	340	6	1=>5	1410	7	1-5-6	820	3	1=>5=>6	4150	13	(3,4),6,(2,5),(1,8),7,9	4,3,6,1,(2,5,8),7-9	1,(4,5,6),(3,8),2,7-9	1,5,6,4,8,3,2,7=9			1-5	760.0	4.0	1=>5	1080.0	5.0
