	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
202035051803	ダ	左	1000	晴	良	12:10	C2		2020-5-18	1	盛岡	2			4.0	180.0	1.0	4.0	130	1.0	7.0	140.0	2.0				4-7	240.0	1.0	4-7	140	1.0	3-4	160	2.0	3-7	210	4.0	4=>7	400.0	1.0	3-4-7	320.0	1.0	4=>7=>3	1260.0	1.0			7,3,1,4,2,(6,8)	7341268					
202035051804	ダ	左	1000	晴	良	12:45	C2		2020-5-18	1	盛岡	2			1.0	140.0	1.0	1.0	100	1.0	6.0	120.0	2.0	3.0	170	4.0	1-6	280.0	1.0	1-6	150	1.0	1-3	260	4.0	3-6	350	5.0	1=>6	460.0	1.0	1-3-6	520.0	2.0	1=>6=>3	1350.0	2.0			12683745	1,6,2,(3,8),7,4,5					
202035051805	ダ	左	1400	晴	良	13:20	C2八組		2020-5-18	1	盛岡	2			10.0	480.0	2.0	10.0	300	5.0	8.0	540.0	8.0	2.0	350	7.0	8-10	4000.0	20.0	8-10	1,470	20.0	2-10	1,710	24.0	2-8	2,980	33.0	10=>8	5750.0	32.0	2-8-10	18580.0	68.0	10=>8=>2	113550.0	370.0			2,10,(1,3,8),5,4,9,7,6	21081345976			7-8	560.0	1.0
202035051806	ダ	左	1400	晴	良	13:55	C2七組		2020-5-18	1	盛岡	2			10.0	700.0	5.0	10.0	250	6.0	7.0	130.0	1.0	6.0	240	5.0	7-10	1360.0	4.0	7-10	590	8.0	6-10	1,210	21.0	6-7	550	7.0	10=>7	2710.0	12.0	6-7-10	3820.0	15.0	10=>7=>6	18280.0	71.0			10196248537	10,1,9,(2,6),4,7,3,8,5			7-8	450.0	3.0
202035051807	ダ	左	1600	晴	良	14:30	3歳B1二組		2020-5-18	1	盛岡	2			10.0	680.0	3.0	10.0	180	4.0	7.0	120.0	1.0	1.0	150	3.0	7-10	590.0	2.0	7-10	250	2.0	1-10	500	6.0	1-7	200	1.0	10=>7	1680.0	7.0	1-7-10	850.0	2.0	10=>7=>1	7270.0	23.0			1,7,10,3,(2,4),8,9,6,5	17310248965			7-8	330.0	1.0
202035051808	ダ	左	1200	晴	良	15:05	3歳		2020-5-18	1	盛岡	2			2.0	540.0	4.0	2.0	150	3.0	4.0	200.0	5.0	7.0	120	1.0	2-4	2250.0	9.0	2-4	530	8.0	2-7	210	1.0	4-7	390	5.0	2=>4	3820.0	14.0	2-4-7	1630.0	6.0	2=>4=>7	15830.0	55.0			469728315.0	462397185.0			2-4	2840.0	11.0
202035051809	ダ	左	1600	晴	良	15:45	B2二組		2020-5-18	1	盛岡	2			3.0	420.0	2.0	3.0	150	3.0	10.0	130.0	1.0	1.0	160	4.0	3-10	740.0	3.0	3-10	260	2.0	1-3	410	6.0	1-10	230	1.0	3=>10	1310.0	2.0	1-3-10	1140.0	2.0	3=>10=>1	6370.0	15.0			31017526984.0	31012976854.0			3-8	490.0	1.0
202035051810	ダ	左	1800	晴	良	16:25	B2一組		2020-5-18	1	盛岡	2			2.0	1050.0	5.0	2.0	210	5.0	5.0	120.0	1.0	6.0	540	7.0	2-5	810.0	4.0	2-5	280	3.0	2-6	3,860	33.0	5-6	1,130	15.0	2=>5	2560.0	9.0	2-5-6	6950.0	25.0	2=>5=>6	48260.0	149.0	2,7,8,(3,4),1,9,6,5,10	27834961510.0	2,8,(3,7),9,6,(1,4),5,10	28531691047			2-5	770.0	4.0
202035051811	ダ	左	1600	晴	良	17:00	B1三組		2020-5-18	1	盛岡	2			8.0	740.0	4.0	8.0	300	5.0	2.0	160.0	2.0	9.0	400	7.0	2-8	1330.0	4.0	2-8	660	5.0	8-9	1,650	22.0	2-9	1,330	18.0	8=>2	3650.0	11.0	2-8-9	7740.0	32.0	8=>2=>9	39310.0	133.0			287312549161011.0	283125791611104.0			2-6	1010.0	5.0
202035051812	ダ	左	1600	晴	良	17:35	ピンクダイヤモンド賞		2020-5-18	1	盛岡	2			5.0	220.0	1.0	5.0	120	1.0	12.0	210.0	5.0	9.0	140	2.0	5-12	1230.0	3.0	5-12	510	6.0	5-9	250	2.0	9-12	750	9.0	5=>12	1600.0	5.0	5-9-12	2020.0	5.0	5=>12=>9	9090.0	17.0			9,8,7,11,(5,12),1,3,2,4,(6,10)	951271811236410			5-8	870.0	3.0
