日付	天気	R	頭数	枠番	馬番	オッズ	人気	着順	斤量	馬場	タイム	着差	通過	ペース	上り	place	race_id	race_name	movie	jockey_id	jockey_name	field	distance	weight	gain	bounty
2022/07/18	曇	1	8	3	3	34.4	5	5	54.0	稍	1:33.7	2.2	2-3-5-5	0.0-38.8	40.2	金沢	202246071801	3歳B　4	202246071801	05300	葛山晃平	ダ	1400	428	-4	3.5
2022/07/12	曇	1	10	7	8	18.2	4	5	54.0	重	1:32.7	3.3	2-3-2-5	0.0-39.5	40.8	金沢	202246071201	3歳B　二走1	202246071201	05300	葛山晃平	ダ	1400	432	0	3.5
2022/07/03	曇	1	9	3	3	24.3	5	4	54.0	良	1:33.1	1.0	1-1-1-3	0.0-39.2	40.2	金沢	202246070301	3歳B　4	202246070301	05300	葛山晃平	ダ	1400	432	2	4.2
2022/06/19	晴	1	10	1	1	37.7	4	3	54.0	良	1:33.2	0.8	1-1-2-2	0.0-39.1	39.8	金沢	202246061901	3歳B　5	202246061901	05300	葛山晃平	ダ	1400	430	-4	5.6
2022/06/07	曇	2	9	7	7	30.8	5	4	54.0	不	1:32.7	2.5	3-5-4-5	0.0-38.2	40.4	金沢	202246060702	3歳B　5	202246060702	05300	葛山晃平	ダ	1400	434	8	4.2
2022/05/01	曇	3	15	6	10	336.9	15	15	54.0	重	1:53.9	6.5	4-3-7-12	29.8-38.1	43.9	福島	202203010603	3歳未勝利	202203010603	01166	川又賢治	ダ	1700	426	-4	0.0
2022/02/27	晴	1	16	2	4	514.2	16	16	54.0	良	1:52.4	4.6	7-8-16-16	29.8-39.2	42.1	小倉	202210020601	3歳未勝利	202210020601	01166	川又賢治	ダ	1700	430	-2	0.0
2021/11/28	晴	4	11	4	4	78.5	8	11	54.0	良	1:20.5	7.6	9-11	35.8-37.1	42.1	阪神	202109050804	2歳新馬	202109050804	01156	加藤祥太	ダ	1200	432	0	0.0
