rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	5	5		エムオーシャトル	牝2	54.0		井上俊彦	1:00.9		2-2	37.2	12.0	5	434	-2		林和弘		大浅貢	100.0
2	4	4		ロンギングベイビー	牝2	54.0		岩橋勇二	1:01.5	3.0	5-5	37.1	26.2	6	436	8		川島洋人		坂本浩一	20.0
3	7	7		エイシンイージス	牝2	54.0		阪野学	1:01.6	1/2	1-1	38.1	3.8	2	448	-4		田中正二		平井克彦	15.0
4	2	2		エーストビーズ	牝2	54.0		落合玄太	1:01.7	1/2	8-5	36.7	39.9	7	452	2		松本隆宏		（株）バンディ	10.0
5	1	1		リコーシンザン	牡2	54.0		五十嵐冬	1:02.4	3.0	3-3	38.4	1.8	1	458	-2		川島洋人		土橋正雄	5.0
6	8	8		マナバレンシア	牝2	54.0		阿部龍	1:02.6	1.0	6-7	37.6	6.0	3	452	2		桧森邦夫		（同）ＭＩＲＡＩ	
7	3	3		リュウノメアリー	牝2	54.0		石川倭	1:03.1	2.1/2	3-3	39.0	8.3	4	436	2		川島雅人		蓑島竜一	
8	6	6		ヴィルセキュリティ	牝2	53.0		小野楓馬	1:03.6	2.1/2	6-7	38.6	93.3	8	420	4		柳澤好美		廣田優生	
