rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	2	2		サカノメイケツ	牝5	630.0		中山直樹	2:00.6				5.6	3	968	-12		田上忠夫		（株）大阪畜産	15.0
2	6	6		ソウヤノカガヤキ	牡6	650.0		藤野俊一	2:06.0				3.7	2	1020	-2		鈴木邦哉		小林良二	3.7
3	3	3		ペーパンヨシヒメ	牝5	630.0		船山蔵人	2:08.9				7.6	5	959	12		小林勝二		大阪武	1.8
4	5	5		ハルトラ	牡4	645.0		渡来心路	2:09.3				13.4	6	1019	2		西邑春夫		佐々木啓文	1.2
5	7	7		ユウトウセイ	牡9	650.0		阿部武臣	2:11.2				28.3	7	1004	3		大友栄人		駒井正人	0.7
6	1	1		ハゴロモルヴァン	牡4	640.0		西謙一	2:12.1				6.5	4	1013	14		西弘美		井上修	
7	4	4		テツアズマ	牝4	620.0		菊池一樹	2:44.8				2.4	1	941	-30		松井浩文		（有）トーヨーファ	
