rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	2	2		ストロベリーボス	牡7	55.0		山崎雅由	1:30.7		10-9-7-5	39.3	81.0	10	498	-2		那俄性哲		鈴木剛史	50.0
2	5	6		シャヒーン	牡5	55.0		永森大智	1:30.8	クビ	1-1-1-1	40.3	7.9	3	498	-5		国澤輝幸		泉俊二	17.5
3	8	12		トウカイヴィオラ	牝5	54.0		郷間勇太	1:31.0	1.0	4-4-3-4	40.1	42.0	7	453	-4		大関吉明		濱田修一	10.0
4	4	4		ジャストフォーユー	セ7	55.0		岡村卓弥	1:31.5	2.1/2	3-3-4-3	40.7	20.8	6	462	4		川野勇馬		岡村勝喜	7.5
5	8	11		ブラヴォバンビーノ	セ5	55.0		大澤誠志	1:31.7	1.0	2-2-2-2	41.1	20.0	5	490	-8		田中譲二		酒井孝敏	5.0
6	6	7		マイネルピトレスク	牡10	54.0		塚本雄大	1:32.4	3.0	8-8-8-7	41.0	132.8	12	489	-1		国澤輝幸		岡林憲一	
7	7	10		クァンタムギア	牡8	52.0		妹尾将充	1:32.7	1.1/2	12-12-11-9	40.3	16.9	4	472	-16		西山裕貴		（同）ＪＰＮ技研	
8	5	5		アサクサレーサー	牡8	55.0		林謙佑	1:32.8	クビ	6-6-6-6	41.7	101.2	11	464	-7		別府真司		吉橋英隆	
9	1	1		マグマ	セ4	56.0		佐原秀泰	1:32.9	3/4	7-5-5-8	41.9	3.1	2	495	0		田中譲二		（同）ＪＰＮ技研	
10	6	8		パスファインダー	牡8	55.0		西森将司	1:33.3	2.0	9-10-10-10	41.7	57.0	8	482	1		東原己俊		（株）ボンズ	
11	3	3		コスモアニモーソ	牡3	55.0		宮川実	1:33.8	2.1/2	11-11-12-12	41.2	1.7	1	457	-3		打越勇児		組）ウィル	
12	7	9		ルーヴルヴォイス	牝7	51.0		別府真衣	1:33.8	アタマ	5-7-9-11	42.3	63.0	9	469	4		宮路洋一		酒井孝敏	
