	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
202009010111	ダ	右	2000	雨	稍重	15:35	仁川ステークス	L	2020-2-29	1	阪神	1	4歳以上オープン	(国際)(特指)(ハンデ)	14	340	1	14	160	1	4	310	6	7.0	190.0	2.0	4-14	2520	8	4-14	1,110	11	7-14	510	1	4-7	1,380	18	14=>4	4160	11	4-7-14	5610	13	14=>4=>7	24500	42	(6,*16)11(8,7)15(9,14)12,4,5,1,2-10-13 3	(*6,16)11(8,7)(9,15)14-12,4(1,5)2,10-13 3	(*6,16,11)(8,15)7(9,14)(12,5)(4,1)(2,10)-13 3	(6,*16,11)(8,15)14(9,7)(12,5)(4,1)(2,10)13 3	12.6 - 11.1 - 11.4 - 13.4 - 12.8 - 12.4 - 12.5 - 12.4 - 12.4 - 13.1	12.6 - 23.7 - 35.1 - 48.5 - 61.3 - 73.7 - 86.2 - 98.6 - 111.0 - 124.1 (35.1-37.9)	2-7	1980.0	9.0
202009010112	芝	右	1600	雨	稍重	16:10	4歳以上2勝クラス		2020-2-29	1	阪神	1	4歳以上2勝クラス	(混)(特指)(定量)	9	150	1	9	110	1	1	160	4	7.0	120.0	2.0	1-9	1090	4	1-9	350	5	7-9	170	1	1-7	530	8	9=>1	1330	5	1-7-9	930	3	9=>1=>7	3510	9			3,1,9-6,4,5,7-2-8	3-1,9,6-4,7(5,2)-8	12.6 - 11.0 - 11.3 - 11.8 - 11.8 - 11.7 - 11.8 - 12.4	12.6 - 23.6 - 34.9 - 46.7 - 58.5 - 70.2 - 82.0 - 94.4 (34.9-35.9)	1-8	1040.0	4.0
202009010202	ダ	右	1800	晴	重	10:30	3歳未勝利		2020-3-1	1	阪神	2	3歳未勝利	(混)[指](馬齢)	3	310	2	3	120	2	2	150	4	4.0	110.0	1.0	2-3	1120	5	2-3	310	4	3-4	160	1	2-4	320	5	3=>2	1990	8	2-3-4	590	2	3=>2=>4	4250	12	2(3,9)(1,4)-(5,8)(7,10)-6	2(3,9)(1,4)5,8(7,10)-6	2,9(1,4)3,5(7,8)(6,10)	2(9,4)(1,3)-(5,7)(6,10,8)	12.9 - 11.2 - 12.9 - 12.5 - 13.0 - 13.2 - 12.7 - 12.2 - 12.9	12.9 - 24.1 - 37.0 - 49.5 - 62.5 - 75.7 - 88.4 - 100.6 - 113.5 (37.0-37.8)	2-3	1390.0	7.0
202009010203	ダ	右	1200	晴	重	11:00	3歳未勝利		2020-3-1	1	阪神	2	3歳未勝利	[指](馬齢)	12	250	2	12	110	1	6	130	3	1.0	110.0	2.0	6-12	720	2	6-12	220	2	1-12	170	1	1-6	300	3	12=>6	1250	3	1-6-12	610	1	12=>6=>1	3470	6			11(1,3)12(5,10)9(4,8)13-(2,6)-7-14	11(1,3)-(10,12)(5,9)(8,13)4-6=(2,7)-14	12.2 - 10.7 - 11.7 - 12.0 - 12.2 - 13.3	12.2 - 22.9 - 34.6 - 46.6 - 58.8 - 72.1 (34.6-37.5)	4-7	520.0	2.0
202009010204	芝	右	1800	晴	稍重	11:30	3歳未勝利		2020-3-1	1	阪神	2	3歳未勝利	[指](馬齢)	2	2080	7	2	560	8	9	210	2	8.0	220.0	3.0	2-9	4180	15	2-9	1,220	15	2-8	1,980	20	8-9	580	6	2=>9	12370	33	2-8-9	8010	25	2=>9=>8	80120	209			9(12,14)(2,13)(11,4)(1,6)3(5,7,8)10	(*9,12,14)(2,13)(1,11,4,6)(3,7,8)5,10	12.4 - 11.1 - 12.0 - 12.6 - 12.5 - 12.1 - 11.6 - 11.6 - 12.4	12.4 - 23.5 - 35.5 - 48.1 - 60.6 - 72.7 - 84.3 - 95.9 - 108.3 (35.5-35.6)	2-6	6280.0	14.0
202009010205	芝	右	2000	晴	稍重	12:20	3歳新馬		2020-3-1	1	阪神	2	3歳新馬	(混)[指](馬齢)	11	1040	5	11	250	4	12	130	1	8.0	170.0	3.0	11-12	1310	4	11-12	550	4	8-11	1,010	10	8-12	350	2	11=>12	3200	10	8-11-12	2320	4	11=>12=>8	15730	32	2(1,14)(11,13)12(3,16)6,15(8,10)9,7,4-5	(*2,14)-(11,1)13,12,3,16,6-15(8,10)-9-7(4,5)	(*2,14)1(11,12)(3,13)(16,10)6(15,8)(9,7,5)-4	(*2,14)1(11,12,13)10(3,16,8)(6,15,5)(9,7)4	12.7 - 11.5 - 13.0 - 13.1 - 13.2 - 13.2 - 12.8 - 12.2 - 11.7 - 11.7	12.7 - 24.2 - 37.2 - 50.3 - 63.5 - 76.7 - 89.5 - 101.7 - 113.4 - 125.1 (37.2-35.6)	6-6	1460.0	6.0
202009010206	ダ	右	1800	晴	重	12:55	4歳以上1勝クラス		2020-3-1	1	阪神	2	4歳以上1勝クラス	[指](定量)	2	560	3	2	130	3	5	110	2	3.0	110.0	1.0	2-5	1090	3	2-5	270	3	2-3	190	2	3-5	150	1	2=>5	2470	8	2-3-5	350	1	2=>5=>3	4870	14	2-5,9(1,3)10,7,6,4-8	2-5,9(1,3)10,7,6,4-8	2(5,9)-(1,3)(10,7,4)6-8	2(5,9)(1,3)(7,4)8(10,6)	12.7 - 11.2 - 12.9 - 12.5 - 13.0 - 12.8 - 12.3 - 11.9 - 12.8	12.7 - 23.9 - 36.8 - 49.3 - 62.3 - 75.1 - 87.4 - 99.3 - 112.1 (36.8-37.0)	2-5	1100.0	3.0
202009010207	ダ	右	1200	晴	重	13:25	4歳以上1勝クラス		2020-3-1	1	阪神	2	4歳以上1勝クラス	(混)[指](定量)	5	190	1	5	110	1	4	390	6	9.0	170.0	4.0	4-5	2870	10	4-5	980	11	5-9	310	3	4-9	2,210	20	5=>4	3570	12	4-5-9	5540	21	5=>4=>9	23240	78			9,4,1(7,3)(2,5,10)8,6	(*9,4)3(1,7)(5,10)8(2,6)	12.3 - 11.6 - 11.7 - 11.9 - 11.7 - 12.7	12.3 - 23.9 - 35.6 - 47.5 - 59.2 - 71.9 (35.6-36.3)	4-5	3000.0	10.0
202009010208	芝	右	1800	晴	稍重	13:55	4歳以上2勝クラス		2020-3-1	1	阪神	2	4歳以上2勝クラス	牝[指](定量)	5	500	3	5	110	2	3	110	1	7.0	130.0	3.0	3-5	340	1	3-5	160	1	5-7	330	4	3-7	180	2	5=>3	900	3	3-5-7	430	1	5=>3=>7	2870	5			5(8,9)(3,7)(2,4)1-6	5,8(3,9,7)(2,4)6,1	12.7 - 11.4 - 11.5 - 11.8 - 11.8 - 11.9 - 11.3 - 11.5 - 12.4	12.7 - 24.1 - 35.6 - 47.4 - 59.2 - 71.1 - 82.4 - 93.9 - 106.3 (35.6-35.2)	3-5	370.0	2.0
202009010209	ダ	右	1800	晴	重	14:25	伊丹ステークス 		2020-3-1	1	阪神	2	4歳以上1600万下	(混)(特指)(定量)	2	2740	6	2	540	8	7	230	4	10.0	120.0	1.0	2-7	10760	22	2-7	2,370	22	2-10	970	8	7-10	460	4	2=>7	21790	45	2-7-10	5480	17	2=>7=>10	71940	173	(*6,7)9(4,11)1(5,10)8-2,3	6,7(4,9)11(1,10)5,8,2,3	(*6,7)9(4,11)10(1,5)8,2-3	(*6,7)9(4,11,10)(1,2)5(8,3)	13.0 - 11.6 - 13.3 - 12.5 - 12.3 - 12.5 - 12.2 - 11.9 - 12.0	13.0 - 24.6 - 37.9 - 50.4 - 62.7 - 75.2 - 87.4 - 99.3 - 111.3 (37.9-36.1)	2-6	4540.0	12.0
