	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気
199102010101	芝	右	1800	雨	重	10:15	4歳以上オープン		1991-8-3	1	函館	1	4歳以上オープン	[抽](別定)	5	1160	5	5	490	6	3	170	1	3-5	1500	7																							13.2 - 12.4 - 12.7 - 12.8 - 12.3 - 12.5 - 12.6 - 12.2 - 12.4	13.2 - 25.6 - 38.3 - 51.1 - 63.4 - 75.9 - 88.5 - 100.7 - 113.1 (13.2-13.2)						
199102010102	ダ	右	1700	曇	重	10:45	4歳未勝利		1991-8-3	1	函館	1	4歳未勝利	(馬齢)	5	330	2	5	180	2	6	230	6	5-6	1270	7																							7.4 - 11.6 - 12.3 - 12.7 - 13.1 - 12.8 - 12.9 - 13.0 - 12.9	7.4 - 19.0 - 31.3 - 44.0 - 57.1 - 69.9 - 82.8 - 95.8 - 108.7 (7.4-7.4)	2.0	200.0	3.0			
199102010103	芝	右	1200	曇	重	11:15	4歳未勝利		1991-8-3	1	函館	1	4歳未勝利	(馬齢)	4	140	1	4	110	1	5	170	3	4-5	570	1																							12.6 - 10.8 - 11.6 - 12.4 - 12.2 - 12.3	12.6 - 23.4 - 35.0 - 47.4 - 59.6 - 71.9 (12.6-12.6)	6.0	160.0	2.0			
199102010104	芝	右	1000	曇	重	11:45	3歳新馬		1991-8-3	1	函館	1	3歳新馬	(馬齢)	5	1330	4	5	230	5	10	190	3	5-8	4710	15																							12.4 - 10.8 - 11.6 - 12.7 - 12.7	12.4 - 23.2 - 34.8 - 47.5 - 60.2 (12.4-12.4)	7.0	110.0	1.0			
199102010105	芝	右	1200	曇	重	12:45	4歳未勝利		1991-8-3	1	函館	1	4歳未勝利	(馬齢)	8	980	4	8	310	4	3	400	5	3-7	2160	8																							12.7 - 10.8 - 11.2 - 12.5 - 12.7 - 12.2	12.7 - 23.5 - 34.7 - 47.2 - 59.9 - 72.1 (12.7-12.7)	5.0	450.0	6.0			
199102010106	芝	右	2000	曇	重	13:15	4歳未勝利		1991-8-3	1	函館	1	4歳未勝利	(混)(馬齢)	6	650	3	6	140	3	7	120	2	6-7	810	2																							12.5 - 11.6 - 13.0 - 12.8 - 12.8 - 12.7 - 12.1 - 12.8 - 12.7 - 12.0	12.5 - 24.1 - 37.1 - 49.9 - 62.7 - 75.4 - 87.5 - 100.3 - 113.0 - 125.0 (12.5-12.5)	3.0	120.0	1.0			
199102010107	ダ	右	1000	曇	重	13:50	4歳以上500万下		1991-8-3	1	函館	1	4歳以上500万下	(別定)	5	2920	7	5	320	7	7	130	2	5-7	4490	15																							12.4 - 10.9 - 11.9 - 12.5 - 12.9	12.4 - 23.3 - 35.2 - 47.7 - 60.6 (12.4-12.4)	4.0	110.0	1.0			
199102010108	ダ	右	1700	曇	重	14:25	陸奥湾特別 		1991-8-3	1	函館	1	4歳以上500万下	(別定)	8	630	4	8	220	5	4	210	4	4-7	1820	10																							7.0 - 11.3 - 11.9 - 12.6 - 12.4 - 11.9 - 13.0 - 13.0 - 13.6	7.0 - 18.3 - 30.2 - 42.8 - 55.2 - 67.1 - 80.1 - 93.1 - 106.7 (7.0-7.0)	1.0	180.0	3.0			
199102010109	芝	右	1800	曇	重	15:00	駒ケ岳特別 		1991-8-3	1	函館	1	4歳以上500万下	(別定)	2	1000	6	2	230	5	8	250	6	2-8	1920	9																							12.4 - 11.8 - 12.0 - 12.0 - 11.9 - 12.1 - 12.3 - 13.0 - 12.5	12.4 - 24.2 - 36.2 - 48.2 - 60.1 - 72.2 - 84.5 - 97.5 - 110.0 (12.4-12.4)	9.0	200.0	3.0			
199102010110	芝	右	2000	曇	重	15:35	五稜郭特別 		1991-8-3	1	函館	1	4歳以上900万下	(混)(別定)	6	1700	8	6	380	5	1	280	3	1-5	3120	14																							12.4 - 10.7 - 12.3 - 12.9 - 12.8 - 12.3 - 12.3 - 12.5 - 12.6 - 12.3	12.4 - 23.1 - 35.4 - 48.3 - 61.1 - 73.4 - 85.7 - 98.2 - 110.8 - 123.1 (12.4-12.4)	4.0	230.0	2.0			
