waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2017103825	ピースボヌール	セ5	57.0	00422	内田博	01086	斎藤誠	506	8
2	2	2018100078	アイファーラクーン	牝4	52.0	01184	原	01029	根本	422	-2
3	3	2018102807	ニシノソワレ	牡4	57.0	01158	野中	01074	奥平	492	0
4	4	2017104674	ヒューミリティ	セ5	56.0	01181	秋山稔	01163	林	464	-2
4	5	2018105748	ナンヨーヴィヨレ	牡4	54.0	01192	横山琉	00420	宗像	460	-4
5	6	2018104706	リヴェット	牡4	57.0	01075	田辺	01027	田村	486	6
5	7	2018101988	レープハフト	牝4	52.0	01183	小林脩	01153	中舘	462	6
6	8	2018100186	タイセイマーベル	牡4	57.0	01122	三浦	01150	池上	494	-2
6	9	2016105049	アルジェンタータ	牝6	55.0	01091	丹内	01056	本間	432	-2
7	10	2016105636	ミユキダイアモンド	牝6	52.0	01177	小林凌	00405	小西	456	8
7	11	2018101166	サイモンポーリア	牝4	55.0	01127	丸山	01029	根本	484	6
8	12	2018100247	テンウォークライ	牡4	57.0	01096	大野	01132	金成	470	-10
8	13	2018102332	ストロングカレント	牡4	57.0	01179	菅原明	01177	伊坂	482	-2
