日付	天気	R	頭数	枠番	馬番	オッズ	人気	着順	斤量	馬場	タイム	着差	通過	ペース	上り	place	race_id	race_name	movie	jockey_id	jockey_name	field	distance	weight	gain	bounty
2022/05/20	曇	8	10	6	6	60.7	8	5	54.0	良	1:38.3	1.2	8-7-7	0.0-39.1	39.7	名古屋	202248052008	C2組	202248052008	05164	藤原良一	ダ	1500	428	2	3.2
2022/05/06	晴	7	11	7	9	42.7	8	7	54.0	良	1:38.0	1.4	1-2-2	0.0-39.6	41.0	名古屋	202248050607	C3組	202248050607	05164	藤原良一	ダ	1500	426	1	0.0
2022/04/25	晴	7	11	1	1	77.5	8	9	54.0	稍	1:41.0	3.6	8-8-8	0.0-38.6	41.5	名古屋	202248042507	C3組	202248042507	05164	藤原良一	ダ	1500	425	-1	0.0
2022/04/13	晴	8	12	7	10	76.9	8	9	54.0	良	1:40.5	3.4	9-8-8	0.0-40.0	41.6	名古屋	202248041308	C2組	202248041308	05164	藤原良一	ダ	1500	426	0	0.0
2022/02/28	晴	8	11	4	4	144.5	11	8	54.0	良	1:33.3	1.7	10-10-10-10	39.2-40.5	40.2	川崎	202245022808	C2一　二三	202245022808	a0293	田中涼	ダ	1400	426	-6	0.0
2022/02/02	晴	12	14	8	13	20.8	7	11	54.0	良	1:40.3	2.4	5-6-6-7	31.5-40.0	41.4	川崎	202245020212	2022川崎ジョッキ	202245020212	a01c0	拜原靖之	ダ	1500	432	0	0.0
2022/01/07	晴	12	12	4	4	17.3	6	2	54.0	稍	1:38.4	0.0	7-7-9-7	29.9-41.4	40.4	川崎	202245010712	ファイナルアンサー賞	202245010712	a0293	田中涼	ダ	1500	432	3	40.0
2021/12/13	晴	12	11	3	3	59.3	9	6	54.0	稍	1:38.0	0.9	6-5-7-5	31.1-39.5	39.6	川崎	202145121312	葉牡丹賞	202145121312	05443	本田正重	ダ	1500	429	-3	0.0
2021/11/08	晴	7	11	5	6	164.7	10	7	53.0	良	1:32.7	0.7	10-10-10-10	39.3-40.4	39.5	川崎	202145110807	C2一　二三	202145110807	05599	池谷匠翔	ダ	1400	432	-2	0.0
2021/10/18	晴	6	11	6	6	111.8	9	6	52.0	重	1:39.1	1.3	11-11-11-10	30.9-40.1	39.5	浦和	202142101806	農業王国ふかや賞	202142101806	05599	池谷匠翔	ダ	1500	434	-7	0.0
2021/10/12	曇	4	10	8	9	42.1	8	5	52.0	良	1:32.5	1.0	7-8-8-7	39.7-39.8	39.2	川崎	202145101204	C2一　二三	202145101204	05599	池谷匠翔	ダ	1400	441	-1	10.0
2021/09/15	晴	8	11	7	8	120.3	10	9	54.0	重	1:47.4	1.7	7-7-7-7	38.2-40.8	41.7	川崎	202145091508	鶺鴒特別	202145091508	05563	櫻井光輔	ダ	1600	442	-5	0.0
2021/08/31	曇	7	14	2	2	30.3	9	10	54.0	良	1:39.9	3.5	7-8-8-8	29.7-40.5	43.0	川崎	202145083107	オーガストフラワー賞	202145083107	05563	櫻井光輔	ダ	1500	447	8	0.0
2021/07/28	晴	10	13	1	1	12.2	5	4	54.0	重	1:47.2	1.6	9-8-9-6	38.2-40.2	40.9	川崎	202145072810	秦野市の歴史的地質遺	202145072810	05524	笹川翼	ダ	1600	439	1	30.0
2021/07/05	曇	5	9	8	9	2.2	1	2	52.0	不	1:33.7	1.8	3-3-3-3	39.4-40.2	41.3	川崎	202145070505	ランポ特別	202145070505	05599	池谷匠翔	ダ	1400	438	4	56.0
2021/06/14	曇	4	10	7	7	5.1	2	2	54.0	稍	1:31.8	1.3	4-3-3-2	38.4-39.8	40.9	川崎	202145061404	フォラータ特別	202145061404	05524	笹川翼	ダ	1400	434	-1	64.0
2021/05/26	晴	1	9	3	3	6.3	4	2	52.0	良	1:32.6	0.6	8-8-8-7	38.6-41.1	40.1	川崎	202145052601	桜梅桃李賞	202145052601	05599	池谷匠翔	ダ	1400	435	4	56.0
2021/04/19	晴	2	11	7	9	8.8	5	3	54.0	重	1:32.1	0.2	6-6-5-5	38.7-41.5	40.2	川崎	202145041902	レーゲンボーゲン特別	202145041902	05524	笹川翼	ダ	1400	431	5	40.0
2021/03/31	晴	2	12	1	1	4.4	2	4	54.0	稍	1:33.8	1.9	11-10-10-7	37.7-40.8	40.8	浦和	202142033102	3歳五	202142033102	05365	山崎誠士	ダ	1400	426	0	19.5
2021/03/02	雨	2	9	2	2	3.3	2	3	54.0	稍	1:34.5	2.6	6-6-6-5	40.2-39.5	41.0	川崎	202145030202	3歳9	202145030202	05365	山崎誠士	ダ	1400	426	-6	40.0
2020/09/18	晴	3	6	1	1	6.0	3	4	54.0	良	0:56.7	1.6	5-5	29.2-38.0	38.6	川崎	202045091803	スパーキングデビュー	202045091803	05365	山崎誠士	ダ	900	432	0	40.5
