	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連単:的中	三連単:配当	三連単:人気
200809010111	芝	右	1600	晴	良	15:45	アーリントンカップ	G3	2008-3-1	1	阪神	1	3歳オープン	(混)(特指)(別定)	12	1970	5	12	720	8	5	840	10	3.0	730	9.0	4-8	2230.0	9.0	5-12	21660	49	5-12	4,670	47	3-12	4,920	50	3-5	4,710	48	12=>5	43520	88	3-5-12	108190	176			12-7,8(5,6,13)9(1,10)(3,2)11 4	12=7,13(8,6)9(5,10)(1,3,2)11 4	12.8 - 11.0 - 11.4 - 11.5 - 11.7 - 11.7 - 11.3 - 13.2	12.8 - 23.8 - 35.2 - 46.7 - 58.4 - 70.1 - 81.4 - 94.6 (35.2-36.2)	12=>5=>3	896050.0	1031.0
200809010112	ダ	右	1400	晴	稍重	16:20	4歳以上1000万下		2008-3-1	1	阪神	1	4歳以上1000万下	(混)[指](定量)	5	930	5	5	280	5	12	220	4	16.0	170	2.0	3-6	3540.0	14.0	5-12	3540	13	5-12	1,330	15	5-16	850	9	12-16	490	4	5=>12	7140	25	5-12-16	5010	13			7(16,12)(3,5,11,14)2(1,4,15)(13,8)(10,9) 6	7(16,12)(3,5,11,14)(1,2,15)13(10,9)4,8 6	12.4 - 10.7 - 11.6 - 12.0 - 12.0 - 12.2 - 13.2	12.4 - 23.1 - 34.7 - 46.7 - 58.7 - 70.9 - 84.1 (34.7-37.4)	5=>12=>16	37230.0	108.0
200809010201	ダ	右	1200	晴	稍重	10:10	3歳未勝利		2008-3-2	1	阪神	2	3歳未勝利	[指](馬齢)	13	140	1	13	110	1	2	250	4	15.0	340	5.0	2-7	810.0	4.0	2-13	710	3	2-13	360	3	13-15	470	6	2-15	1,590	16	13=>2	930	3	2-13-15	2550	10			(5,*11,13)(2,14)(8,15)(6,9,12)1,4-7=10 3	(*11,13)(5,2)(8,14)15(9,12)-(6,1)4,7=10 3	12.7 - 11.5 - 12.2 - 12.2 - 11.7 - 12.5	12.7 - 24.2 - 36.4 - 48.6 - 60.3 - 72.8 (36.4-36.4)			
200809010202	ダ	右	1800	晴	稍重	10:40	3歳未勝利		2008-3-2	1	阪神	2	3歳未勝利	[指](馬齢)	6	250	1	6	140	1	3	210	4	2.0	1,100	9.0	3-4	390.0	1.0	3-6	820	2	3-6	400	4	2-6	2,710	26	2-3	3,980	37	6=>3	1460	3	2-3-6	13140	38	(*6,3)12,9(2,10,14)-(4,8)(1,7)11-(5,13)	(*6,3)(2,12)(9,14)10-(4,8)(1,7)11,5,13	(*6,3)(2,12)9,10-(4,8)(7,14)1(11,13)5	(*6,3)(2,12)(9,10)(4,8)(1,7)(11,13)-(5,14)	12.9 - 10.9 - 13.1 - 12.8 - 12.9 - 13.2 - 13.4 - 12.1 - 12.1	12.9 - 23.8 - 36.9 - 49.7 - 62.6 - 75.8 - 89.2 - 101.3 - 113.4 (36.9-37.6)			
200809010203	ダ	右	1400	晴	稍重	11:10	3歳未勝利		2008-3-2	1	阪神	2	3歳未勝利	(混)[指](馬齢)	14	700	4	14	160	4	13	150	3	9.0	120	1.0	8-8	1240.0	4.0	13-14	1400	6	13-14	410	6	9-14	320	4	9-13	260	2	14=>13	3000	12	9-13-14	1030	3			13,14(1,2,8)(4,10,7,12,11)6(3,9) 5	(*13,14)(1,2)(4,10,8,11)-(6,7,9)(12,3) 5	12.4 - 11.2 - 11.9 - 12.1 - 12.2 - 12.2 - 13.0	12.4 - 23.6 - 35.5 - 47.6 - 59.8 - 72.0 - 85.0 (35.5-37.4)			
200809010204	障		2970	晴	良  ダート	11:40	障害4歳以上未勝利		2008-3-2	1	阪神	2	障害4歳以上未勝利	(混)(定量)	10	280	1	10	130	1	11	180	2	3.0	510	8.0	6-7	500.0	1.0	10-11	600	1	10-11	270	1	3-10	1,400	19	3-11	1,950	25	10=>11	1060	1	3-10-11	6220	18	(*14,7)-9-4,3-(8,10)(11,1)-(13,2)-6=(12,5)	7-14-9,4,3-(8,10)-1,11=2-13-6=5-12	(14,*7)4,9,3,10,11-(8,1)=2=6-13=5-12	(*14,7)(4,3)(10,11)-(8,1)9=2=6=13=5-12					
200809010205	芝	右	1600	晴	良	12:30	3歳未勝利		2008-3-2	1	阪神	2	3歳未勝利	(混)[指](馬齢)	11	620	3	11	200	3	8	120	1	3.0	220	4.0	4-6	890.0	2.0	8-11	900	2	8-11	350	2	3-11	840	10	3-8	380	3	11=>8	2060	5	3-8-11	2050	4			1,5,15(2,8,16,10)(4,13)(3,11)(6,14)-12,7,9	(*1,5,15,16,10)(2,8,13,11)(3,4)(6,14)12(7,9)	12.7 - 10.6 - 12.8 - 12.6 - 12.6 - 11.6 - 11.6 - 11.9	12.7 - 23.3 - 36.1 - 48.7 - 61.3 - 72.9 - 84.5 - 96.4 (36.1-35.1)			
200809010206	芝	右	2000	晴	良	13:00	3歳新馬		2008-3-2	1	阪神	2	3歳新馬	(混)[指](馬齢)	6	660	3	6	360	3	5	2,290	10	3.0	1,490	8.0	5-6	10950.0	19.0	5-6	14190	29	5-6	3,650	33	3-6	2,010	20	3-5	7,670	41	6=>5	29110	47	3-5-6	66530	89	5-3,6(4,7)(2,8)-(9,1)10	5-3,6(4,7)-(2,8)-9,1,10	5=3,6(4,7)(2,8)-9,1,10	5,3,6(4,7)(2,8,1)(10,9)	13.0 - 12.1 - 13.4 - 13.5 - 13.2 - 13.2 - 13.1 - 13.0 - 11.9 - 11.5	13.0 - 25.1 - 38.5 - 52.0 - 65.2 - 78.4 - 91.5 - 104.5 - 116.4 - 127.9 (38.5-36.4)			
200809010207	ダ	右	1200	晴	良	13:30	3歳500万下		2008-3-2	1	阪神	2	3歳500万下	(混)(特指)(馬齢)	9	400	2	9	150	2	15	120	1	5.0	150	3.0	5-8	470.0	2.0	9-15	490	1	9-15	210	1	5-9	370	3	5-15	240	2	9=>15	1200	3	5-9-15	900	1			(4,6,*9)(5,7,15)(1,14)11(2,8,13)12,3=10	9,15(4,6,7)(5,14)(1,11)13(2,12,3)8=10	12.2 - 11.3 - 11.5 - 11.9 - 12.0 - 12.7	12.2 - 23.5 - 35.0 - 46.9 - 58.9 - 71.6 (35.0-36.6)			
200809010208	ダ	右	1800	晴	良	14:00	4歳以上500万下		2008-3-2	1	阪神	2	4歳以上500万下	牝[指](定量)	7	350	2	7	130	2	5	110	1	4.0	280	7.0	5-7	320.0	1.0	5-7	300	1	5-7	160	1	4-7	640	10	4-5	480	7	7=>5	790	2	4-5-7	1390	5	1,8,4-7,2,5=3,9,6	1,8,4(2,7)5-3,9,6	(*1,8)4(2,7)5-3,9,6	(*1,8)4(2,7)5(9,3)6	12.8 - 11.2 - 14.0 - 13.3 - 13.4 - 13.1 - 12.8 - 12.0 - 12.6	12.8 - 24.0 - 38.0 - 51.3 - 64.7 - 77.8 - 90.6 - 102.6 - 115.2 (38.0-37.4)			
