	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連単:的中	三連単:配当	三連単:人気
200802010111	芝	右	1200	晴	良	15:25	TVh杯 		2008-6-21	1	函館	1	3歳以上1000万下	(混)(特指)(定量)	2	210	1	2	120	1	3	450	7	13.0	210	3.0	1-2	1560.0	6.0	2-3	2250	7	2-3	990	8	2-13	320	2	3-13	2,360	24	2=>3	3270	11	2-3-13	4820	13			(*6,7)(3,16)(11,13,15)(2,10)1(8,9)(12,14)(4,5)	6(3,7)13(2,11,16,1,15)10(8,9)(12,14)(4,5)	11.7 - 10.5 - 11.0 - 11.5 - 11.7 - 12.1	11.7 - 22.2 - 33.2 - 44.7 - 56.4 - 68.5 (33.2-35.3)	2=>3=>13	21950.0	58.0
200802010112	ダ	右	1700	晴	良	16:00	木古内特別 		2008-6-21	1	函館	1	3歳以上500万下	(混)(特指)(定量)	2	160	1	2	110	1	6	320	6	11.0	280	5.0	2-5	1110.0	5.0	2-6	1470	5	2-6	420	4	2-11	440	5	6-11	2,020	21	2=>6	1800	8	2-6-11	3220	11	(*10,11)(1,3)13-(9,12)-8,5(2,6)(4,7)	10,11(1,3)(9,12,13)-(8,5)6(2,7)4	(*10,3)(1,11)9(5,13)6(2,12,7)(8,4)	10(3,11)(1,5,9,6)(2,13)(4,7)(8,12)	7.0 - 11.0 - 12.2 - 12.9 - 12.5 - 12.2 - 13.0 - 12.4 - 12.6	7.0 - 18.0 - 30.2 - 43.1 - 55.6 - 67.8 - 80.8 - 93.2 - 105.8 (30.2-38.0)	2=>6=>11	12400.0	38.0
200802010201	ダ	右	1700	曇	良	09:55	3歳未勝利		2008-6-22	1	函館	2	3歳未勝利	[指](馬齢)	6	510	2	6	160	2	11	190	4	8.0	120	1.0	6-8	920.0	4.0	6-11	2190	9	6-11	610	6	6-8	380	1	8-11	380	2	6=>11	4060	16	6-8-11	1530	1	(3,*9)(7,8,10)2,6,11-(1,4)-5	(*3,9)(8,10)(7,6)2,11-(1,4)-5	(3,9,*8,10)(7,6,4)(11,5)(2,1)	(*9,8)(6,10,4)(3,5)(11,7)1-2	6.8 - 11.4 - 11.9 - 12.9 - 12.9 - 13.1 - 13.4 - 13.3 - 13.6	6.8 - 18.2 - 30.1 - 43.0 - 55.9 - 69.0 - 82.4 - 95.7 - 109.3 (30.1-40.3)			
200802010202	ダ	右	1000	曇	良	10:20	3歳未勝利		2008-6-22	1	函館	2	3歳未勝利	[指](馬齢)	9	220	1	9	120	1	11	150	4	3.0	130	2.0	7-8	370.0	1.0	9-11	580	2	9-11	210	2	3-9	200	1	3-11	280	3	9=>11	900	2	3-9-11	720	1			(*5,12)(11,9)-3,6(2,4,8)7,1-10	(5,*12,11)9-3,6-(4,8)-(2,7)1-10	12.3 - 10.8 - 11.8 - 12.3 - 13.0	12.3 - 23.1 - 34.9 - 47.2 - 60.2 (34.9-37.1)			
200802010203	ダ	右	1700	曇	良	10:50	3歳未勝利		2008-6-22	1	函館	2	3歳未勝利	(混)[指](馬齢)	9	15910	10	9	4,280	11	5	2,270	9	7.0	140	2.0	5-7	14920.0	16.0	5-9	141690	53	5-9	22,550	51	7-9	4,970	29	5-7	2,910	20	9=>5	361340	104	5-7-9	100900	92	1(2,8)-10,6(4,7)11-9-5-3	1,2,8(6,10)7,4-11-9-5=3	1(2,8)(7,9)6(4,10,5)-11=3	1,8,9(7,5)2(6,4)10,11=3	7.0 - 11.2 - 12.4 - 13.0 - 12.9 - 12.7 - 13.0 - 13.0 - 13.4	7.0 - 18.2 - 30.6 - 43.6 - 56.5 - 69.2 - 82.2 - 95.2 - 108.6 (30.6-39.4)			
200802010204	芝	右	1800	曇	良	11:20	3歳未勝利		2008-6-22	1	函館	2	3歳未勝利	[指](馬齢)	6	190	1	6	110	1	8	140	2	10.0	330	6.0	4-5	270.0	1.0	6-8	280	1	6-8	170	1	6-10	540	6	8-10	890	11	6=>8	430	1	6-8-10	1710	5	7(6,8,15)13(4,9)14,10(2,5)-(3,11)1,12	7-6,8,15(4,9)(10,14,13)-2(5,11)3(1,12)	7(6,8)4(9,15)(10,14,13)(2,11,12)3,5,1	(*6,8)(7,4)(10,9,15)(2,14,13,12)(5,1,11,3)	12.4 - 11.3 - 11.9 - 12.2 - 12.5 - 12.5 - 12.7 - 12.1 - 12.2	12.4 - 23.7 - 35.6 - 47.8 - 60.3 - 72.8 - 85.5 - 97.6 - 109.8 (35.6-37.0)			
200802010205	芝	右	1200	曇	良	11:50	2歳新馬		2008-6-22	1	函館	2	2歳新馬	(混)[指](馬齢)	8	780	4	8	180	4	4	160	3	3.0	120	1.0	4-8	1630.0	7.0	4-8	1840	7	4-8	420	7	3-8	340	5	3-4	300	4	8=>4	3880	15	3-4-8	1610	5			1(3,4)(7,8)-(6,9)=2=5	(*1,4)(3,8)7-(6,9)=2=5	12.1 - 10.4 - 11.2 - 11.9 - 11.7 - 12.7	12.1 - 22.5 - 33.7 - 45.6 - 57.3 - 70.0 (33.7-36.3)			
200802010206	芝	右	1200	曇	良	12:40	3歳未勝利		2008-6-22	1	函館	2	3歳未勝利	(混)[指](馬齢)	10	560	3	10	170	3	2	150	2	16.0	120	1.0	1-5	960.0	3.0	2-10	1510	6	2-10	560	6	10-16	370	2	2-16	300	1	10=>2	3220	10	2-10-16	1340	1			2(3,6)(1,10)16(7,15)(9,14)(4,5,8)13-12=11	2,6(1,3,10)16(7,15,9,14,8)(4,5,13)12=11	12.1 - 10.5 - 11.2 - 12.2 - 11.9 - 12.5	12.1 - 22.6 - 33.8 - 46.0 - 57.9 - 70.4 (33.8-36.6)			
200802010207	ダ	右	1700	曇	良	13:10	3歳以上500万下		2008-6-22	1	函館	2	3歳以上500万下	牝[指](定量)	1	1330	4	1	570	4	8	460	3	5.0	1,110	6.0	1-6	4920.0	10.0	1-8	3500	9	1-8	910	9	1-5	2,370	22	5-8	2,320	20	1=>8	9370	18	1-5-8	20050	43	10,11,5,9(2,7)12-8-(1,3)6,4	10,11,5,9(2,7,12)-8,1-(4,3)6	10(5,11)9,12(7,8)2,1(4,3,6)	10-(11,9,8)5,12(7,1,6)3,4,2	7.0 - 11.0 - 12.5 - 13.2 - 12.8 - 12.5 - 12.8 - 12.7 - 13.3	7.0 - 18.0 - 30.5 - 43.7 - 56.5 - 69.0 - 81.8 - 94.5 - 107.8 (30.5-38.8)			
200802010208	ダ	右	1000	曇	良	13:40	3歳以上500万下		2008-6-22	1	函館	2	3歳以上500万下	[指](定量)	7	460	2	7	130	2	11	130	1	4.0	170	3.0	6-8	470.0	1.0	7-11	600	1	7-11	290	1	4-7	570	5	4-11	360	3	7=>11	1250	2	4-7-11	1150	1			(*7,11)8(1,4)6(2,5,9)10-3	(*7,11)-(1,4,8)6(2,5)(10,9)=3	12.2 - 10.9 - 11.6 - 11.8 - 12.5	12.2 - 23.1 - 34.7 - 46.5 - 59.0 (34.7-35.9)			
