rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	2	2		ビーポーレン	牝5	54.0		廣瀬航	0:51.1		3-2	36.7	1.2	1	480	7		溝橋利喜		組）オールザベスト組	50.0
2	8	10		ビナドール	牝6	51.0		佐々木世	0:51.5	2.1/2	2-3	36.9	41.3	6	458	4		永島太郎		栗東総合産業（株）	20.0
3	8	9		ビーディオネ	牝5	54.0		田中学	0:51.6	1/2	4-4	36.7	106.3	9	454	1		岡田利一		馬場祥晃	12.5
4	7	7		リードメロディー	牝6	54.0		杉浦健太	0:51.7	クビ	1-1	37.4	13.9	3	446	4		保利良次		谷謙介	7.5
5	7	8		ポーカークイーン	牝5	54.0		松木大地	0:51.9	1.1/4	6-6	37.1	24.4	5	452	6		溝橋利喜		組）オールザベスト組	5.0
6	3	3		トラヴェラーズ	牝4	53.0		大山龍太	0:52.0	1/2	9-7	37.0	4.8	2	446	-1		坂本和也		村田紀次	
7	6	6		ヨシケンローズ	牝4	54.0		寺地誠一	0:52.0	アタマ	5-5	37.4	48.6	7	450	1		大石省三		組）オールザベスト組	
8	4	4		ギャラクシーエクス	牡11	56.0		竹村達也	0:52.1	クビ	10-10	37.1	117.8	10	473	1		三宅直之		（株）ファーストビ	
9	5	5		クリノロッサ	牝4	54.0		下原理	0:52.1	クビ	7-9	37.0	19.5	4	420	-2		平松徳彦		栗本博晴	
10	1	1		サンプリマ	牝4	54.0		渡瀬和幸	0:53.2	7.0	7-8	38.5	79.5	8	476	0		木村健		（株）さくらコーポ	
