rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	1	1		ハーツトリップ	牡4	56.0		竹吉徹	1:32.0		6-6-6-2	39.1	1.9	1	520	0		山田義人		成富直行	32.0
2	5	5		ビワチャン	牝7	54.0		村松翔太	1:32.6	3.0	3-3-3-1	39.9	44.5	8	460	3		柳井宏之		瀬戸年美	9.6
3	2	2		ディアフェルスパー	セ7	56.0		長田進仁	1:33.2	3.0	7-8-5-5	40.6	2.8	2	480	1		頼本盛行		（同）ＪＰＮ技研	5.1
4	7	7		エコロペガサス	牝4	51.0		加茂飛翔	1:33.2	アタマ	1-1-1-3	41.0	5.0	3	435	3		三小田幸		伊勢光	2.6
5	8	8		バゴノパワー	牝4	54.0		倉富隆一	1:33.8	3.0	2-2-2-4	41.6	12.4	4	439	-5		山田義人		成富直行	1.9
6	4	4		レディクルシマ	牝4	54.0		川島拓	1:34.1	1.1/2	5-5-4-6	41.5	27.5	5	437	-4		平山宏秀		瀬戸年美	
7	6	6		マーシデスペラード	牡6	55.0		金山昇馬	1:34.8	4.0	4-4-7-7	42.4	38.1	6	549	3		松島壽		佐藤勝士	
8	3	3		マスタリーピーク	セ4	56.0		出水拓人	1:36.0	6.0	8-7-8-8	43.4	43.5	7	500	0		中川竜馬		豊島愛子	
